"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Enterobacter","DB_Control - DB_Treated","DB_Control","Dunn",0.7621,"r (|Z|/sqrt(N))",2.2862,0.0222431205913499,0.0667293617740498,"ns"
"Ellin6067","DB_Control - DB_Treated","DB_Control","Dunn",0.6237,"r (|Z|/sqrt(N))",1.8712,0.0613169530776831,0.0919754296165246,"ns"
"Deep_Sea_Euryarchaeotic_Group(DSEG)","DB_Control - WT_Control","WT_Control","Dunn",0.8086,"r (|Z|/sqrt(N))",-2.4259,0.0152698992448009,0.0458096977344026,"*"
"Pedosphaeraceae","DB_Control - WT_Control","DB_Control","Dunn",0.8044,"r (|Z|/sqrt(N))",2.4133,0.0158067746073022,0.0474203238219067,"*"
"Pseudarthrobacter","DB_Control - WT_Control","DB_Control","Dunn",0.7984,"r (|Z|/sqrt(N))",2.3951,0.0166140291573842,0.0498420874721526,"*"
"Ilumatobacter","DB_Control - WT_Control","DB_Control","Dunn",0.7621,"r (|Z|/sqrt(N))",2.2862,0.0222431205913499,0.0667293617740498,"ns"
"Virgisporangium","DB_Control - WT_Control","DB_Control","Dunn",0.7621,"r (|Z|/sqrt(N))",2.2862,0.0222431205913499,0.0667293617740498,"ns"
"Dongia","DB_Control - WT_Control","DB_Control","Dunn",0.7525,"r (|Z|/sqrt(N))",2.2576,0.0239676798225893,0.0719030394677678,"ns"
"IMCC26256","DB_Control - WT_Control","DB_Control","Dunn",0.7235,"r (|Z|/sqrt(N))",2.1706,0.0299617665775788,0.0898852997327364,"ns"
"Ellin6067","DB_Control - WT_Control","DB_Control","Dunn",0.7235,"r (|Z|/sqrt(N))",2.1706,0.0299617665775788,0.0898852997327364,"ns"
"Ruminococcus_gauvreauii_group","DB_Control - WT_Control","DB_Control","Dunn",0.6514,"r (|Z|/sqrt(N))",1.9543,0.0506681514459329,0.0760022271688993,"ns"
"Campylobacter","DB_Control - WT_Control","WT_Control","Dunn",0.6124,"r (|Z|/sqrt(N))",-1.8371,0.0661925797221934,0.0992888695832901,"ns"
"Lactococcus","DB_Treated - WT_Control","DB_Treated","Dunn",0.795,"r (|Z|/sqrt(N))",2.3851,0.0170726610937884,0.0512179832813652,"ns"
