"","dbN.1.L","dbN.2.L","dbN.3.L","dbS.1.L","dbS.2.L","dbS.3.L","WTN.1.L","WTN.2.L","WTN.3.L"
"Enterobacter",0.000808679830177236,0.00232495451175955,0.00262820944807602,0,0,0,0,0.00185322461082283,0
"Ellin6067",0.00141518970281016,0.00165105465327852,0.00175213963205068,0.000505424893860772,0,0.00121301974526585,0,0.00107823977356965,0.000471729900936721
"Deep_Sea_Euryarchaeotic_Group(DSEG)",3.36949929240515e-05,0,0,0.000202169957544309,0,0.000101084978772154,0.000741289844329133,0.000303254936316463,0.00107823977356965
"Pedosphaeraceae",0.000640204865556978,0.000774984837253184,0.000101084978772154,6.7389985848103e-05,0,0.000539119886784824,0,0,0
"Pseudarthrobacter",0.0304939685962666,0.0393557517352921,0.00259451445515196,0.000438034908012669,0.000269559943392412,0.0257092796010513,0,0.000303254936316463,0
"Ilumatobacter",0.0011119347664937,0.00175213963205068,0.000168474964620257,0,0,0.00090976480894939,0,0,0
"Virgisporangium",0.000505424893860772,0.00090976480894939,0.000168474964620257,0,0,0.000471729900936721,0,0,0
"Dongia",0.000977154794797493,0.000707594851405081,0.000134779971696206,3.36949929240515e-05,0,0.000741289844329133,0,0,0
"IMCC26256",0.00161735966035447,0.00202169957544309,0.000741289844329133,0.000269559943392412,0,0.00121301974526585,0,0.00023586495046836,0.000134779971696206
"Ruminococcus_gauvreauii_group",0.000707594851405081,0.000572814879708875,0.00266190444100007,0.000404339915088618,0,0.000539119886784824,0,0.000505424893860772,0.000539119886784824
"Campylobacter",0,0,0,0,0,0,0,0.000202169957544309,0.00178583462497473
"Lactococcus",0.00107823977356965,0.000640204865556978,0.00178583462497473,0.00593031875463306,0.0156681717096839,0.00670530359188625,0.000202169957544309,0.00175213963205068,0.000370644922164566
