"Genus","Pattern","Mean_WT","Mean_DB","Mean_Treated"
"Enterobacter","Full Recovery",0.000617741536940944,0.00192061459667093,0
"Ellin6067","Recovery (U-shape)",0.000516656558168789,0.00160612799604645,0.000572814879708875
"Deep_Sea_Euryarchaeotic_Group(DSEG)","Recovery (Inverted-U)",0.000707594851405081,1.12316643080172e-05,0.000101084978772154
"Pedosphaeraceae","Recovery (U-shape)",0,0.000505424893860772,0.000202169957544309
"Pseudarthrobacter","Recovery (U-shape)",0.000101084978772154,0.0241480782622369,0.00880562481748545
"Ilumatobacter","Recovery (U-shape)",0,0.00101084978772154,0.000303254936316463
"Virgisporangium","Recovery (U-shape)",0,0.000527888222476807,0.00015724330031224
"Dongia","Recovery (U-shape)",0,0.000606509872632927,0.000258328279084395
"IMCC26256","Recovery (U-shape)",0.000123548307388189,0.00146011636004223,0.000494193229552755
"Ruminococcus_gauvreauii_group","Full Recovery",0.000348181593548532,0.00131410472403801,0.000314486600624481
"Campylobacter","No Clear Pattern",0.000662668194173013,0,0
"Lactococcus","Worsening",0.000774984837253184,0.00116809308803378,0.00943459801873442
