"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Rodentibacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.8944,"r (|Z|/sqrt(N))",2.6833,0.00729035809153564,0.0218710742746069,"*"
"Anoxybacillus","DB_Control - DB_Treated","DB_Treated","Dunn",0.7971,"r (|Z|/sqrt(N))",-2.3912,0.01679522311226,0.02519283466839,"*"
"Anoxybacillus","DB_Treated - WT_Control","DB_Treated","Dunn",0.7971,"r (|Z|/sqrt(N))",2.3912,0.01679522311226,0.05038566933678,"ns"
"Delftia","DB_Control - DB_Treated","DB_Treated","Dunn",0.7454,"r (|Z|/sqrt(N))",-2.2361,0.0253473186774683,0.0760419560324048,"ns"
"Bacillus","DB_Control - DB_Treated","DB_Treated","Dunn",0.7235,"r (|Z|/sqrt(N))",-2.1706,0.0299617665775788,0.0898852997327364,"ns"
"Brevibacillus","DB_Control - DB_Treated","DB_Treated","Dunn",0.7076,"r (|Z|/sqrt(N))",-2.1227,0.0337811354211088,0.101343406263327,"ns"
"Lawsonella","DB_Control - DB_Treated","DB_Treated","Dunn",0.7015,"r (|Z|/sqrt(N))",-2.1046,0.035325368151283,0.105976104453849,"ns"
"Pseudarthrobacter","DB_Control - WT_Control","WT_Control","Dunn",0.7006,"r (|Z|/sqrt(N))",-2.1019,0.035557905699921,0.106673717099763,"ns"
"Cutibacterium","DB_Treated - WT_Control","DB_Treated","Dunn",0.6986,"r (|Z|/sqrt(N))",2.0957,0.0361046110412747,0.108313833123824,"ns"
"Streptococcus","DB_Control - WT_Control","DB_Control","Dunn",0.6957,"r (|Z|/sqrt(N))",2.087,0.0368884257070499,0.11066527712115,"ns"
"Diaphorobacter","DB_Control - DB_Treated","DB_Treated","Dunn",0.6686,"r (|Z|/sqrt(N))",-2.0059,0.0448622711529147,0.134586813458744,"ns"
"Sphingomonas","DB_Control - WT_Control","DB_Control","Dunn",0.6517,"r (|Z|/sqrt(N))",1.9552,0.0505648114937971,0.151694434481391,"ns"
"Lawsonella","DB_Treated - WT_Control","DB_Treated","Dunn",0.6514,"r (|Z|/sqrt(N))",1.9543,0.0506681514459329,0.0760022271688993,"ns"
