"SampleID_converted","MedianCLV","Site","Condition","Treatment","ShannonJSDScore","CloudScore","TreatGroup"
"dbN.1.F",0.742637644046093,"Fecal","DB","Control",-0.60034448023278,-0.359630602482794,"DB_Control"
"dbN.2.F",0.671709683940965,"Fecal","DB","Control",-0.418962600014024,-0.341115293437172,"DB_Control"
"dbN.3.F",0.620965024597344,"Fecal","DB","Control",0.0964632766430804,-0.493490548786112,"DB_Control"
"dbS.1.F",0.713963205067726,"Fecal","DB","Treated",-0.289540468259062,-0.617662282343169,"DB_Treated"
"dbS.2.F",0.631680032347192,"Fecal","DB","Treated",0.0465048482334103,-0.632437024228071,"DB_Treated"
"dbS.3.F",0.66318485073118,"Fecal","DB","Treated",-0.137579949733336,-0.391011828261772,"DB_Treated"
"WTN.1.F",0.512955724779297,"Fecal","WT","Control",0.0382246159791508,-0.227974018843395,"WT_Control"
"WTN.2.F",0.514960576858278,"Fecal","WT","Control",-0.00596858877810965,-0.217523797549715,"WT_Control"
"WTN.3.F",0.553558191252779,"Fecal","WT","Control",-0.1775028299906,0.217523797549715,"WT_Control"
"WTS.1.F",0.600006738998584,"Fecal","WT","Treated",-0.150512740595849,-0.151751270256961,"WT_Treated"
"WTS.2.F",0.480086259181885,"Fecal","WT","Treated",0.0631937522435364,-0.221268277925043,"WT_Treated"
"WTS.3.F",0.608497877215445,"Fecal","WT","Treated",0.0973517813296999,-0.195702391165987,"WT_Treated"
