"SampleID_converted","MedianCLV","Site","Condition","Treatment","ShannonJSDScore","CloudScore","TreatGroup"
"dbN.1.B",0.906429004649909,"Gut","DB","Control",-0.692549557545434,-0.875990257197598,"DB_Control"
"dbN.2.B",0.862221173933553,"Gut","DB","Control",0.0482099485764668,-0.213723210118812,"DB_Control"
"dbN.3.B",0.913875598086124,"Gut","DB","Control",-0.0804040849511409,-0.875018579619997,"DB_Control"
"dbS.1.B",0.854201765617628,"Gut","DB","Treated",0.0686369492660704,-1.47119292485694,"DB_Treated"
"dbS.2.B",0.802008221578272,"Gut","DB","Treated",-0.00364501901555165,-1.03321821126214,"DB_Treated"
"dbS.3.B",0.845542152436147,"Gut","DB","Treated",-0.0305922254228559,-1.47364483368105,"DB_Treated"
"WTN.1.B",0.520705573151828,"Gut","WT","Control",-0.092486832094529,-0.452724318943407,"WT_Control"
"WTN.2.B",0.542792641013544,"Gut","WT","Control",-1.0628563494445,-0.347370144590868,"WT_Control"
"WTN.3.B",0.605178920412425,"Gut","WT","Control",0.0397049094994835,0.347370144590868,"WT_Control"
"WTS.1.B",0.711267605633801,"Gut","WT","Treated",-0.00554622482264405,-0.242882971690041,"WT_Treated"
"WTS.2.B",0.806691825594715,"Gut","WT","Treated",-0.117554238860472,-0.120755805161644,"WT_Treated"
"WTS.3.B",0.655906732259585,"Gut","WT","Treated",0.145623635592957,-0.217401853168081,"WT_Treated"
