"SampleID_converted","MedianCLV","Site","Condition","Treatment","ShannonJSDScore","CloudScore","TreatGroup"
"dbN.1.L",0.700687377855649,"Lung","DB","Control",0.792212615678265,-0.993053359091724,"DB_Control"
"dbN.2.L",0.772322932812184,"Lung","DB","Control",1.19735854864951,-0.961538810070074,"DB_Control"
"dbN.3.L",0.720702203652534,"Lung","DB","Control",0.63899987254664,-0.0341994462532514,"DB_Control"
"dbS.1.L",0.724172787923713,"Lung","DB","Treated",0.133259859046474,-0.417634659979191,"DB_Treated"
"dbS.2.L",0.82485342678078,"Lung","DB","Treated",-0.730426190982211,-0.224820869956473,"DB_Treated"
"dbS.3.L",0.717063144416738,"Lung","DB","Treated",0.989015825968196,-0.95909338763946,"DB_Treated"
"WTN.1.L",0.804282633600646,"Lung","WT","Control",0.21717739841172,0.201627810624377,"WT_Control"
"WTN.2.L",0.751886919603745,"Lung","WT","Control",0.0126516917216952,-0.201627810624377,"WT_Control"
"WTN.3.L",0.751027697284182,"Lung","WT","Control",0.504377871588365,-0.204710299787379,"WT_Control"
"WTS.1.L",0.824954511759551,"Lung","WT","Treated",-0.804993239720576,-0.255235815782744,"WT_Treated"
"WTS.2.L",0.77330008760698,"Lung","WT","Treated",0.594251665300571,-0.26999908160173,"WT_Treated"
"WTS.3.L",0.702102567558458,"Lung","WT","Treated",0.142737664911713,-0.409785626967355,"WT_Treated"
