"SampleID_converted","MedianCLV","Site","Condition","Treatment","ShannonJSDScore","CloudScore","TreatGroup"
"dbN.1.O",0.846317137273401,"Oral","DB","Control",0.064127910060417,-1.38601489143845,"DB_Control"
"dbN.2.O",0.774176157423006,"Oral","DB","Control",0.0124383362028651,-1.18577693753525,"DB_Control"
"dbN.3.O",0.771649032953703,"Oral","DB","Control",-0.0937152517613718,-1.44265280139457,"DB_Control"
"dbS.1.O",0.64330480490599,"Oral","DB","Treated",0.38801335526751,-1.46963624718482,"DB_Treated"
"dbS.2.O",0.642934159983825,"Oral","DB","Treated",0.0712750504449422,-1.06359252979164,"DB_Treated"
"dbS.3.O",0.639969000606508,"Oral","DB","Treated",0.340194937975083,-1.47692631157939,"DB_Treated"
"WTN.1.O",0.456145966709346,"Oral","WT","Control",0.00162061656057637,-1.47849705645856,"WT_Control"
"WTN.2.O",0.676443830446794,"Oral","WT","Control",0.0964905641971089,1.43257242315712,"WT_Control"
"WTN.3.O",0.466911516948581,"Oral","WT","Control",0.0852212138830611,-1.43257242315712,"WT_Control"
"WTS.1.O",0.401880180605161,"Oral","WT","Treated",-0.0163966015692883,-0.542562933035797,"WT_Treated"
"WTS.2.O",0.332973920075476,"Oral","WT","Treated",-0.075903428959796,-0.5606710140779,"WT_Treated"
