"SampleID_converted","Firmicutes","Bacteroidota","FB_ratio","Site","Condition","Treatment","TreatGroup"
"dbN.1.B",0.855616955320437,0.045151290518229,18.9499999999999,"Gut","DB","Control","DB_Control"
"dbN.1.F",0.426949255340656,0.524327784891165,0.814279287963498,"Fecal","DB","Control","DB_Control"
"dbN.1.L",0.187411550643574,0.0226430352449626,8.2767857142857,"Lung","DB","Control","DB_Control"
"dbN.1.O",0.890019543095894,0.0271581642967855,32.7717121588089,"Oral","DB","Control","DB_Control"
"dbN.2.B",0.433384998989148,0.110216321854572,3.93213084683582,"Gut","DB","Control","DB_Control"
"dbN.2.F",0.543466540872024,0.409697418963542,1.32650711407187,"Fecal","DB","Control","DB_Control"
"dbN.2.L",0.179459532313498,0.022238695329874,8.06969696969695,"Lung","DB","Control","DB_Control"
"dbN.2.O",0.876406765954579,0.00299885437024058,292.247191011236,"Oral","DB","Control","DB_Control"
"dbN.3.B",0.69930588314576,0.0639867915627737,10.9289099526066,"Gut","DB","Control","DB_Control"
"dbN.3.F",0.561762922029784,0.38348271446863,1.46489763641156,"Fecal","DB","Control","DB_Control"
"dbN.3.L",0.490329537030796,0.16625109508727,2.94933117146331,"Lung","DB","Control","DB_Control"
"dbN.3.O",0.809454815014488,3.36949929240515e-05,24023,"Oral","DB","Control","DB_Control"
"dbS.1.B",0.763528539659002,0.085787451984635,8.90023566378629,"Gut","DB","Treated","DB_Treated"
"dbS.1.F",0.613889076083292,0.332131545252375,1.84833113523384,"Fecal","DB","Treated","DB_Treated"
"dbS.1.L",0.421962396387895,0.0306624435608868,13.7615384615384,"Lung","DB","Treated","DB_Treated"
"dbS.1.O",0.715883819664396,0.0496327245771279,14.4236252545824,"Oral","DB","Treated","DB_Treated"
"dbS.2.B",0.686434395848773,0.104926207965496,6.54206807964032,"Gut","DB","Treated","DB_Treated"
"dbS.2.F",0.51573556169553,0.347867106947907,1.48256489732661,"Fecal","DB","Treated","DB_Treated"
"dbS.2.L",0.52304737516005,0.0106476177640003,49.1234177215187,"Lung","DB","Treated","DB_Treated"
"dbS.2.O",0.803625581238627,0.000438034908012669,1834.61538461538,"Oral","DB","Treated","DB_Treated"
"dbS.3.B",0.807635285396586,0.09165038075342,8.81213235294114,"Gut","DB","Treated","DB_Treated"
"dbS.3.F",0.390423883010983,0.541208976346115,0.721392105590833,"Fecal","DB","Treated","DB_Treated"
"dbS.3.L",0.279971696205942,0.0404002965159378,6.92994161801496,"Lung","DB","Treated","DB_Treated"
"dbS.3.O",0.708976346114966,0.0809690679964957,8.75613816063253,"Oral","DB","Treated","DB_Treated"
"WTN.1.B",0.338028169014085,0.405755104791428,0.833084205281516,"Gut","WT","Control","WT_Control"
"WTN.1.F",0.380854505020553,0.539490531706988,0.705952157891448,"Fecal","WT","Control","WT_Control"
"WTN.1.L",0.0424893860772289,0.0317743783273806,1.33722163308589,"Lung","WT","Control","WT_Control"
"WTN.1.O",0.757092796010511,0.068771480557989,11.0088192062714,"Oral","WT","Control","WT_Control"
"WTN.2.B",0.258946020621335,0.638520115910775,0.405540897097625,"Gut","WT","Control","WT_Control"
"WTN.2.F",0.357369094952489,0.570085585282027,0.626869200307345,"Fecal","WT","Control","WT_Control"
"WTN.2.L",0.28751937462093,0.095592694925534,3.0077546704265,"Lung","WT","Control","WT_Control"
"WTN.2.O",0.236572545319765,0.00626726868387358,37.7473118279569,"Oral","WT","Control","WT_Control"
"WTN.3.B",0.580564728081403,0.194655974122245,2.98251687727193,"Gut","WT","Control","WT_Control"
"WTN.3.F",0.597142664600036,0.339274883752274,1.76005561624788,"Fecal","WT","Control","WT_Control"
"WTN.3.L",0.501549969674504,0.0560347732326976,8.95069152134693,"Lung","WT","Control","WT_Control"
"WTN.3.O",0.785969404946424,0.03143742839814,25.0010718113612,"Oral","WT","Control","WT_Control"
