"Site","Comparison","KW_p","Wilcox_p","Effect_r","Wilcox_p_adj"
"Gut","WT_Control vs DB_Control",0.0608100626252179,0.0808555983700523,1,0.485133590220314
"Gut","DB_Control vs DB_Treated",0.0608100626252179,0.662520583540057,-0.333,0.795024700248069
"Gut","WT_Control vs DB_Treated",0.0608100626252179,0.0808555983700523,1,0.485133590220314
"Fecal","WT_Control vs DB_Control",0.491098229502156,0.662520583540057,0.333,0.795024700248069
"Fecal","DB_Control vs DB_Treated",0.491098229502156,0.662520583540057,0.333,0.795024700248069
"Fecal","WT_Control vs DB_Treated",0.491098229502156,0.382733088885226,0.556,0.656113866660388
"Lung","WT_Control vs DB_Control",0.288100919745509,1,0.111,1
"Lung","DB_Control vs DB_Treated",0.288100919745509,0.382733088885226,0.556,0.656113866660388
"Lung","WT_Control vs DB_Treated",0.288100919745509,0.190430263825524,0.778,0.571290791476572
"Oral","WT_Control vs DB_Control",0.301194211912202,0.190430263825524,0.778,0.571290791476572
"Oral","DB_Control vs DB_Treated",0.301194211912202,0.382733088885226,-0.556,0.656113866660388
"Oral","WT_Control vs DB_Treated",0.301194211912202,1,-0.111,1
