"from","to","weight","correlation","p_value","edge_type"
"Lactococcus","Mucispirillum",0.869206049688604,-0.869206049688604,0.0272225267562568,"Negative"
"Lactococcus","Bacteroides",0.907595071361299,0.907595071361299,0.0161667826686913,"Positive"
"Christensenellaceae_R-7_group","Parabacteroides",0.83411052331904,0.83411052331904,0.0414752945314489,"Positive"
"Christensenellaceae_R-7_group","Eubacterium_ventriosum_group",0.842621855189642,-0.842621855189642,0.0401504363841222,"Negative"
"Mucispirillum","Lactobacillus",0.903773601456181,-0.903773601456181,0.0161667826686913,"Negative"
"Mucispirillum","Lachnoclostridium",0.852941176470588,0.852941176470588,0.0346715128004596,"Positive"
"Mucispirillum","Odoribacter",0.828459134668166,0.828459134668166,0.0434652989957979,"Positive"
"Mucispirillum","GCA-900066575",0.878668779193509,0.878668779193509,0.0272225267562568,"Positive"
"Lactobacillus","Enterococcus",0.866666666666667,0.866666666666667,0.0272225267562568,"Positive"
"Eubacterium_ventriosum_group","Enterococcus",0.836827408755723,-0.836827408755723,0.0414752945314489,"Negative"
"Lachnoclostridium","Odoribacter",0.928878423718853,0.928878423718853,0.0117810305679584,"Positive"
"Lachnoclostridium","Desulfovibrio",0.912141875543738,0.912141875543738,0.0161667826686913,"Positive"
"Lachnoclostridium","GCA-900066575",0.979088068244196,0.979088068244196,0.000511958682097968,"Positive"
"Odoribacter","Desulfovibrio",0.866666666666667,0.866666666666667,0.0272225267562568,"Positive"
"Odoribacter","GCA-900066575",0.9,0.9,0.0161667826686913,"Positive"
"Desulfovibrio","GCA-900066575",0.933333333333333,0.933333333333333,0.0117810305679584,"Positive"
