"Genus","Degree","Betweenness","Closeness","Eigenvector","Degree_scaled","Betweenness_scaled","Closeness_scaled","Eigenvector_scaled","Is_hub"
"Lachnospiraceae_UCG-006",1,0,0.0624823542461598,1.52711936376693e-17,-1.23351315726314,-0.780355416718798,0.81056162563081,-1.07565413107806,FALSE
"Prevotellaceae_Ga6A1_group",3,9,0.11994886532237,3.66981074021393e-17,-0.606966791669163,-0.280927950018767,2.6372721855679,-1.07565413107806,FALSE
"Erysipelotrichaceae",2,5,0.0849861605355053,3.71185671805624e-17,-0.92023997446615,-0.502895712996559,1.52589895545427,-1.07565413107806,FALSE
"UCG-010",3,4,0.0985994766617359,4.77339955189515e-17,-0.606966791669163,-0.558387653741007,1.95863078235374,-1.07565413107806,FALSE
"Parabacteroides",1,0,0.0167107093365029,0.0738188389667554,-1.23351315726314,-0.780355416718798,-0.644399629825928,-0.857332186256238,FALSE
"Monoglobus",4,14,0.0187731804143423,0.220807813240184,-0.293693608872176,-0.00346824629652799,-0.578839051553522,-0.42260686166543,FALSE
"Muribaculaceae",11,49.8333333333333,0.0286656585967253,1,1.89921867070674,1.98499296371285,-0.264382961888678,1.88188283208308,TRUE
"Clostridium_sensu_stricto_1",10,26.3333333333333,0.0253498247285752,0.850674077224177,1.58594548790975,0.680932356218329,-0.369784675486956,1.44024589591543,TRUE
"Lachnoclostridium",11,48.3333333333333,0.0261096148155428,0.866406641244208,1.89921867070674,1.90175505259618,-0.34563292955342,1.48677553552998,TRUE
"Anaerofustis",8,5,0.0230962894203637,0.627988722249323,0.959399122315774,-0.502895712996559,-0.44141868749861,0.781645727422648,FALSE
"Mucispirillum",7,19,0.0245592480771025,0.670733921205914,0.646125939518786,0.273991457425711,-0.394915046039114,0.908066233334443,FALSE
"Rikenellaceae_RC9_gut_group",5,1,0.0204962449719416,0.468375261277268,0.0195795739248117,-0.72486347597435,-0.524067321655986,0.309583016779717,FALSE
"Prevotellaceae_UCG-001",2,0,0.0209355432358278,0.192634824051236,-0.92023997446615,-0.780355416718798,-0.510103175189206,-0.505929518554484,FALSE
"Bifidobacterium",8,23,0.0241902578008482,0.674817476045183,0.959399122315774,0.495959220403503,-0.406644284886656,0.920143497712676,FALSE
"Candidatus_Arthromitus",9,19.5,0.0268177263018845,0.87218265646426,1.27267230511276,0.301737427797935,-0.323123911596897,1.50385831404306,TRUE
"Coriobacteriaceae_UCG-002",9,12,0.025494428405833,0.780687557046917,1.27267230511276,-0.114452127785424,-0.365188101598867,1.23325817556817,TRUE
"Clostridia_UCG-014",7,10,0.0253433920477995,0.694218717741662,0.646125939518786,-0.225436009274319,-0.369989153637476,0.977523387161236,FALSE
"ASF356",7,36,0.0246831603418498,0.593269809561577,0.646125939518786,1.21735445008133,-0.390976198207907,0.678963259827874,FALSE
"Dubosiella",8,69,0.025594943876548,0.663150080338679,0.959399122315774,3.0485884946481,-0.361992976849624,0.885636743646861,FALSE
"Muribaculum",5,9,0.0209329151518127,0.446764485851741,0.0195795739248117,-0.280927950018767,-0.510186715128083,0.245668349656146,FALSE
"Parasutterella",7,0,0.0232236841951737,0.642594811871104,0.646125939518786,-0.780355416718798,-0.437369139752136,0.824843777366309,FALSE
"Enterorhabdus",4,8,0.0184294206125978,0.219012834561337,-0.293693608872176,-0.336419890763215,-0.589766279397505,-0.427915577456206,FALSE
"Faecalibaculum",6,27,0.0207659916237346,0.423339027128895,0.332852756721799,0.717926983381294,-0.515492778881247,0.176386689604324,FALSE
"Eubacterium_nodatum_group",2,0,0.0755626138655151,8.33360729368869e-18,-0.92023997446615,-0.780355416718798,1.22634897596617,-1.07565413107806,FALSE
"Prevotellaceae_UCG-003",1,0,0.0132384549976941,0.0112029598231854,-1.23351315726314,-0.780355416718798,-0.754773542365666,-1.04252096330418,FALSE
"Lactobacillus",3,45,0.0182755792537969,0.0835872074620018,-0.606966791669163,1.71678191678136,-0.59465649509729,-0.828441875361768,FALSE
"Prevotellaceae_NK3B31_group",2,8,0.109144638352794,5.1692931410171e-17,-0.92023997446615,-0.336419890763215,2.29383397907738,-1.07565413107806,FALSE
"Anaerotruncus",3,0,0.0984370344017216,4.89056137779282e-17,-0.606966791669163,-0.780355416718798,1.95346716642873,-1.07565413107806,FALSE
"Lachnospiraceae_NK4A136_group",2,0,0.0142309409222943,0.0544885307726069,-0.92023997446615,-0.780355416718798,-0.723225002440357,-0.914502287249728,FALSE
"Turicibacter",5,2,0.0201643191273197,0.442146135552131,0.0195795739248117,-0.669371535229902,-0.534618378856635,0.232009407936225,FALSE
"Lachnospiraceae_UCG-001",1,0,0.014604440528372,0.0553680865548693,-1.23351315726314,-0.780355416718798,-0.711352423754489,-0.911900968512525,FALSE
"Romboutsia",1,0,0.0136052272304906,0.01010720872441,-1.23351315726314,-0.780355416718798,-0.743114809336744,-1.04576168768123,FALSE
