"Genus","Community"
"Lachnospiraceae_UCG-006",1
"Prevotellaceae_Ga6A1_group",1
"Erysipelotrichaceae",1
"UCG-010",1
"Parabacteroides",2
"Monoglobus",3
"Muribaculaceae",4
"Clostridium_sensu_stricto_1",3
"Lachnoclostridium",3
"Anaerofustis",3
"Mucispirillum",4
"Rikenellaceae_RC9_gut_group",3
"Prevotellaceae_UCG-001",3
"Bifidobacterium",4
"Candidatus_Arthromitus",4
"Coriobacteriaceae_UCG-002",4
"Clostridia_UCG-014",3
"ASF356",2
"Dubosiella",4
"Muribaculum",4
"Parasutterella",4
"Enterorhabdus",3
"Faecalibaculum",4
"Eubacterium_nodatum_group",1
"Prevotellaceae_UCG-003",5
"Lactobacillus",5
"Prevotellaceae_NK3B31_group",1
"Anaerotruncus",1
"Lachnospiraceae_NK4A136_group",3
"Turicibacter",3
"Lachnospiraceae_UCG-001",4
"Romboutsia",5
