"from","to","weight","correlation","p_value","edge_type"
"Lachnospiraceae_UCG-006","Erysipelotrichaceae",0.847579379526013,0.847579379526013,0.0380125460643078,"Positive"
"Prevotellaceae_Ga6A1_group","Prevotellaceae_NK3B31_group",0.825268272264316,0.825268272264316,0.0465388763921293,"Positive"
"Prevotellaceae_Ga6A1_group","UCG-010",0.82182246067064,0.82182246067064,0.0465388763921293,"Positive"
"Prevotellaceae_Ga6A1_group","Anaerotruncus",0.82182246067064,0.82182246067064,0.0465388763921293,"Positive"
"Erysipelotrichaceae","Prevotellaceae_NK3B31_group",0.868155850801449,0.868155850801449,0.0309429387462785,"Positive"
"UCG-010","Eubacterium_nodatum_group",0.811722586493051,0.811722586493051,0.0495328057362458,"Positive"
"UCG-010","Anaerotruncus",0.983333333333333,0.983333333333333,0.000960353366657975,"Positive"
"Parabacteroides","ASF356",0.840365806816018,-0.840365806816018,0.0426858408110199,"Negative"
"Monoglobus","Lachnoclostridium",0.840365806816018,0.840365806816018,0.0426858408110199,"Positive"
"Monoglobus","Anaerofustis",0.815619274040649,0.815619274040649,0.0468164101418022,"Positive"
"Monoglobus","Enterorhabdus",0.94120970363394,0.94120970363394,0.00843835765782699,"Positive"
"Monoglobus","Lachnospiraceae_NK4A136_group",0.823558490679698,0.823558490679698,0.0465388763921293,"Positive"
"Muribaculaceae","Clostridium_sensu_stricto_1",0.866666666666667,0.866666666666667,0.0309429387462785,"Positive"
"Muribaculaceae","Lachnoclostridium",0.9,0.9,0.0187103564752321,"Positive"
"Muribaculaceae","Mucispirillum",0.916666666666667,-0.916666666666667,0.0139601698270769,"Negative"
"Muribaculaceae","Bifidobacterium",0.866666666666667,0.866666666666667,0.0309429387462785,"Positive"
"Muribaculaceae","Candidatus_Arthromitus",0.866666666666667,-0.866666666666667,0.0309429387462785,"Negative"
"Muribaculaceae","Coriobacteriaceae_UCG-002",0.916666666666667,0.916666666666667,0.0139601698270769,"Positive"
"Muribaculaceae","Clostridia_UCG-014",0.816666666666667,0.816666666666667,0.0465388763921293,"Positive"
"Muribaculaceae","ASF356",0.85,-0.85,0.0367513910896512,"Negative"
"Muribaculaceae","Dubosiella",0.823558490679698,0.823558490679698,0.0465388763921293,"Positive"
"Muribaculaceae","Muribaculum",0.9,0.9,0.0187103564752321,"Positive"
"Muribaculaceae","Parasutterella",0.85,0.85,0.0367513910896512,"Positive"
"Clostridium_sensu_stricto_1","Lachnoclostridium",0.933333333333333,0.933333333333333,0.0106369369846427,"Positive"
"Clostridium_sensu_stricto_1","Anaerofustis",0.953065230366386,0.953065230366386,0.00620887412383254,"Positive"
"Clostridium_sensu_stricto_1","Mucispirillum",0.883333333333333,-0.883333333333333,0.0253375489445779,"Negative"
"Clostridium_sensu_stricto_1","Rikenellaceae_RC9_gut_group",0.945614971893967,0.945614971893967,0.00725967048534763,"Positive"
"Clostridium_sensu_stricto_1","Candidatus_Arthromitus",0.833333333333333,-0.833333333333333,0.0450307370769694,"Negative"
"Clostridium_sensu_stricto_1","Clostridia_UCG-014",0.85,0.85,0.0367513910896512,"Positive"
"Clostridium_sensu_stricto_1","ASF356",0.883333333333333,-0.883333333333333,0.0253375489445779,"Negative"
"Clostridium_sensu_stricto_1","Turicibacter",0.933333333333333,0.933333333333333,0.0106369369846427,"Positive"
"Clostridium_sensu_stricto_1","Enterorhabdus",0.833333333333333,0.833333333333333,0.0450307370769694,"Positive"
"Lachnoclostridium","Anaerofustis",0.953065230366386,0.953065230366386,0.00620887412383254,"Positive"
"Lachnoclostridium","Mucispirillum",0.816666666666667,-0.816666666666667,0.0465388763921293,"Negative"
"Lachnoclostridium","Rikenellaceae_RC9_gut_group",0.895405327368624,0.895405327368624,0.0209564935884531,"Positive"
"Lachnoclostridium","Prevotellaceae_UCG-001",0.836827408755723,0.836827408755723,0.0450307370769694,"Positive"
"Lachnoclostridium","Candidatus_Arthromitus",0.866666666666667,-0.866666666666667,0.0309429387462785,"Negative"
"Lachnoclostridium","Clostridia_UCG-014",0.916666666666667,0.916666666666667,0.0139601698270769,"Positive"
"Lachnoclostridium","ASF356",0.816666666666667,-0.816666666666667,0.0465388763921293,"Negative"
"Lachnoclostridium","Turicibacter",0.833333333333333,0.833333333333333,0.0450307370769694,"Positive"
"Anaerofustis","Rikenellaceae_RC9_gut_group",0.957061328523215,0.957061328523215,0.00620887412383254,"Positive"
"Anaerofustis","Candidatus_Arthromitus",0.874371770978336,-0.874371770978336,0.0301042502140642,"Negative"
"Anaerofustis","Clostridia_UCG-014",0.926834077237036,0.926834077237036,0.013415716145015,"Positive"
"Anaerofustis","Turicibacter",0.88311548868812,0.88311548868812,0.0253375489445779,"Positive"
"Anaerofustis","Enterorhabdus",0.821909464719636,0.821909464719636,0.0465388763921293,"Positive"
"Mucispirillum","Bifidobacterium",0.833333333333333,-0.833333333333333,0.0450307370769694,"Negative"
"Mucispirillum","Coriobacteriaceae_UCG-002",0.85,-0.85,0.0367513910896512,"Negative"
