"from","to","weight","correlation","p_value","edge_type"
"Enterobacter","Ellin6067",0.82502864732539,0.82502864732539,0.0214993724265346,"Positive"
"Ellin6067","Pedosphaeraceae",0.812855081956677,0.812855081956677,0.0255207855147769,"Positive"
"Ellin6067","Pseudarthrobacter",0.844537815126051,0.844537815126051,0.0153095260889156,"Positive"
"Ellin6067","Ilumatobacter",0.806694677384826,0.806694677384826,0.0258191302197972,"Positive"
"Ellin6067","Virgisporangium",0.806694677384826,0.806694677384826,0.0258191302197972,"Positive"
"Ellin6067","Dongia",0.760412818604633,0.760412818604633,0.0474992944544795,"Positive"
"Ellin6067","IMCC26256",0.882352941176471,0.882352941176471,0.00635209203279431,"Positive"
"Ellin6067","Ruminococcus_gauvreauii_group",0.91140051812009,0.91140051812009,0.00322513560567887,"Positive"
"Pedosphaeraceae","Pseudarthrobacter",0.961441494787467,0.961441494787467,0.000588908167686722,"Positive"
"Pedosphaeraceae","Ilumatobacter",0.953462589245592,0.953462589245592,0.000752354218909409,"Positive"
"Pedosphaeraceae","Virgisporangium",0.953462589245592,0.953462589245592,0.000752354218909409,"Positive"
"Pedosphaeraceae","Dongia",0.945454545454545,0.945454545454545,0.0011152680452884,"Positive"
"Pedosphaeraceae","IMCC26256",0.961441494787467,0.961441494787467,0.000588908167686722,"Positive"
"Pseudarthrobacter","Ilumatobacter",0.916698497028211,0.916698497028211,0.00303574944585999,"Positive"
"Pseudarthrobacter","Virgisporangium",0.916698497028211,0.916698497028211,0.00303574944585999,"Positive"
"Pseudarthrobacter","Dongia",0.908999231435424,0.908999231435424,0.00322513560567887,"Positive"
"Pseudarthrobacter","IMCC26256",0.96218487394958,0.96218487394958,0.000588908167686722,"Positive"
"Ilumatobacter","Virgisporangium",1,1,0,"Positive"
"Ilumatobacter","Dongia",0.896254833890857,0.896254833890857,0.00440768814498213,"Positive"
"Ilumatobacter","IMCC26256",0.916698497028211,0.916698497028211,0.00303574944585999,"Positive"
"Ilumatobacter","Ruminococcus_gauvreauii_group",0.754871186676625,0.754871186676625,0.0474992944544795,"Positive"
"Virgisporangium","Dongia",0.896254833890857,0.896254833890857,0.00440768814498213,"Positive"
"Virgisporangium","IMCC26256",0.916698497028211,0.916698497028211,0.00303574944585999,"Positive"
"Virgisporangium","Ruminococcus_gauvreauii_group",0.754871186676625,0.754871186676625,0.0474992944544795,"Positive"
"Dongia","IMCC26256",0.908999231435424,0.908999231435424,0.00322513560567887,"Positive"
"IMCC26256","Ruminococcus_gauvreauii_group",0.784817112825633,0.784817112825633,0.0351276660097362,"Positive"
