"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Alloprevotella",1,1,0,"Positive"
"Streptococcus","Lachnospiraceae_NK4A136_group",1,-1,0,"Negative"
"Streptococcus","Corynebacterium",1,1,0,"Positive"
"Streptococcus","Clostridia_UCG-014",1,-1,0,"Negative"
"Streptococcus","Staphylococcus",1,1,0,"Positive"
"Streptococcus","Cutibacterium",1,-1,0,"Negative"
"Streptococcus","Colidextribacter",1,-1,0,"Negative"
"Streptococcus","Brevibacillus",1,-1,0,"Negative"
"Muribaculaceae","Bacteroides",1,-1,0,"Negative"
"Muribaculaceae","Prevotellaceae_UCG-001",1,-1,0,"Negative"
"Muribaculaceae","Alistipes",1,1,0,"Positive"
"Muribaculaceae","Candidatus_Saccharimonas",1,1,0,"Positive"
"Pseudomonas","Lactobacillus",1,1,0,"Positive"
"Pseudomonas","Rikenellaceae_RC9_gut_group",1,-1,0,"Negative"
"Pseudomonas","Others",1,-1,0,"Negative"
"Lactobacillus","Rikenellaceae_RC9_gut_group",1,-1,0,"Negative"
"Lactobacillus","Others",1,-1,0,"Negative"
"Alloprevotella","Lachnospiraceae_NK4A136_group",1,-1,0,"Negative"
"Alloprevotella","Corynebacterium",1,1,0,"Positive"
"Alloprevotella","Clostridia_UCG-014",1,-1,0,"Negative"
"Alloprevotella","Staphylococcus",1,1,0,"Positive"
"Alloprevotella","Cutibacterium",1,-1,0,"Negative"
"Alloprevotella","Colidextribacter",1,-1,0,"Negative"
"Alloprevotella","Brevibacillus",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Corynebacterium",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Clostridia_UCG-014",1,1,0,"Positive"
"Lachnospiraceae_NK4A136_group","Staphylococcus",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Cutibacterium",1,1,0,"Positive"
"Lachnospiraceae_NK4A136_group","Colidextribacter",1,1,0,"Positive"
"Lachnospiraceae_NK4A136_group","Brevibacillus",1,1,0,"Positive"
"Corynebacterium","Clostridia_UCG-014",1,-1,0,"Negative"
"Corynebacterium","Staphylococcus",1,1,0,"Positive"
"Corynebacterium","Cutibacterium",1,-1,0,"Negative"
"Corynebacterium","Colidextribacter",1,-1,0,"Negative"
"Corynebacterium","Brevibacillus",1,-1,0,"Negative"
"Bacteroides","Prevotellaceae_UCG-001",1,1,0,"Positive"
"Bacteroides","Alistipes",1,-1,0,"Negative"
"Bacteroides","Candidatus_Saccharimonas",1,-1,0,"Negative"
"Prevotellaceae_UCG-001","Alistipes",1,-1,0,"Negative"
"Prevotellaceae_UCG-001","Candidatus_Saccharimonas",1,-1,0,"Negative"
"Clostridia_UCG-014","Staphylococcus",1,-1,0,"Negative"
"Clostridia_UCG-014","Cutibacterium",1,1,0,"Positive"
"Clostridia_UCG-014","Colidextribacter",1,1,0,"Positive"
"Clostridia_UCG-014","Brevibacillus",1,1,0,"Positive"
"Alistipes","Candidatus_Saccharimonas",1,1,0,"Positive"
"Staphylococcus","Cutibacterium",1,-1,0,"Negative"
"Staphylococcus","Colidextribacter",1,-1,0,"Negative"
"Staphylococcus","Brevibacillus",1,-1,0,"Negative"
"Cutibacterium","Colidextribacter",1,1,0,"Positive"
"Cutibacterium","Brevibacillus",1,1,0,"Positive"
"Colidextribacter","Brevibacillus",1,1,0,"Positive"
"Rikenellaceae_RC9_gut_group","Others",1,1,0,"Positive"
