"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Muribaculaceae",1,-1,0,"Negative"
"Streptococcus","Alistipes",1,1,0,"Positive"
"Streptococcus","Colidextribacter",1,1,0,"Positive"
"Streptococcus","Mucispirillum",1,1,0,"Positive"
"Muribaculaceae","Alistipes",1,-1,0,"Negative"
"Muribaculaceae","Colidextribacter",1,-1,0,"Negative"
"Muribaculaceae","Mucispirillum",1,-1,0,"Negative"
"Pseudomonas","Lachnospiraceae_NK4A136_group",1,1,0,"Positive"
"Pseudomonas","Corynebacterium",1,-1,0,"Negative"
"Pseudomonas","Prevotellaceae_UCG-001",1,-1,0,"Negative"
"Pseudomonas","Clostridia_UCG-014",1,1,0,"Positive"
"Pseudomonas","Staphylococcus",1,-1,0,"Negative"
"Pseudomonas","Cutibacterium",1,1,0,"Positive"
"Pseudomonas","Candidatus_Saccharimonas",1,1,0,"Positive"
"Pseudomonas","Brevibacillus",1,1,0,"Positive"
"Lactobacillus","Alloprevotella",1,-1,0,"Negative"
"Lactobacillus","Bacteroides",1,-1,0,"Negative"
"Lactobacillus","Rikenellaceae_RC9_gut_group",1,-1,0,"Negative"
"Lactobacillus","Others",1,1,0,"Positive"
"Alloprevotella","Bacteroides",1,1,0,"Positive"
"Alloprevotella","Rikenellaceae_RC9_gut_group",1,1,0,"Positive"
"Alloprevotella","Others",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Corynebacterium",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Prevotellaceae_UCG-001",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Clostridia_UCG-014",1,1,0,"Positive"
"Lachnospiraceae_NK4A136_group","Staphylococcus",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Cutibacterium",1,1,0,"Positive"
"Lachnospiraceae_NK4A136_group","Candidatus_Saccharimonas",1,1,0,"Positive"
"Lachnospiraceae_NK4A136_group","Brevibacillus",1,1,0,"Positive"
"Corynebacterium","Prevotellaceae_UCG-001",1,1,0,"Positive"
"Corynebacterium","Clostridia_UCG-014",1,-1,0,"Negative"
"Corynebacterium","Staphylococcus",1,1,0,"Positive"
"Corynebacterium","Cutibacterium",1,-1,0,"Negative"
"Corynebacterium","Candidatus_Saccharimonas",1,-1,0,"Negative"
"Corynebacterium","Brevibacillus",1,-1,0,"Negative"
"Bacteroides","Rikenellaceae_RC9_gut_group",1,1,0,"Positive"
"Bacteroides","Others",1,-1,0,"Negative"
"Prevotellaceae_UCG-001","Clostridia_UCG-014",1,-1,0,"Negative"
"Prevotellaceae_UCG-001","Staphylococcus",1,1,0,"Positive"
"Prevotellaceae_UCG-001","Cutibacterium",1,-1,0,"Negative"
"Prevotellaceae_UCG-001","Candidatus_Saccharimonas",1,-1,0,"Negative"
"Prevotellaceae_UCG-001","Brevibacillus",1,-1,0,"Negative"
"Clostridia_UCG-014","Staphylococcus",1,-1,0,"Negative"
"Clostridia_UCG-014","Cutibacterium",1,1,0,"Positive"
"Clostridia_UCG-014","Candidatus_Saccharimonas",1,1,0,"Positive"
"Clostridia_UCG-014","Brevibacillus",1,1,0,"Positive"
"Alistipes","Colidextribacter",1,1,0,"Positive"
"Alistipes","Mucispirillum",1,1,0,"Positive"
"Staphylococcus","Cutibacterium",1,-1,0,"Negative"
"Staphylococcus","Candidatus_Saccharimonas",1,-1,0,"Negative"
"Staphylococcus","Brevibacillus",1,-1,0,"Negative"
"Cutibacterium","Candidatus_Saccharimonas",1,1,0,"Positive"
"Cutibacterium","Brevibacillus",1,1,0,"Positive"
"Colidextribacter","Mucispirillum",1,1,0,"Positive"
"Candidatus_Saccharimonas","Brevibacillus",1,1,0,"Positive"
"Rikenellaceae_RC9_gut_group","Others",1,-1,0,"Negative"
