"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Muribaculaceae",1,-1,0,"Negative"
"Streptococcus","Lactobacillus",1,1,0,"Positive"
"Streptococcus","Lachnospiraceae_NK4A136_group",1,1,0,"Positive"
"Streptococcus","Coriobacteriaceae_UCG-002",1,-1,0,"Negative"
"Streptococcus","Helicobacter",1,1,0,"Positive"
"Streptococcus","Faecalibaculum",1,-1,0,"Negative"
"Streptococcus","Colidextribacter",1,1,0,"Positive"
"Streptococcus","Others",1,1,0,"Positive"
"Muribaculaceae","Lactobacillus",1,-1,0,"Negative"
"Muribaculaceae","Lachnospiraceae_NK4A136_group",1,-1,0,"Negative"
"Muribaculaceae","Coriobacteriaceae_UCG-002",1,1,0,"Positive"
"Muribaculaceae","Helicobacter",1,-1,0,"Negative"
"Muribaculaceae","Faecalibaculum",1,1,0,"Positive"
"Muribaculaceae","Colidextribacter",1,-1,0,"Negative"
"Muribaculaceae","Others",1,-1,0,"Negative"
"Lactobacillus","Lachnospiraceae_NK4A136_group",1,1,0,"Positive"
"Lactobacillus","Coriobacteriaceae_UCG-002",1,-1,0,"Negative"
"Lactobacillus","Helicobacter",1,1,0,"Positive"
"Lactobacillus","Faecalibaculum",1,-1,0,"Negative"
"Lactobacillus","Colidextribacter",1,1,0,"Positive"
"Lactobacillus","Others",1,1,0,"Positive"
"Candidatus_Arthromitus","Corynebacterium",1,1,0,"Positive"
"Candidatus_Arthromitus","Bacteroides",1,-1,0,"Negative"
"Candidatus_Arthromitus","Alistipes",1,-1,0,"Negative"
"Candidatus_Arthromitus","Lawsonella",1,1,0,"Positive"
"Candidatus_Arthromitus","Clostridium_sensu_stricto_1",1,-1,0,"Negative"
"Candidatus_Arthromitus","Mucispirillum",1,1,0,"Positive"
"Candidatus_Arthromitus","Lachnoclostridium",1,-1,0,"Negative"
"Candidatus_Arthromitus","Turicibacter",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Coriobacteriaceae_UCG-002",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Helicobacter",1,1,0,"Positive"
"Lachnospiraceae_NK4A136_group","Faecalibaculum",1,-1,0,"Negative"
"Lachnospiraceae_NK4A136_group","Colidextribacter",1,1,0,"Positive"
"Lachnospiraceae_NK4A136_group","Others",1,1,0,"Positive"
"Corynebacterium","Bacteroides",1,-1,0,"Negative"
"Corynebacterium","Alistipes",1,-1,0,"Negative"
"Corynebacterium","Lawsonella",1,1,0,"Positive"
"Corynebacterium","Clostridium_sensu_stricto_1",1,-1,0,"Negative"
"Corynebacterium","Mucispirillum",1,1,0,"Positive"
"Corynebacterium","Lachnoclostridium",1,-1,0,"Negative"
"Corynebacterium","Turicibacter",1,-1,0,"Negative"
"Coriobacteriaceae_UCG-002","Helicobacter",1,-1,0,"Negative"
"Coriobacteriaceae_UCG-002","Faecalibaculum",1,1,0,"Positive"
"Coriobacteriaceae_UCG-002","Colidextribacter",1,-1,0,"Negative"
"Coriobacteriaceae_UCG-002","Others",1,-1,0,"Negative"
"Helicobacter","Faecalibaculum",1,-1,0,"Negative"
"Helicobacter","Colidextribacter",1,1,0,"Positive"
"Helicobacter","Others",1,1,0,"Positive"
"Bacteroides","Alistipes",1,1,0,"Positive"
"Bacteroides","Lawsonella",1,-1,0,"Negative"
"Bacteroides","Clostridium_sensu_stricto_1",1,1,0,"Positive"
"Bacteroides","Mucispirillum",1,-1,0,"Negative"
"Bacteroides","Lachnoclostridium",1,1,0,"Positive"
"Bacteroides","Turicibacter",1,1,0,"Positive"
"Alistipes","Lawsonella",1,-1,0,"Negative"
"Alistipes","Clostridium_sensu_stricto_1",1,1,0,"Positive"
"Alistipes","Mucispirillum",1,-1,0,"Negative"
"Alistipes","Lachnoclostridium",1,1,0,"Positive"
"Alistipes","Turicibacter",1,1,0,"Positive"
"Cutibacterium","Romboutsia",1,1,0,"Positive"
"Faecalibaculum","Colidextribacter",1,-1,0,"Negative"
"Faecalibaculum","Others",1,-1,0,"Negative"
"Lawsonella","Clostridium_sensu_stricto_1",1,-1,0,"Negative"
"Lawsonella","Mucispirillum",1,1,0,"Positive"
"Lawsonella","Lachnoclostridium",1,-1,0,"Negative"
"Lawsonella","Turicibacter",1,-1,0,"Negative"
"Colidextribacter","Others",1,1,0,"Positive"
"Clostridium_sensu_stricto_1","Mucispirillum",1,-1,0,"Negative"
"Clostridium_sensu_stricto_1","Lachnoclostridium",1,1,0,"Positive"
"Clostridium_sensu_stricto_1","Turicibacter",1,1,0,"Positive"
"Mucispirillum","Lachnoclostridium",1,-1,0,"Negative"
"Mucispirillum","Turicibacter",1,-1,0,"Negative"
"Lachnoclostridium","Turicibacter",1,1,0,"Positive"
