"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Ralstonia",1,-1,0,"Negative"
"Streptococcus","Bacteroides",1,1,0,"Positive"
"Streptococcus","Prevotella",1,1,0,"Positive"
"Streptococcus","Others",1,-1,0,"Negative"
"Muribaculaceae","Pseudomonas",1,1,0,"Positive"
"Muribaculaceae","Lactobacillus",1,1,0,"Positive"
"Muribaculaceae","Bifidobacterium",1,1,0,"Positive"
"Muribaculaceae","Blautia",1,1,0,"Positive"
"Muribaculaceae","Staphylococcus",1,1,0,"Positive"
"Muribaculaceae","Faecalibacterium",1,1,0,"Positive"
"Muribaculaceae","Bacillus",1,-1,0,"Negative"
"Muribaculaceae","Pseudarthrobacter",1,-1,0,"Negative"
"Muribaculaceae","Ruminococcus_torques_group",1,1,0,"Positive"
"Muribaculaceae","Streptomyces",1,-1,0,"Negative"
"Muribaculaceae","Romboutsia",1,1,0,"Positive"
"Muribaculaceae","Escherichia-Shigella",1,1,0,"Positive"
"Muribaculaceae","Nocardioides",1,-1,0,"Negative"
"Muribaculaceae","67-14",1,-1,0,"Negative"
"Muribaculaceae","Acinetobacter",1,-1,0,"Negative"
"Muribaculaceae","Skermanella",1,-1,0,"Negative"
"Muribaculaceae","Subdoligranulum",1,1,0,"Positive"
"Pseudomonas","Lactobacillus",1,1,0,"Positive"
"Pseudomonas","Bifidobacterium",1,1,0,"Positive"
"Pseudomonas","Blautia",1,1,0,"Positive"
"Pseudomonas","Staphylococcus",1,1,0,"Positive"
"Pseudomonas","Faecalibacterium",1,1,0,"Positive"
"Pseudomonas","Bacillus",1,-1,0,"Negative"
"Pseudomonas","Pseudarthrobacter",1,-1,0,"Negative"
"Pseudomonas","Ruminococcus_torques_group",1,1,0,"Positive"
"Pseudomonas","Streptomyces",1,-1,0,"Negative"
"Pseudomonas","Romboutsia",1,1,0,"Positive"
"Pseudomonas","Escherichia-Shigella",1,1,0,"Positive"
"Pseudomonas","Nocardioides",1,-1,0,"Negative"
"Pseudomonas","67-14",1,-1,0,"Negative"
"Pseudomonas","Acinetobacter",1,-1,0,"Negative"
"Pseudomonas","Skermanella",1,-1,0,"Negative"
"Pseudomonas","Subdoligranulum",1,1,0,"Positive"
"Lactobacillus","Bifidobacterium",1,1,0,"Positive"
"Lactobacillus","Blautia",1,1,0,"Positive"
"Lactobacillus","Staphylococcus",1,1,0,"Positive"
"Lactobacillus","Faecalibacterium",1,1,0,"Positive"
"Lactobacillus","Bacillus",1,-1,0,"Negative"
"Lactobacillus","Pseudarthrobacter",1,-1,0,"Negative"
"Lactobacillus","Ruminococcus_torques_group",1,1,0,"Positive"
"Lactobacillus","Streptomyces",1,-1,0,"Negative"
"Lactobacillus","Romboutsia",1,1,0,"Positive"
"Lactobacillus","Escherichia-Shigella",1,1,0,"Positive"
"Lactobacillus","Nocardioides",1,-1,0,"Negative"
"Lactobacillus","67-14",1,-1,0,"Negative"
"Lactobacillus","Acinetobacter",1,-1,0,"Negative"
"Lactobacillus","Skermanella",1,-1,0,"Negative"
"Lactobacillus","Subdoligranulum",1,1,0,"Positive"
"Ralstonia","Bacteroides",1,-1,0,"Negative"
"Ralstonia","Prevotella",1,-1,0,"Negative"
"Ralstonia","Others",1,1,0,"Positive"
"Bifidobacterium","Blautia",1,1,0,"Positive"
"Bifidobacterium","Staphylococcus",1,1,0,"Positive"
"Bifidobacterium","Faecalibacterium",1,1,0,"Positive"
"Bifidobacterium","Bacillus",1,-1,0,"Negative"
"Bifidobacterium","Pseudarthrobacter",1,-1,0,"Negative"
"Bifidobacterium","Ruminococcus_torques_group",1,1,0,"Positive"
"Bifidobacterium","Streptomyces",1,-1,0,"Negative"
"Bifidobacterium","Romboutsia",1,1,0,"Positive"
"Bifidobacterium","Escherichia-Shigella",1,1,0,"Positive"
"Bifidobacterium","Nocardioides",1,-1,0,"Negative"
"Bifidobacterium","67-14",1,-1,0,"Negative"
"Bifidobacterium","Acinetobacter",1,-1,0,"Negative"
"Bifidobacterium","Skermanella",1,-1,0,"Negative"
"Bifidobacterium","Subdoligranulum",1,1,0,"Positive"
"Bacteroides","Prevotella",1,1,0,"Positive"
"Bacteroides","Others",1,-1,0,"Negative"
"Blautia","Staphylococcus",1,1,0,"Positive"
"Blautia","Faecalibacterium",1,1,0,"Positive"
"Blautia","Bacillus",1,-1,0,"Negative"
"Blautia","Pseudarthrobacter",1,-1,0,"Negative"
"Blautia","Ruminococcus_torques_group",1,1,0,"Positive"
"Blautia","Streptomyces",1,-1,0,"Negative"
"Blautia","Romboutsia",1,1,0,"Positive"
"Blautia","Escherichia-Shigella",1,1,0,"Positive"
"Blautia","Nocardioides",1,-1,0,"Negative"
"Blautia","67-14",1,-1,0,"Negative"
"Blautia","Acinetobacter",1,-1,0,"Negative"
"Blautia","Skermanella",1,-1,0,"Negative"
"Blautia","Subdoligranulum",1,1,0,"Positive"
"Staphylococcus","Faecalibacterium",1,1,0,"Positive"
"Staphylococcus","Bacillus",1,-1,0,"Negative"
"Staphylococcus","Pseudarthrobacter",1,-1,0,"Negative"
"Staphylococcus","Ruminococcus_torques_group",1,1,0,"Positive"
"Staphylococcus","Streptomyces",1,-1,0,"Negative"
"Staphylococcus","Romboutsia",1,1,0,"Positive"
"Staphylococcus","Escherichia-Shigella",1,1,0,"Positive"
"Staphylococcus","Nocardioides",1,-1,0,"Negative"
"Staphylococcus","67-14",1,-1,0,"Negative"
"Staphylococcus","Acinetobacter",1,-1,0,"Negative"
"Staphylococcus","Skermanella",1,-1,0,"Negative"
"Staphylococcus","Subdoligranulum",1,1,0,"Positive"
"Faecalibacterium","Bacillus",1,-1,0,"Negative"
"Faecalibacterium","Pseudarthrobacter",1,-1,0,"Negative"
"Faecalibacterium","Ruminococcus_torques_group",1,1,0,"Positive"
"Faecalibacterium","Streptomyces",1,-1,0,"Negative"
"Faecalibacterium","Romboutsia",1,1,0,"Positive"
"Faecalibacterium","Escherichia-Shigella",1,1,0,"Positive"
"Faecalibacterium","Nocardioides",1,-1,0,"Negative"
"Faecalibacterium","67-14",1,-1,0,"Negative"
"Faecalibacterium","Acinetobacter",1,-1,0,"Negative"
"Faecalibacterium","Skermanella",1,-1,0,"Negative"
"Faecalibacterium","Subdoligranulum",1,1,0,"Positive"
"Bacillus","Pseudarthrobacter",1,1,0,"Positive"
"Bacillus","Ruminococcus_torques_group",1,-1,0,"Negative"
"Bacillus","Streptomyces",1,1,0,"Positive"
"Bacillus","Romboutsia",1,-1,0,"Negative"
"Bacillus","Escherichia-Shigella",1,-1,0,"Negative"
"Bacillus","Nocardioides",1,1,0,"Positive"
"Bacillus","67-14",1,1,0,"Positive"
"Bacillus","Acinetobacter",1,1,0,"Positive"
"Bacillus","Skermanella",1,1,0,"Positive"
"Bacillus","Subdoligranulum",1,-1,0,"Negative"
"Pseudarthrobacter","Ruminococcus_torques_group",1,-1,0,"Negative"
"Pseudarthrobacter","Streptomyces",1,1,0,"Positive"
"Pseudarthrobacter","Romboutsia",1,-1,0,"Negative"
"Pseudarthrobacter","Escherichia-Shigella",1,-1,0,"Negative"
"Pseudarthrobacter","Nocardioides",1,1,0,"Positive"
"Pseudarthrobacter","67-14",1,1,0,"Positive"
"Pseudarthrobacter","Acinetobacter",1,1,0,"Positive"
"Pseudarthrobacter","Skermanella",1,1,0,"Positive"
"Pseudarthrobacter","Subdoligranulum",1,-1,0,"Negative"
"Ruminococcus_torques_group","Streptomyces",1,-1,0,"Negative"
"Ruminococcus_torques_group","Romboutsia",1,1,0,"Positive"
"Ruminococcus_torques_group","Escherichia-Shigella",1,1,0,"Positive"
"Ruminococcus_torques_group","Nocardioides",1,-1,0,"Negative"
"Ruminococcus_torques_group","67-14",1,-1,0,"Negative"
"Ruminococcus_torques_group","Acinetobacter",1,-1,0,"Negative"
"Ruminococcus_torques_group","Skermanella",1,-1,0,"Negative"
"Ruminococcus_torques_group","Subdoligranulum",1,1,0,"Positive"
"Prevotella","Others",1,-1,0,"Negative"
"Streptomyces","Romboutsia",1,-1,0,"Negative"
"Streptomyces","Escherichia-Shigella",1,-1,0,"Negative"
"Streptomyces","Nocardioides",1,1,0,"Positive"
"Streptomyces","67-14",1,1,0,"Positive"
"Streptomyces","Acinetobacter",1,1,0,"Positive"
"Streptomyces","Skermanella",1,1,0,"Positive"
"Streptomyces","Subdoligranulum",1,-1,0,"Negative"
"Romboutsia","Escherichia-Shigella",1,1,0,"Positive"
"Romboutsia","Nocardioides",1,-1,0,"Negative"
"Romboutsia","67-14",1,-1,0,"Negative"
"Romboutsia","Acinetobacter",1,-1,0,"Negative"
"Romboutsia","Skermanella",1,-1,0,"Negative"
"Romboutsia","Subdoligranulum",1,1,0,"Positive"
"Escherichia-Shigella","Nocardioides",1,-1,0,"Negative"
"Escherichia-Shigella","67-14",1,-1,0,"Negative"
