"from","to","weight","correlation","p_value","edge_type"
"Streptococcus","Others",1,-1,0,"Negative"
"Muribaculaceae","Pseudomonas",1,-1,0,"Negative"
"Muribaculaceae","Lactobacillus",1,1,0,"Positive"
"Muribaculaceae","Rodentibacter",1,1,0,"Positive"
"Muribaculaceae","Ralstonia",1,-1,0,"Negative"
"Pseudomonas","Lactobacillus",1,-1,0,"Negative"
"Pseudomonas","Rodentibacter",1,-1,0,"Negative"
"Pseudomonas","Ralstonia",1,1,0,"Positive"
"Lactobacillus","Rodentibacter",1,1,0,"Positive"
"Lactobacillus","Ralstonia",1,-1,0,"Negative"
"Rodentibacter","Ralstonia",1,-1,0,"Negative"
