"Observed","Shannon","Simpson","Sample","Site","Condition","Treatment"
429,3.56880935430733,0.929720800777232,"dbN.1.B","Gut","DB","Control"
279,3.58757462046129,0.914724535246954,"dbN.1.F","Fecal","DB","Control"
1741,5.82601903415521,0.973783989849658,"dbN.1.L","Lung","DB","Control"
401,2.15683697936126,0.656260362788464,"dbN.1.O","Oral","DB","Control"
726,4.9087310585476,0.97866127365729,"dbN.2.B","Gut","DB","Control"
419,3.82671045737437,0.896554827643696,"dbN.2.F","Fecal","DB","Control"
1848,6.41459323475186,0.993366770858575,"dbN.2.L","Lung","DB","Control"
177,2.05255620398494,0.7212129760569,"dbN.2.O","Oral","DB","Control"
841,4.66830819883111,0.965432924618072,"dbN.3.B","Gut","DB","Control"
620,5.23192105023535,0.983180535392388,"dbN.3.F","Fecal","DB","Control"
763,5.46406087668041,0.990412181613482,"dbN.3.L","Lung","DB","Control"
154,1.78693576095636,0.687062854356871,"dbN.3.O","Oral","DB","Control"
756,4.94977221613995,0.971639703988885,"dbS.1.B","Gut","DB","Treated"
427,4.16597476509232,0.948837973706152,"dbS.1.F","Fecal","DB","Treated"
874,4.29711467828996,0.905341391405702,"dbS.1.L","Lung","DB","Treated"
477,3.30445144949822,0.885443154961985,"dbS.1.O","Oral","DB","Treated"
683,4.80288554932865,0.973368001217425,"dbS.2.B","Gut","DB","Treated"
684,5.08128220209386,0.978838747426207,"dbS.2.F","Fecal","DB","Treated"
269,2.48531428595841,0.849079023130497,"dbS.2.L","Lung","DB","Treated"
324,2.26043124161398,0.773599591338479,"dbS.2.O","Oral","DB","Treated"
691,4.7485807588967,0.964485425231833,"dbS.3.B","Gut","DB","Treated"
429,4.54084919167703,0.973939973665543,"dbS.3.F","Fecal","DB","Treated"
1769,6.12660997875866,0.984402254208878,"dbS.3.L","Lung","DB","Treated"
385,3.15683333613455,0.872577146876395,"dbS.3.O","Oral","DB","Treated"
468,4.79513009793115,0.980394019197113,"WTN.1.B","Gut","WT","Control"
461,4.50030909362595,0.969372184691832,"WTN.1.F","Fecal","WT","Control"
567,2.81308928554533,0.783836736012925,"WTN.1.L","Lung","WT","Control"
410,2.32222130879001,0.617737748647942,"WTN.1.O","Oral","WT","Control"
640,4.46910161589819,0.960281643909289,"WTN.2.B","Gut","WT","Control"
560,5.11898393046746,0.987053879167907,"WTN.2.F","Fecal","WT","Control"
1042,4.84046856281733,0.94888801777577,"WTN.2.L","Lung","WT","Control"
326,1.98457677174686,0.720829853610231,"WTN.2.O","Oral","WT","Control"
880,5.16925222201968,0.975226166882537,"WTN.3.B","Gut","WT","Control"
567,5.18108713066721,0.986277023269654,"WTN.3.F","Fecal","WT","Control"
924,4.15216596868276,0.901814030424297,"WTN.3.L","Lung","WT","Control"
355,1.76023850437806,0.467521235327515,"WTN.3.O","Oral","WT","Control"
588,4.57186770129166,0.952969891753808,"WTS.1.B","Gut","WT","Treated"
509,5.07197062569588,0.987073241470263,"WTS.1.F","Fecal","WT","Treated"
591,4.38774442969713,0.94227080391739,"WTS.1.L","Lung","WT","Treated"
331,2.0340182805338,0.720742955996901,"WTS.1.O","Oral","WT","Treated"
130,2.5916585620556,0.855155275560259,"WTS.2.B","Gut","WT","Treated"
476,4.90536921775319,0.983040105906412,"WTS.2.F","Fecal","WT","Treated"
641,3.96348027445931,0.890799630207501,"WTS.2.L","Lung","WT","Treated"
472,2.65170107362184,0.728990511136671,"WTS.2.O","Oral","WT","Treated"
711,4.93105356878188,0.981994832229431,"WTS.3.B","Gut","WT","Treated"
484,4.3611957467333,0.959999256752808,"WTS.3.F","Fecal","WT","Treated"
1292,5.23816195076926,0.952739710378195,"WTS.3.L","Lung","WT","Treated"
