"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Bacilli",0.486960037738392,0.414448412965833,0.079890828222926,0.855549565334591,0.242637644046095,0.465361547274075,0.121066109576117,0.874317676393288,0.355414785362895,0.268245838668374,0.124839948783611,0.804872295976818,0.416840757463441,0.547914279938001,0.286912864748298,0.686367005862929,0.410876743715884,0.349787721544578,0.505627063818316,0.789541074196374,0.469674506368354,0.316294898578071,0.103443628276838,0.683165981535143,0.129725722757598,0.184311611294562,0.026821214367545,0.73286609609812,0.104892512972572,0.121066109576117,0.101421928701395,0.223835837994474,0.132657187141991,0.0151627468158232,0.375160051216389,0.760361210324146,0.304265786104185,0.0707931801334322,0.263191589729766,0.54848709481771,0.354336545589325,0.050407709414381,0.397263966574567,0.639800525641889,0.102196913538648,0.0945818451378125,0.17140642900465
"Bacteroidia",0.045151290518229,0.524327784891165,0.0226430352449626,0.0271581642967855,0.110216321854572,0.409697418963542,0.0221376103511018,0.00299885437024058,0.0625379068670395,0.38348271446863,0.16625109508727,3.36949929240515e-05,0.0854841970483186,0.331996765280679,0.0306624435608868,0.0496327245771279,0.104926207965496,0.347867106947907,0.0106476177640003,0.000438034908012669,0.09165038075342,0.541208976346115,0.0404002965159378,0.0809690679964957,0.405755104791428,0.539490531706988,0.0317743783273806,0.068771480557989,0.638520115910775,0.570085585282027,0.095592694925534,0.00626726868387358,0.194487499157625,0.339274883752274,0.0560347732326976,0.03143742839814,0.158871891636903,0.393422737381225,0.133432171979244,0.00400970415796213,0.125614933620864,0.500640204865557,0.0887863063548756,0.0495653345912797,0.292304063616146,0.463508322663252,0.0447132556102164
"Gammaproteobacteria",0.00357166924994946,0.0155670867309118,0.264067659545791,0.0342004178179123,0.0309320035042793,0.0152975267875194,0.181919266796954,0.0715681649706853,0.0657726261877485,0.0250016847496462,0.0950872700316733,0.0337286879169755,0.0343351977896085,0.0119280274951142,0.370914482107958,0.14670799919132,0.0103443628276838,0.0535413437563178,0.311206954646539,0.0494305546195835,0.0138823370847092,0.0141518970281016,0.197722218478334,0.116315115573826,0.0401307365725453,0.0184648561223802,0.58824718646809,0.0165105465327852,0.0146236269290383,0.00889547813194959,0.38415661432711,0.239402924725386,0.0178246512568232,0.00424556910843049,0.261304670126019,0.048453399824786,0.0461284453130265,0.0748028842913943,0.0437024058224948,0.152672012938877,0.00067389985848103,0.00481838398813936,0.0612574971359256,0.0764876339375969,0.0103106678347598,0.017015971426646,0.293820338297728
"Clostridia",0.368555832603274,0.0125008423748231,0.104353393085787,0.0343015027966844,0.183502931464384,0.0781049935979513,0.055630433317609,0.00208908956129119,0.343891097782869,0.291562773771817,0.351573556169552,0.00454882404474695,0.344969337556437,0.0659747961452928,0.133027832064155,0.0284722690208235,0.273839207493765,0.164566345441067,0.0174203113417346,0.0139834220634814,0.337960779028235,0.0741289844329132,0.171777073926814,0.0257766695868994,0.208302446256486,0.196542893725992,0.0150953568299751,0.024226699912393,0.153851337691219,0.236302985376373,0.17565199811308,0.0127367073252915,0.447570591010174,0.581979917784214,0.12325628411618,0.0256081946222791,0.290855178920412,0.413403868185187,0.154963272457713,0.0320102432778489,0.0420176561762922,0.356897365051552,0.214940359862524,0.0343015027966844,0.522238695329871,0.235932340454208,0.171642293955118
"Actinobacteria",0.00107823977356965,0.0257766695868994,0.171372734011725,0.00471729900936721,0.311004784688995,0.00626726868387358,0.223734753015702,0.00397600916503808,0.00808679830177235,0.00657052362019004,0.0743648493833816,0.00963676797627873,0.00323471932070894,0.0263157894736842,0.0433654558932543,0.0240919199406968,0.0974122245434329,0.0349080126693173,0.00491946896691152,0.0136127771413168,0.00272929442684817,0.0272929442684817,0.165745670193409,0.0246310398274816,0.0266864343958488,0.0109508727003167,0.00744659343621538,0.0286744389783678,0.0148931868724308,0.0138486420917852,0.0499359795134443,0.00239234449760766,0.0180268212143675,0.0171507513983422,0.0244288698699373,0.0102769728418357,0.0462969202776467,0.00579553878293685,0.026854909360469,0.00475099400229126,0.28900195430959,0.0255744996293551,0.0213289305209246,0.0184311611294562,0.016342071568165,0.0240919199406968,0.0302917986387223
"Coriobacteriia",0.000943459801873442,0.000707594851405081,0.0022912595188355,0.000606509872632927,0.00306624435608869,0.000404339915088618,0.000471729900936721,3.36949929240515e-05,0.000505424893860772,0.00151627468158232,0.00812049329469641,0,0.00296515937731653,0.000842374823101287,0.00192061459667093,0.000640204865556978,0.00303254936316463,0.00148257968865827,0.000370644922164566,0.00023586495046836,0.00421187411550644,0.00181952961789878,0.000977154794797493,0.000606509872632927,0.0275625042118741,0.00296515937731653,0.00171844463912663,0.00232495451175955,0.027495114226026,0.00549228384662039,0.00407709414381023,0.000707594851405081,0.0104117528135319,0.00107823977356965,0.00272929442684817,0.000101084978772154,0.0309656984972033,0.00138149470988611,0.0090976480894939,0.000438034908012669,0.162308780915156,0.00973785295505088,0.00788462834422805,0.00101084978772154,0.00795201833007615,0.00448143405889885,0.00397600916503808
"Verrucomicrobiae",0,0,0.00606509872632927,0.000269559943392412,0.00138149470988611,0,0.00384122919334187,0.000101084978772154,0.000168474964620257,0.000808679830177236,0.0166116315115574,0,0.000438034908012669,0.00168474964620257,0.00434665408720264,0.000168474964620257,0.000977154794797493,0.00188691960374688,0.000202169957544309,6.7389985848103e-05,0.00198800458251904,0.0011793247523418,0.00495316395983557,0,6.7389985848103e-05,0.000808679830177236,0.000202169957544309,0.000134779971696206,0.00225756452591145,0.00128040973111396,0.00737920345036728,0,0.00195430958959499,0.000741289844329133,0.00478468899521531,3.36949929240515e-05,0.00586292876878496,0.00370644922164566,0.00454882404474695,0,0.000943459801873442,0.00114562975941775,0.000876069816025339,0.00299885437024058,0.00919873306826606,0.145899319361143,0.00502055394568367
"Campylobacteria",0.0610890221713053,0.0021564795471393,0.000336949929240515,0.00545858885369634,0.052362019003976,0.000471729900936721,0,0,0.0648628613787991,0.00343688927825325,0.000404339915088618,0,0.056270638183166,0.00165105465327852,0.00293146438439248,0.000336949929240515,0.0289103039288362,0.00336949929240515,0.00114562975941775,0.000134779971696206,0.0244962598557854,0.00987263292674708,0.000269559943392412,0.00134779971696206,0.0532043938270773,0.0131747422333041,0.00023586495046836,0.000168474964620257,0.00407709414381023,0.00309993934901274,0.0033358042994811,0.00067389985848103,0.122986724172788,0.00394231417211402,0.00522272390322798,0.000168474964620257,0.00535750387492419,0.00326841431363299,0.00148257968865827,0,0,0.00262820944807602,0.00646943864141789,0.000539119886784824,0.00737920345036728,0.000876069816025339,0.00239234449760766
"Alphaproteobacteria",0.00262820944807602,0.000808679830177236,0.0830244625648628,0.0106476177640003,0.0171844463912663,0.00387492418626592,0.10994676191118,0.00431295909427859,0.0174203113417346,0.00023586495046836,0.0369297122447604,0.000876069816025339,0.00502055394568367,0.00320102432778489,0.018330076150684,0.0120965024597345,0.0056944538041647,0.0204865556978233,0.00131410472403801,0.0033358042994811,0.00549228384662039,0.00700855852820271,0.0884493564256351,0.00208908956129119,0.00660421861311409,0.00107823977356965,0.00239234449760766,0.00259451445515196,0.00532380888200013,0.0011793247523418,0.053035918862457,0.00171844463912663,0.00387492418626592,0.000640204865556978,0.020284385740279,0.00946829301165847,0.0141518970281016,0.00256081946222791,0.00276298941977222,0.00148257968865827,3.36949929240515e-05,0.0011119347664937,0.00566075881124065,0.00529011388907608,0.00640204865556978,0.00481838398813936,0.0404339915088618
"Thermoleophilia",0.000101084978772154,0,0.0368623222589123,0.000707594851405081,0.000101084978772154,0,0.0547206685086596,0.00114562975941775,0.0011119347664937,0,0.00441404407305074,3.36949929240515e-05,0.00023586495046836,0,0.00205539456836714,6.7389985848103e-05,0.000101084978772154,0.00023586495046836,0,0.000303254936316463,0.00303254936316463,0,0.037300357166925,0.000269559943392412,3.36949929240515e-05,0,0,0.00121301974526585,0.00181952961789878,0,0.00387492418626592,0.000438034908012669,0.0010445447806456,0,0.00283037940562032,0,0.00252712446930386,0,0,6.7389985848103e-05,0,0,0.000134779971696206,0,0.00138149470988611,0,0.00397600916503808
