"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Streptococcaceae",0.00134779971696206,0.0586292876878496,0.018330076150684,0.84389109778287,0.0696812453669385,0.0389514118202035,0.0505087943931532,0.848743176763933,0.0010445447806456,0.00185322461082283,0.0524294089898241,0.801031066783476,0.00219017454006335,0.000404339915088618,0.179998652200283,0.577464788732394,0.0235191050609879,0.0241593099265449,0.299413707123122,0.767908888739133,0.00239234449760766,0.00181952961789878,0.00882808814610149,0.597951344430218,0.00977154794797493,0.0149942718512029,0.00144888469573421,0.654862187478941,0.00535750387492419,0.0264168744524564,0.0310667834759755,0.214502324954512,0.0157692566884561,0,0.258238425769931,0.747287553069614,0.00023586495046836,0.0409394164027226,0.00636835366264573,0.528741828964216,0.00289776939146843,6.7389985848103e-05,0.332468495181616,0.600444773906597,0.00727811847159512,0.0395242266999124,0.00855852820270908
"Muribaculaceae",0.0181952961789878,0.147482984028573,0.00576184379001281,0.0157692566884561,0.0264505694453804,0.26821214367545,0.00370644922164566,0.00289776939146843,0.0229799851742031,0.215614259721005,0.022878900195431,0,0.045184985511153,0.246849518161601,0.0114899925871016,0.0227778152166588,0.0657726261877485,0.221982613383651,0.00663791360603814,0,0.048453399824786,0.246984298133297,0.0208908956129119,0.0521261540535077,0.32168609744592,0.449524900599771,0.007850933351304,0.0387155468697352,0.590942785902015,0.403160590336276,0.0275625042118741,0.00481838398813936,0.149100343688928,0.258339510748703,0.0151964418087472,0.0169148864478738,0.146775389177168,0.270503403194285,0.094211200215648,0.000842374823101287,0.125614933620864,0.412763663319631,0.0728822696947234,0.0257766695868994,0.260664465260462,0.298470247321248,0.0129725722757598
"Lachnospiraceae",0.0930655704562301,0.00232495451175955,0.0622346519307231,0.0164768515398612,0.108565267201294,0.0214300154996967,0.035312352584406,0.0011119347664937,0.169047779499966,0.146943864141788,0.228249882067525,0.000168474964620257,0.209313296044208,0.0281016240986589,0.0865624368218881,0.0131410472403801,0.131140912460408,0.076588718916369,0.00886178313902554,0.00090976480894939,0.224105397937866,0.0374351371386212,0.0797897432441539,0.0135453871554687,0.125008423748231,0.135959296448548,0.00896286811779769,0.0090976480894939,0.0984230743311544,0.0987600242603948,0.0955926949255341,0.00411078913673428,0.326336006469438,0.41933418693982,0.0721072848574702,0.0100074128984433,0.222858683199676,0.186771345778017,0.107655502392344,0.00589662376170901,0.0404002965159377,0.230878091515601,0.157692566884561,0.0197789608464182,0.455084574432238,0.110384796819193,0.086360266864344
"Pseudomonadaceae",0.000134779971696206,0.00555967383246849,0.0214974054855448,0.0174540063346587,0.00289776939146843,0.00862591818855718,0.0169485814407979,0.0442078307163555,0.00741289844329133,0.00185322461082283,0.0262820944807602,0.00754767841498753,0.0161735966035447,0.00198800458251904,0.0155333917379877,0.0389177168272795,0.00232495451175955,0.0115573825729497,0.00539119886784824,0.0106139227710762,0.000977154794797493,0.00168474964620257,0.0265179594312285,0.0221039153581778,0.00694116854235461,0.0107823977356965,0.443257631915897,0.0079183233371521,0.000977154794797493,0.0023586495046836,0.0541815486218748,0.078543028505964,0.00438034908012669,0.00090976480894939,0.0233843250892917,0.0256418896152032,0.0280342341128108,0.0338634678886717,0.00936720803288631,0.0417817912258238,0.000269559943392412,0.00138149470988611,0.0146573219219624,0.0487229597681784,0.000876069816025339,0.00613248871217737,0.0270233843250893
"Lactobacillaceae",0.317979648224274,0.23926814475369,0.0103780578206079,0.00717703349282296,0.0858548419704832,0.391670597749174,0.007850933351304,0.00101084978772154,0.202338432508929,0.206145966709347,0.0371655771952288,0.000572814879708875,0.260799245232158,0.317979648224274,0.0656715412089763,0.0591010175887863,0.234348675786778,0.214165375025271,0.196677673697689,0.00283037940562032,0.295370307972235,0.173293348608397,0.0254060246647348,0.0434328458791024,0.0341330278320642,0.128344228047712,0.0155333917379877,0.0371992721881528,0.0257766695868994,0.0356829975065705,0.0343688927825325,0.00336949929240515,0.0840016173596603,0.00704225352112676,0.0472740750724442,0.00950198800458252,0.225352112676056,0.0181616011860638,0.229934631713727,0.00148257968865827,0.254127636633196,0.0245299548487095,0.0455893254262417,0.0241256149336209,0.0657389311948245,0.0266190444100007,0.0513848642091785
"Pasteurellaceae",0.000101084978772154,0.00225756452591145,0.00101084978772154,0.00751398342206348,0.019610485881798,0.00158366466743042,0.00198800458251904,0.00522272390322798,3.36949929240515e-05,0,0.00171844463912663,0.00832266325224072,0,0,0.00633465866972168,0.0746681043196981,0.00384122919334187,0.00414448412965833,0.300458251903767,0.0173192263629625,0,0.000202169957544309,0.00178583462497473,0.0817103578408249,0,0.0022912595188355,0.00249342947637981,0.00259451445515196,0.000741289844329133,0,0.020318080733203,0.00067389985848103,0.00114562975941775,0,0.00151627468158232,0.00144888469573421,0,0,0.00219017454006335,0.00522272390322798,0,0,0.00114562975941775,0.00461621403059505,0.000876069816025339,0.000539119886784824,0.000336949929240515
"Burkholderiaceae",0,0.00131410472403801,0.140541815486219,0.00663791360603814,0.00114562975941775,0.00101084978772154,0.0512163892445583,0.0109845676932408,0.000438034908012669,0.0012467147381899,0.0129725722757598,0.0160388166318485,0.000168474964620257,0.00185322461082283,0.291731248736438,0.00997371790551924,0.000977154794797493,0.0068063885706584,0.00219017454006335,0.0090976480894939,0.000438034908012669,0.0010445447806456,0.106947907540939,0.00491946896691152,0.0100748028842914,0.00175213963205068,0.12059437967518,0.00225756452591145,0.000438034908012669,0.00181952961789878,0.071972504885774,0.14687647415594,0.00256081946222791,0.00090976480894939,0.197587438506638,0.00768245838668374,0.00448143405889885,0.0285059640137476,0.0201496057685828,0.0985578543028506,0,0.00107823977356965,0.0068063885706584,0.0160725116247726,0.000471729900936721,0.00309993934901274,0.206482916638587
"Bifidobacteriaceae",0.000471729900936721,0.000438034908012669,0.0199811308039625,0.00154996967450637,0.00279668441269627,0.00023586495046836,0.0157692566884561,0,0.00023586495046836,0.000269559943392412,0.0656715412089763,0,0.00202169957544309,0.000505424893860772,0.0163083765752409,0.000572814879708875,0.00411078913673428,0.000202169957544309,0.00293146438439248,0.000269559943392412,0.00192061459667093,0.000168474964620257,0.0155670867309118,0.000336949929240515,0.00923242806119011,0.000101084978772154,0.00495316395983557,0.0012467147381899,0.00808679830177236,0.000336949929240515,0.0344699777613047,0.000572814879708875,0.00845744322393692,0.000101084978772154,0.0200822157827347,0.000134779971696206,0.0456230204191657,0,0.0211941505492284,0.000774984837253184,0.285902014960577,0.00320102432778489,0.011759552530494,0.00549228384662039,0.00929981804703821,0.00161735966035447,0.0234854100680639
"Prevotellaceae",0.0033358042994811,0.251432037199272,0.00225756452591145,0.0011793247523418,0.0446795606172923,0.0508794393153177,0.00219017454006335,0,0.00424556910843049,0.0688725655367612,0.0178920412426713,0,0.00697486353527866,0.0494305546195835,0.00219017454006335,0.0128714872969877,0.0121638924455826,0.0520587640676596,0.00144888469573421,0.000134779971696206,0.00832266325224072,0.156041512231282,0.00259451445515196,0.0122649774243547,0.0103443628276838,0.0313026484264438,0.0175213963205068,0.0123660624031269,0.00357166924994946,0.0496327245771278,0.0181952961789878,0.000336949929240515,0.00579553878293686,0.0123323674102028,0.00404339915088618,0.00633465866972168,0.00306624435608869,0.0500033694992924,0.0234180200822158,6.7389985848103e-05,0,0.0438034908012669,0.00306624435608869,0.00943459801873442,0.01047914279938,0.126052968528877,0.0022238695329874
"Clostridiaceae",0.2353595255745,0.000303254936316463,0.00195430958959499,0.00168474964620257,0.0152301368016713,0.000741289844329133,0.00138149470988611,0,0.13232023721275,0.00650313363434194,0.00404339915088618,0.000842374823101287,0.0289776939146843,0.000943459801873442,0.0034031942853292,0.000101084978772154,0.0786441134847362,0.00158366466743042,0.00171844463912663,0.00242603949053171,0.00943459801873442,0.00256081946222791,0.00508794393153177,0.000134779971696206,0.027461419233102,0.000842374823101287,0.000303254936316463,0,0.0143203719927219,0.000943459801873442,0.0100748028842914,0.00195430958959499,0.00977154794797493,0.00101084978772154,0.00192061459667093,0.000370644922164566,0.00525641889615203,0.00431295909427859,0.00192061459667093,0.00144888469573421,0.00023586495046836,0.0103106678347598,0.00593031875463306,0.000471729900936721,0.00933351303996226,0.00151627468158232,0.00242603949053171
