"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Streptococcus",0.00107823977356965,0.0572814879708875,0.0172518363771144,0.843250892917313,0.0640204865556978,0.0376036121032415,0.0498685895275962,0.848743176763933,0.00090976480894939,0.000876069816025339,0.0506435743648494,0.800727811847159,0.00141518970281016,0,0.17406833344565,0.573589864546128,0.0220028303794056,0.0236201900397601,0.283745535413438,0.766864343958488,0.00171844463912663,0.000808679830177236,0.00212278455421524,0.595761169890154,0.00977154794797493,0.0149942718512029,0.0012467147381899,0.653750252712447,0.00535750387492419,0.0263157894736842,0.0293146438439248,0.214502324954512,0.0140508120493295,0,0.257867780847766,0.747051688119146,0.00023586495046836,0.0409394164027226,0.00559336882539255,0.528337489049127,0.00289776939146843,6.7389985848103e-05,0.330817440528338,0.599568704090572,0.00670530359188625,0.0393894467282162,0.00700855852820271
"Muribaculaceae",0.0180605162072916,0.14637104926208,0.0056270638183166,0.0156007817238358,0.0261136195161399,0.266729563986792,0.00343688927825325,0.00289776939146843,0.0227778152166588,0.212986050272929,0.0223397803086461,0,0.0450839005323809,0.244288698699373,0.0114899925871016,0.022272390322798,0.0646943864141788,0.21864680908417,0.00650313363434194,0,0.047779499966305,0.243749578812588,0.0206213356695195,0.0514859491879507,0.313060179257362,0.443459801873442,0.007850933351304,0.0381090369971022,0.575173529213559,0.395478131949592,0.0272929442684817,0.00471729900936721,0.144147179729092,0.255172181413842,0.0147247119078105,0.0160388166318485,0.139092930790485,0.248298402857335,0.0891232562841162,0.000741289844329133,0.124873643776535,0.403598625244289,0.0708268751263562,0.0248332097850259,0.248231012871487,0.289204124267134,0.0128377923040636
"Pseudomonas",0.000134779971696206,0.00555967383246849,0.0214974054855448,0.0174540063346587,0.00289776939146843,0.00862591818855718,0.0169485814407979,0.0442078307163555,0.00741289844329133,0.00185322461082283,0.0262820944807602,0.00754767841498753,0.0161735966035447,0.00198800458251904,0.0152638317945953,0.0389177168272795,0.00232495451175955,0.0115573825729497,0.00539119886784824,0.0106139227710762,0.000977154794797493,0.00168474964620257,0.0264505694453804,0.0221039153581778,0.00694116854235461,0.0107823977356965,0.443257631915897,0.0079183233371521,0.00090976480894939,0.0023586495046836,0.0541815486218748,0.078543028505964,0.00424556910843049,0.00090976480894939,0.0232495451175955,0.0256418896152032,0.0280342341128108,0.0338634678886717,0.00936720803288631,0.0417144012399757,0.000269559943392412,0.00138149470988611,0.0144551519644181,0.0487229597681784,0.000876069816025339,0.00613248871217737,0.0270233843250893
"Lactobacillus",0.317979648224274,0.23926814475369,0.0103780578206079,0.00717703349282296,0.0858548419704832,0.391670597749174,0.007850933351304,0.00101084978772154,0.202338432508929,0.206145966709347,0.036660152301368,0.000572814879708875,0.260799245232158,0.317979648224274,0.046465395242267,0.0591010175887863,0.234348675786778,0.214165375025271,0.196677673697689,0.00283037940562032,0.295370307972235,0.173293348608397,0.0254060246647348,0.0434328458791024,0.0341330278320642,0.128344228047712,0.0154996967450637,0.0371992721881528,0.0257766695868994,0.0356829975065705,0.0341330278320642,0.00336949929240515,0.0840016173596603,0.00704225352112676,0.0253386346788867,0.00950198800458252,0.225352112676056,0.0181616011860638,0.229934631713727,0.00148257968865827,0.254127636633196,0.0245299548487095,0.0455893254262417,0.0241256149336209,0.0657389311948245,0.0266190444100007,0.0223734753015702
"Rodentibacter",0.000101084978772154,0.00225756452591145,0.000707594851405081,0.00737920345036728,0.000202169957544309,0.00158366466743042,0.00168474964620257,0.00522272390322798,3.36949929240515e-05,0,0.000707594851405081,0.00812049329469641,0,0,0.0045151290518229,0.0742637644046095,0.00272929442684817,0.00394231417211402,0.300458251903767,0.0172518363771144,0,0,0.00134779971696206,0.0814407978974324,0,0.00212278455421524,0.00249342947637981,0.00259451445515196,0.000134779971696206,0,0.00404339915088618,0.00067389985848103,0.000370644922164566,0,0.00107823977356965,0.00141518970281016,0,0,0.00219017454006335,0.00518902891030393,0,0,0.000370644922164566,0.00461621403059505,0.000101084978772154,0.000539119886784824,0.000101084978772154
"Ralstonia",0,0.00121301974526585,0.13996900060651,0.00663791360603814,0.00114562975941775,0.00101084978772154,0.0507446593436215,0.0109845676932408,0.000438034908012669,0.0012467147381899,0.0129725722757598,0.0160388166318485,0.000168474964620257,0.00158366466743042,0.291731248736438,0.00801940831592425,0.000977154794797493,0.00326841431363299,0.00219017454006335,0.0090976480894939,0.000438034908012669,0.00101084978772154,0.106105532717838,0.00434665408720264,0.00889547813194959,0.00141518970281016,0.12059437967518,0.00208908956129119,0.000438034908012669,0.00128040973111396,0.0705573151829638,0.146775389177168,0.00242603949053171,0.000774984837253184,0.197385268549094,0.00768245838668374,0.00448143405889885,0.0285059640137476,0.0201496057685828,0.0982545993665341,0,0.000808679830177236,0.0068063885706584,0.0159040366601523,0.000471729900936721,0.00279668441269627,0.206381831659815
"Bifidobacterium",0.000471729900936721,0.000438034908012669,0.0192735359525574,0.00154996967450637,0.00259451445515196,0.00023586495046836,0.0146573219219624,0,0.00023586495046836,0.000269559943392412,0.0634139766830649,0,0.00202169957544309,0.000505424893860772,0.015701866702608,0.000539119886784824,0.00411078913673428,0.000168474964620257,0.00293146438439248,0.000269559943392412,0.00192061459667093,0.000168474964620257,0.015027966844127,0.000336949929240515,0.00923242806119011,0.000101084978772154,0.00495316395983557,0.0012467147381899,0.00808679830177236,0.000336949929240515,0.0330210930655705,0.000572814879708875,0.00832266325224072,0.000101084978772154,0.0191387559808612,0.000134779971696206,0.0456230204191657,0,0.0211941505492284,0.000774984837253184,0.285902014960577,0.00320102432778489,0.011759552530494,0.00549228384662039,0.00929981804703821,0.00161735966035447,0.0223734753015702
"Candidatus_Arthromitus",0.233506300963677,0.000303254936316463,0.000707594851405081,0.00114562975941775,0.0138149470988611,0.000640204865556978,0.000505424893860772,0,0.132118067255206,0.000134779971696206,0.0021564795471393,0,0.0245973448345576,0.000168474964620257,0.00256081946222791,0.000101084978772154,0.0747017993126221,0.000168474964620257,0.00138149470988611,0,0.00535750387492419,0.00192061459667093,0.00131410472403801,0,3.36949929240515e-05,0,0,0,0.00249342947637981,0.000168474964620257,0.00828896825931667,0,0.00421187411550644,0.000303254936316463,0.00107823977356965,0,0,0.000101084978772154,0,0,0,3.36949929240515e-05,0.00353797425702541,0,0.0023586495046836,0.000101084978772154,0.000943459801873442
"Alloprevotella",0.00202169957544309,0.222285868319968,0.000370644922164566,0.000438034908012669,0.0114899925871016,0.0447132556102163,0,0,0.00306624435608869,0.0328526181009502,0.00141518970281016,0,0.00185322461082283,0.00360536424287351,0.000336949929240515,0.00764876339375969,0.00397600916503808,0.00663791360603814,0.000336949929240515,3.36949929240515e-05,0.00259451445515196,0.0598086124401914,0.000606509872632927,0.007850933351304,0.00400970415796213,0.00323471932070894,0.00256081946222791,0.00808679830177236,0.00144888469573421,0.0106813127569243,0.00374014421456971,0.000101084978772154,0.00171844463912663,0.00343688927825325,0.000977154794797493,0.00417817912258238,0.000774984837253184,0.00549228384662039,0.00259451445515196,3.36949929240515e-05,0,0.00751398342206348,0.000640204865556978,0.00400970415796213,0.000774984837253184,0.00411078913673428,0.000370644922164566
"Lachnospiraceae_NK4A136_group",0.0164094615540131,0.000943459801873442,0.00272929442684817,0.00283037940562032,0.0250690747354943,0.00882808814610149,0.000471729900936721,0,0.0249342947637981,0.0771615337960779,0.00876069816025339,0,0.0609205472066851,0.0153986117662915,0.0120291124738864,0.0021564795471393,0.0413437563178112,0.032077633263697,0.00296515937731653,0,0.0721746748433183,0.0148931868724308,0.00414448412965833,0.00852483320978503,0.0486892647752544,0.102196913538648,0.00276298941977222,0.00219017454006335,0.0355145225419503,0.0289776939146843,0.00579553878293686,0.0011119347664937,0.12665947840151,0.206482916638588,0.00178583462497473,0.00660421861311409,0.0946492351236606,0.117696610283712,0.0442078307163555,0.000876069816025339,0.000438034908012669,0.177201967787587,0.0551923984095963,0.0068737785565065,0.178347597547004,0.0679628007278118,0.011153042657861
