"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Lactobacillales",0.321652402452996,0.300390861917919,0.029483118808545,0.851607251162477,0.174203113417346,0.435103443628277,0.0588651526383179,0.870274277242402,0.2042590471056,0.211806725520588,0.0932003504279264,0.801637576656109,0.267538243816969,0.32310128714873,0.268751263562235,0.638082081002763,0.264876339375969,0.241559404272525,0.497843520452861,0.771547947974931,0.301334321719792,0.177471527730979,0.0360536424287351,0.642496125075814,0.0476110250016848,0.144147179729092,0.0175550913134308,0.693207089426511,0.032043938270773,0.0630096367679763,0.0731855246310398,0.218040299211537,0.101994743581104,0.00741289844329133,0.33159242536559,0.756789541074196,0.227306422265651,0.0595053575038749,0.242165914145158,0.531201563447672,0.257092796010513,0.0253049396859627,0.379338230338972,0.625109508727003,0.0738257294965968,0.0665476110250017,0.122784554215244
"Bacteroidales",0.0450165105465328,0.524327784891165,0.0199137408181144,0.0271581642967855,0.109980456904104,0.409090909090909,0.018970281016241,0.00299885437024058,0.058224947772761,0.383246849518161,0.164431565469371,3.36949929240515e-05,0.0841700923242806,0.331861985308983,0.0299548487094818,0.0493294696408114,0.104858817979648,0.346586697216793,0.0105802277781522,0.000370644922164566,0.09165038075342,0.524462564862861,0.0375362221173934,0.0808342880247995,0.405451849855111,0.539018801806051,0.029449423815621,0.068771480557989,0.638351640946155,0.569950805310331,0.0950198800458251,0.00626726868387358,0.194319024193005,0.338533593907945,0.0548891434732799,0.03143742839814,0.156951277040232,0.393389042388301,0.133364781993396,0.00400970415796213,0.125614933620864,0.500640204865557,0.0887863063548756,0.0495653345912797,0.291866028708134,0.463508322663252,0.0433991508861783
"Lachnospirales",0.0930655704562301,0.00232495451175955,0.0622346519307231,0.0164768515398612,0.108733742165914,0.0214300154996967,0.035312352584406,0.0011119347664937,0.169047779499966,0.147179729092257,0.228249882067525,0.000168474964620257,0.209313296044208,0.0281016240986589,0.0866972167935844,0.0131410472403801,0.131140912460408,0.0767571938809892,0.00886178313902554,0.00090976480894939,0.224172787923714,0.0374351371386212,0.079857133230002,0.0135453871554687,0.125008423748231,0.135959296448548,0.00896286811779769,0.0090976480894939,0.0986926342745468,0.0987600242603948,0.0955926949255341,0.00411078913673428,0.326403396455286,0.41933418693982,0.0721072848574702,0.0100074128984433,0.222858683199676,0.186771345778017,0.107655502392344,0.00589662376170901,0.0404002965159377,0.230878091515601,0.157692566884561,0.0197789608464182,0.455084574432238,0.110418491812117,0.0865961318148123
"Pseudomonadales",0.000539119886784824,0.00677269357773435,0.0291461688793045,0.0174540063346587,0.00313363434193679,0.0101421928701395,0.0264168744524564,0.0452523754970011,0.0120628074668104,0.00188691960374688,0.0274277242401779,0.00835635824516477,0.0165105465327852,0.00400970415796213,0.0369634072376845,0.0502055394568367,0.00249342947637981,0.0297189837590134,0.00552597883954444,0.0140171170564054,0.00272929442684817,0.00994002291259519,0.0305276635891906,0.022878900195431,0.00967046296920278,0.0113215176224813,0.446694521194151,0.00906395309656985,0.00101084978772154,0.00390861917918997,0.0554282633600647,0.0810364579823438,0.00438034908012669,0.0022238695329874,0.0258777545656715,0.0264842644383045,0.0280342341128108,0.034031942853292,0.00936720803288631,0.0423546061055327,0.000269559943392412,0.00158366466743042,0.0201496057685828,0.0489588247186468,0.00107823977356965,0.00646943864141789,0.0286407439854438
"Pasteurellales",0.000101084978772154,0.00225756452591145,0.00101084978772154,0.00751398342206348,0.019610485881798,0.00158366466743042,0.00198800458251904,0.00522272390322798,3.36949929240515e-05,0,0.00171844463912663,0.00832266325224072,0,0,0.00633465866972168,0.0746681043196981,0.00384122919334187,0.00414448412965833,0.300458251903767,0.0173192263629625,0,0.000202169957544309,0.00178583462497473,0.0817103578408249,0,0.0022912595188355,0.00249342947637981,0.00259451445515196,0.000741289844329133,0,0.020318080733203,0.00067389985848103,0.00114562975941775,0,0.00151627468158232,0.00144888469573421,0,0,0.00219017454006335,0.00522272390322798,0,0,0.00114562975941775,0.00461621403059505,0.000876069816025339,0.000539119886784824,0.000336949929240515
"Burkholderiales",0.00178583462497473,0.00323471932070894,0.181144281959701,0.00727811847159512,0.0045151290518229,0.00299885437024058,0.0941775052227239,0.0135453871554687,0.0116921625446459,0.00178583462497473,0.0318080733203046,0.0168138014691017,0.00313363434193679,0.00582923377586091,0.300458251903767,0.0181616011860638,0.00259451445515196,0.013107352247456,0.00414448412965833,0.0169148864478738,0.00690747354943055,0.00343688927825325,0.133870206887256,0.0113889076083294,0.0291798638722286,0.00424556910843049,0.129557247792978,0.00441404407305074,0.009165038075342,0.00353797425702541,0.29324752341802,0.156108902217131,0.00667160859896219,0.00158366466743042,0.204461217063144,0.0201833007615068,0.0129725722757598,0.039894871622077,0.0295842037873172,0.103409933283914,0.000269559943392412,0.0022238695329874,0.0201496057685828,0.0220028303794056,0.0044477390659748,0.00936720803288631,0.224476042860031
"Bifidobacteriales",0.000471729900936721,0.000438034908012669,0.0199811308039625,0.00154996967450637,0.00279668441269627,0.00023586495046836,0.0157692566884561,0,0.00023586495046836,0.000269559943392412,0.0656715412089763,0,0.00202169957544309,0.000505424893860772,0.0163083765752409,0.000572814879708875,0.00411078913673428,0.000202169957544309,0.00293146438439248,0.000269559943392412,0.00192061459667093,0.000168474964620257,0.0155670867309118,0.000336949929240515,0.00923242806119011,0.000101084978772154,0.00495316395983557,0.0012467147381899,0.00808679830177236,0.000336949929240515,0.0344699777613047,0.000572814879708875,0.00845744322393692,0.000101084978772154,0.0200822157827347,0.000134779971696206,0.0456230204191657,0,0.0211941505492284,0.000774984837253184,0.285902014960577,0.00320102432778489,0.011759552530494,0.00549228384662039,0.00929981804703821,0.00161735966035447,0.0234854100680639
"Clostridiales",0.2353595255745,0.000303254936316463,0.00195430958959499,0.00168474964620257,0.0152301368016713,0.000741289844329133,0.00138149470988611,0,0.132387627198598,0.00650313363434194,0.00404339915088618,0.000842374823101287,0.0289776939146843,0.000943459801873442,0.0034031942853292,0.000101084978772154,0.0786441134847362,0.00158366466743042,0.00171844463912663,0.00242603949053171,0.00943459801873442,0.00256081946222791,0.00518902891030393,0.000134779971696206,0.027461419233102,0.000842374823101287,0.000303254936316463,0,0.0143203719927219,0.000943459801873442,0.0100748028842914,0.00195430958959499,0.00977154794797493,0.00101084978772154,0.00192061459667093,0.000370644922164566,0.00525641889615203,0.00431295909427859,0.00192061459667093,0.00144888469573421,0.00023586495046836,0.0103106678347598,0.00593031875463306,0.000471729900936721,0.00933351303996226,0.00151627468158232,0.00242603949053171
"Corynebacteriales",0,0.0189028910303929,0.00407709414381023,0.00245973448345576,0.232225891232563,0.00192061459667093,0.00539119886784824,0.00313363434193679,0.000168474964620257,0.000438034908012669,0.000741289844329133,0.00148257968865827,0.000134779971696206,0.0114226026012535,0.00660421861311409,0.00555967383246849,0.0751735292135589,0.00495316395983557,0.000741289844329133,0.00323471932070894,0.00023586495046836,0.0216995754430892,0.00353797425702541,0.0156344767167599,0.00360536424287351,0.00192061459667093,0.000808679830177236,0.0221039153581778,0.00414448412965833,0.00983893793382303,0.00532380888200013,0.00090976480894939,0.00593031875463306,0.0122312824314307,0.00134779971696206,0.000707594851405081,0,0.000707594851405081,0,0.000943459801873442,0.000808679830177236,0.00862591818855718,0.00549228384662039,0.00397600916503808,0.00414448412965833,0.00586292876878496,0.000977154794797493
"Coriobacteriales",0.000943459801873442,0.000707594851405081,0.0022912595188355,0.000606509872632927,0.00306624435608869,0.000404339915088618,0.000471729900936721,3.36949929240515e-05,0.000505424893860772,0.00151627468158232,0.00812049329469641,0,0.00296515937731653,0.000842374823101287,0.00192061459667093,0.000640204865556978,0.00303254936316463,0.00148257968865827,0.000370644922164566,0.00023586495046836,0.00421187411550644,0.00181952961789878,0.000977154794797493,0.000606509872632927,0.0275625042118741,0.00296515937731653,0.00171844463912663,0.00232495451175955,0.027495114226026,0.00549228384662039,0.00407709414381023,0.000707594851405081,0.0102095828559876,0.00107823977356965,0.00272929442684817,0.000101084978772154,0.0309656984972033,0.00138149470988611,0.0090976480894939,0.000438034908012669,0.162308780915156,0.00973785295505088,0.00788462834422805,0.00101084978772154,0.00795201833007615,0.00448143405889885,0.00384122919334187
"Verrucomicrobiales",0,0,0.00367275422872161,0.000269559943392412,0.00138149470988611,0,0.0023586495046836,0,0,0.000808679830177236,0.0146573219219624,0,0.000404339915088618,0.00168474964620257,0.00370644922164566,0,0.000977154794797493,0.00178583462497473,0.000202169957544309,0,0.000572814879708875,0.0011793247523418,0.0033358042994811,0,6.7389985848103e-05,0.000808679830177236,0.000202169957544309,0.000134779971696206,0.00181952961789878,0.00128040973111396,0.00606509872632927,0,0.00171844463912663,0.000741289844329133,0.00411078913673428,3.36949929240515e-05,0.00306624435608869,0.00370644922164566,0.00454882404474695,0,0.000943459801873442,0.00114562975941775,0.000876069816025339,0.00299885437024058,0.00842374823101287,0.145899319361143,0.00380753420041782
"Oscillospirales",0.0181952961789878,0.0068063885706584,0.0308309185255071,0.011153042657861,0.0305613585821147,0.0304265786104185,0.0154996967450637,0.000977154794797493,0.0352786575914819,0.0843722622818249,0.0998719590268887,0.000505424893860772,0.0740278994541411,0.0234180200822158,0.0309993934901274,0.00896286811779769,0.0449491205606847,0.0518565941101153,0.00518902891030393,0.00154996967450637,0.074567019340926,0.0239234449760765,0.0459599703484062,0.00818788328054451,0.0253049396859627,0.035952557449963,0.00424556910843049,0.00926612305411416,0.0224408652874183,0.0787115034705842,0.0544848035581913,0.00185322461082283,0.0886178313902553,0.142563515061662,0.0384459869263428,0.00943459801873442,0.0430622009569378,0.131612642361345,0.0369634072376845,0.0201159107756587,0.000336949929240515,0.0843048722959769,0.0367612372801402,0.00987263292674708,0.0470045151290518,0.03925466675652,0.0673562908551789
"Campylobacterales",0.0610890221713053,0.0021564795471393,0.000336949929240515,0.00545858885369634,0.052362019003976,0.000471729900936721,0,0,0.0648628613787991,0.00343688927825325,0.000404339915088618,0,0.056270638183166,0.00165105465327852,0.00293146438439248,0.000336949929240515,0.0289103039288362,0.00336949929240515,0.00114562975941775,0.000134779971696206,0.0244962598557854,0.00987263292674708,0.000269559943392412,0.00134779971696206,0.0532043938270773,0.0131747422333041,0.00023586495046836,0.000168474964620257,0.00407709414381023,0.00309993934901274,0.0033358042994811,0.00067389985848103,0.122986724172788,0.00394231417211402,0.00522272390322798,0.000168474964620257,0.00535750387492419,0.00326841431363299,0.00148257968865827,0,0,0.00262820944807602,0.00646943864141789,0.000539119886784824,0.00737920345036728,0.000876069816025339,0.00239234449760766
"Clostridia_UCG-014",0.000774984837253184,0.00175213963205068,0.0022912595188355,0.00151627468158232,0.00154996967450637,0.0209919805916841,0.000269559943392412,0,0.00141518970281016,0.0242603949053171,0.00869330817440528,3.36949929240515e-05,0.00599770874048117,0.0104117528135319,0.000606509872632927,0.00188691960374688,0.000876069816025339,0.0162072915964688,0.000101084978772154,0,0.00306624435608869,0.00771615337960779,0.00380753420041782,0.00320102432778489,0.0107823977356965,0.0201496057685828,0.000438034908012669,0.00363905923579756,0.0117258575375699,0.0482175348743177,0.00175213963205068,0.000505424893860772,0.0077835433654559,0.0121975874385066,0.00293146438439248,0.00552597883954444,0.00572814879708875,0.0868993867511288,0.00414448412965833,0.000707594851405081,0.000101084978772154,0.024226699912393,0.00424556910843049,0.00330210930655705,0.00239234449760766,0.0802951681380147,0.00377383920749377
"Micrococcales",0.000269559943392412,0.00606509872632927,0.0600781723835838,3.36949929240515e-05,0.00845744322393692,0.0011119347664937,0.0815418828762046,0.00023586495046836,0.000438034908012669,0.000168474964620257,0.00326841431363299,0.00495316395983557,0.000505424893860772,0.00448143405889885,0.0151964418087472,0.00461621403059505,0.00357166924994946,0.0056944538041647,0.000741289844329133,0.00138149470988611,0.000101084978772154,0.00128040973111396,0.0555293483388368,0.00141518970281016,0.00690747354943055,0.000741289844329133,0.0011119347664937,0.00323471932070894,0.000202169957544309,0.00154996967450637,0.00609879371925332,0.000572814879708875,0.000336949929240515,0.000134779971696206,0.00165105465327852,0.00768245838668374,0,0.0012467147381899,0.00427926410135454,0.000707594851405081,0,0.000101084978772154,0.000943459801873442,0.00165105465327852,0.000336949929240515,0.0011119347664937,0.00320102432778489
