"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Firmicutes",0.855616955320437,0.426949255340656,0.187411550643574,0.890019543095894,0.433384998989148,0.543466540872024,0.179459532313498,0.876406765954579,0.69930588314576,0.561762922029784,0.490329537030796,0.809454815014488,0.763528539659002,0.613889076083292,0.421962396387895,0.715883819664396,0.686434395848773,0.51573556169553,0.52304737516005,0.803625581238627,0.807635285396586,0.390423883010983,0.279971696205942,0.708976346114966,0.338028169014085,0.380854505020553,0.0424893860772289,0.757092796010511,0.258946020621335,0.357369094952489,0.28751937462093,0.236572545319765,0.580564728081403,0.597142664600036,0.501549969674504,0.785969404946424,0.595120965024595,0.484197048318619,0.418154862187479,0.580497338095558,0.396354201765617,0.407305074465933,0.612709751330949,0.674102028438572,0.624907338769456,0.33051418559202,0.345542152436146
"Bacteroidota",0.045151290518229,0.524327784891165,0.0226430352449626,0.0271581642967855,0.110216321854572,0.409697418963542,0.022238695329874,0.00299885437024058,0.0639867915627737,0.38348271446863,0.16625109508727,3.36949929240515e-05,0.085787451984635,0.332131545252375,0.0306624435608868,0.0496327245771279,0.104926207965496,0.347867106947907,0.0106476177640003,0.000438034908012669,0.09165038075342,0.541208976346115,0.0404002965159378,0.0809690679964957,0.405755104791428,0.539490531706988,0.0317743783273806,0.068771480557989,0.638520115910775,0.570085585282027,0.095592694925534,0.00626726868387358,0.194655974122245,0.339274883752274,0.0560347732326976,0.03143742839814,0.158871891636903,0.393422737381225,0.133432171979244,0.00400970415796213,0.125614933620864,0.500640204865557,0.0887863063548756,0.0495653345912797,0.292304063616146,0.463508322663252,0.0449828155536088
"Proteobacteria",0.00619987869802547,0.016375766561089,0.347092122110652,0.0448480355819125,0.0481164498955455,0.0191724509737853,0.291866028708132,0.0758811240649639,0.083192937529483,0.0252375497001146,0.132016982276434,0.0346047577330009,0.0393557517352922,0.0151290518228991,0.389244558258642,0.158804501651055,0.0160388166318485,0.0740278994541411,0.312521059370577,0.0527663589190646,0.0193746209313296,0.0211604555563043,0.286171574903967,0.118471595120965,0.0467349551856594,0.0195430958959499,0.59074061594447,0.0191050609879372,0.0199474358110385,0.0100748028842914,0.437192533189567,0.241121369364512,0.0216995754430892,0.00488577397398746,0.281589055866298,0.0579216928364445,0.0602803423411281,0.0773637037536222,0.046465395242267,0.154154592627535,0.000707594851405081,0.00593031875463306,0.0669182559471662,0.081777747826673,0.0167127164903295,0.0218343554147854,0.33425432980659
"Actinobacteriota",0.0021564795471393,0.0264842644383045,0.235662780510815,0.00646943864141788,0.314711233910641,0.00667160859896219,0.316126423613448,0.00552597883954444,0.0274614192331019,0.00808679830177236,0.0887526113619516,0.00967046296920277,0.00643574364849383,0.0271581642967855,0.0481838398813936,0.0247995147921019,0.100680638857066,0.036626457308444,0.00529011388907608,0.0141518970281016,0.0106476177640003,0.0291124738863805,0.232529146168879,0.025540804636431,0.0542826336006469,0.0139160320776333,0.00960307298335467,0.0322461082283173,0.0448817305748366,0.0193409259384056,0.0592021025675585,0.00387492418626592,0.0297189837590134,0.0182289911719119,0.0305276635891906,0.0103780578206079,0.0803625581238628,0.00717703349282296,0.0359525574499629,0.00529011388907608,0.451310735224746,0.035312352584406,0.029415728822697,0.0200485207898106,0.0263157894736842,0.0285733539995957,0.0396927016645327
"Verrucomicrobiota",0,0,0.00616618370510143,0.000269559943392412,0.00138149470988611,0,0.00384122919334187,0.000101084978772154,0.000168474964620257,0.000808679830177236,0.0166116315115574,0,0.000438034908012669,0.00168474964620257,0.00434665408720264,0.000168474964620257,0.000977154794797493,0.00188691960374688,0.000202169957544309,6.7389985848103e-05,0.00198800458251904,0.0011793247523418,0.00495316395983557,0,6.7389985848103e-05,0.000808679830177236,0.000202169957544309,0.000134779971696206,0.00225756452591145,0.00128040973111396,0.00751398342206348,0,0.00195430958959499,0.000741289844329133,0.00478468899521531,3.36949929240515e-05,0.00586292876878496,0.00370644922164566,0.00454882404474695,0,0.000943459801873442,0.00114562975941775,0.000876069816025339,0.00299885437024058,0.00919873306826606,0.145899319361143,0.00515533391737988
"Campilobacterota",0.0610890221713053,0.0021564795471393,0.000336949929240515,0.00545858885369634,0.052362019003976,0.000471729900936721,0,0,0.0648628613787991,0.00343688927825325,0.000404339915088618,0,0.056270638183166,0.00165105465327852,0.00293146438439248,0.000336949929240515,0.0289103039288362,0.00336949929240515,0.00114562975941775,0.000134779971696206,0.0244962598557854,0.00987263292674708,0.000269559943392412,0.00134779971696206,0.0532043938270773,0.0131747422333041,0.00023586495046836,0.000168474964620257,0.00407709414381023,0.00309993934901274,0.0033358042994811,0.00067389985848103,0.122986724172788,0.00394231417211402,0.00522272390322798,0.000168474964620257,0.00535750387492419,0.00326841431363299,0.00148257968865827,0,0,0.00262820944807602,0.00646943864141789,0.000539119886784824,0.00737920345036728,0.000876069816025339,0.00239234449760766
"Acidobacteriota",0.0022238695329874,0,0.028169014084507,0,0,0,0.0332569580160388,0.00090976480894939,0.0079183233371521,0,0.0121975874385066,0,0.00411078913673428,0,0.00515533391737988,0,0,0.000202169957544309,0,0.000134779971696206,0.00299885437024058,0,0.0258440595727475,0,0,0,0,0,0.0034705842711773,0,0.00825527326639261,0,0.00141518970281016,0,0.00616618370510142,0,0.00758137340791158,0,0,0,0,0,3.36949929240515e-05,0,0.00326841431363299,0,0.0136801671271649
"Deferribacterota",0.0141518970281016,0.0011793247523418,0.000438034908012669,0.000606509872632927,0.0206887256553676,0.0011793247523418,0.000101084978772154,0,0.0248332097850259,0.0034031942853292,0.00256081946222791,0,0.013713862120089,0.00192061459667093,0.00522272390322798,0.000303254936316463,0.00977154794797493,0.00357166924994946,0.0011793247523418,0,0.0128377923040636,0.0023586495046836,0.000943459801873442,0.00067389985848103,0.000707594851405081,0.00619987869802547,0.000640204865556978,0.000842374823101287,0.00219017454006335,0.00946829301165847,0.00185322461082283,3.36949929240515e-05,0.0116921625446459,0.0239908349619247,0.000707594851405081,0.000606509872632927,0.00589662376170901,0.00963676797627873,0.00741289844329133,0,0,0.026854909360469,0.00808679830177236,0.000168474964620257,0.00633465866972168,0.00219017454006335,0.000741289844329133
"Myxococcota",0.000101084978772154,0,0.0186670260799245,0,6.7389985848103e-05,0,0.0256755846081272,0.000101084978772154,0.00232495451175955,0,0.0022912595188355,0,0.000202169957544309,0.000101084978772154,0.000741289844329133,0.000269559943392412,6.7389985848103e-05,0.000606509872632927,0.000808679830177236,0,0.000808679830177236,0,0.0164768515398612,0,0,0,0,6.7389985848103e-05,0.000876069816025339,6.7389985848103e-05,0.00188691960374688,0,0,0,0.00121301974526585,0,0.000471729900936721,0,3.36949929240515e-05,0.000134779971696206,0,0,0,0,0.00101084978772154,0,0.00266190444100007
"Chloroflexi",0.000876069816025339,0,0.018330076150684,0,0.000101084978772154,0,0.0246984298133297,0.000134779971696206,0.00572814879708875,0,0.00219017454006335,0,0.000842374823101287,0,0.000370644922164566,0,6.7389985848103e-05,0,0.000168474964620257,0,0.000707594851405081,0,0.0170833614124941,0,0.00114562975941775,0,0.000134779971696206,0.000303254936316463,0.000774984837253184,0,0.00141518970281016,0.000269559943392412,0.00431295909427859,0,0.000707594851405081,0.000202169957544309,0.000370644922164566,0,0,0,0,0,0.000101084978772154,0,0.000168474964620257,0,0.00630096367679763
"Desulfobacterota",0.000842374823101287,0.00171844463912663,0.00165105465327852,0.00144888469573421,0.00262820944807602,0.00411078913673428,0.00138149470988611,3.36949929240515e-05,0.00249342947637981,0.00481838398813936,0.00586292876878496,0,0.00616618370510142,0.00245973448345576,0.00121301974526585,0.000977154794797493,0.00623357369094953,0.00394231417211402,0.0010445447806456,0,0.00616618370510142,0.00252712446930386,0.000977154794797493,0.00175213963205068,0.000977154794797493,0.0112541276366332,0.000539119886784824,0.00090976480894939,0.00256081946222791,0.00535750387492418,0.00360536424287351,0.000134779971696206,0.0142529820068738,0.00764876339375969,0.00252712446930386,0.000471729900936721,0.0140845070422535,0.00508794393153177,0.00485207898106341,0,0.0244962598557854,0.0101758878630635,0.00353797425702541,0.0010445447806456,0.00758137340791158,0.00138149470988611,0.0114899925871016
"Patescibacteria",0,0.00023586495046836,6.7389985848103e-05,0.000370644922164566,0.00131410472403801,0.01438776197857,0,0.000336949929240515,0.00259451445515196,0.00818788328054451,0.000606509872632927,0,0.000741289844329133,0.00336949929240515,0.000168474964620257,0.00067389985848103,0.0011119347664937,0.00994002291259519,0,0,0.000471729900936721,0.00131410472403801,0.000168474964620257,0.0011119347664937,0.000134779971696206,0.0144888469573421,0.000572814879708875,0.000943459801873442,0.000572814879708875,0.0231147651458993,0.000977154794797493,0,0.000471729900936721,0.00293146438439248,0.000438034908012669,0.000471729900936721,0.000606509872632927,0.0140845070422535,0,0,0.000168474964620257,0.00990632791967114,0.000202169957544309,0.000370644922164566,0.000606509872632927,0.00192061459667093,0.000438034908012669
"Gemmatimonadota",0.000640204865556978,0,0.0172518363771144,0,6.7389985848103e-05,0,0.0207561156412157,0.000539119886784824,0.00478468899521531,0,0.00502055394568367,0,0.00067389985848103,0,0.00165105465327852,0,0,0,0,0,0.00131410472403801,0,0.0140845070422535,0,0,0,0,0,0.00107823977356965,0,0.0022912595188355,0,0,0,0.0022912595188355,0,0.00181952961789878,0,0,0,0,0,6.7389985848103e-05,0,0.00148257968865827,0,0.00424556910843049
