"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Acetobacteraceae_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269559943392412,0,0,0,0,0,0,0,0.000269559943392412,0,0,0,0,0,0,0,0.000336949929240515,0,0,0,0.000202169957544309,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_intestini",0,0,0,0,0,0,0,0,0,0,0.00134779971696206,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168474964620257
"Acidobacteria_bacterium",0.000202169957544309,0,0.00090976480894939,0,0,0,0.00114562975941775,0,0.000168474964620257,0,0.000404339915088618,0,0,0,0.000202169957544309,0,0,0,0,0,0.000269559943392412,0,0.00114562975941775,0,0,0,0,0,0,0,0.000168474964620257,0,0.000101084978772154,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0.000438034908012669
"Acidobacteriaceae_bacterium",0,0,0,0,0,0,0,0,6.7389985848103e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_baumannii",0,0.000303254936316463,0,0,0,0,0,0,0,3.36949929240515e-05,0,0.000336949929240515,0,0,0,0.000438034908012669,0,0.00121301974526585,0,0.00131410472403801,0,0.000404339915088618,0,0,0.00067389985848103,0,0,0.000168474964620257,0,0.000269559943392412,0,0,0,0.000101084978772154,0,6.7389985848103e-05,0,0.000101084978772154,0,0,0,0,0,0,0,0,0
"Acinetobacter_indicus",0,0.00023586495046836,0,0,0,0,0,0,0,0,0,0,0,0.000404339915088618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_junii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168474964620257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_radioresistens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7389985848103e-05,0,0,0,0,0
"Acinetobacter_schindleri",0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_soli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0.000202169957544309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_towneri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168474964620257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_ursingii",0.000370644922164566,0,0.00643574364849383,0,6.7389985848103e-05,0,0.00795201833007615,0,0.00464990902351911,0,0,0,0,0.00114562975941775,3.36949929240515e-05,0.000336949929240515,0,0.00023586495046836,0,0.000168474964620257,0.00175213963205068,0,0,0,0,0,0.0023586495046836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00535750387492419,0,0,0,0
"Acinetobacter_variabilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168474964620257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
