"Sample","Reads","Site","Condition","Treatment"
"dbN.1.B",29678,"Gut","DB","Control"
"dbN.1.F",29678,"Fecal","DB","Control"
"dbN.1.L",29678,"Lung","DB","Control"
"dbN.1.O",29678,"Oral","DB","Control"
"dbN.2.B",29678,"Gut","DB","Control"
"dbN.2.F",29678,"Fecal","DB","Control"
"dbN.2.L",29678,"Lung","DB","Control"
"dbN.2.O",29678,"Oral","DB","Control"
"dbN.3.B",29678,"Gut","DB","Control"
"dbN.3.F",29678,"Fecal","DB","Control"
"dbN.3.L",29678,"Lung","DB","Control"
"dbN.3.O",29678,"Oral","DB","Control"
"dbS.1.B",29678,"Gut","DB","Treated"
"dbS.1.F",29678,"Fecal","DB","Treated"
"dbS.1.L",29678,"Lung","DB","Treated"
"dbS.1.O",29678,"Oral","DB","Treated"
"dbS.2.B",29678,"Gut","DB","Treated"
"dbS.2.F",29678,"Fecal","DB","Treated"
"dbS.2.L",29678,"Lung","DB","Treated"
"dbS.2.O",29678,"Oral","DB","Treated"
"dbS.3.B",29678,"Gut","DB","Treated"
"dbS.3.F",29678,"Fecal","DB","Treated"
"dbS.3.L",29678,"Lung","DB","Treated"
"dbS.3.O",29678,"Oral","DB","Treated"
"WTN.1.B",29678,"Gut","WT","Control"
"WTN.1.F",29678,"Fecal","WT","Control"
"WTN.1.L",29678,"Lung","WT","Control"
"WTN.1.O",29678,"Oral","WT","Control"
"WTN.2.B",29678,"Gut","WT","Control"
"WTN.2.F",29678,"Fecal","WT","Control"
"WTN.2.L",29678,"Lung","WT","Control"
"WTN.2.O",29678,"Oral","WT","Control"
"WTN.3.B",29678,"Gut","WT","Control"
"WTN.3.F",29678,"Fecal","WT","Control"
"WTN.3.L",29678,"Lung","WT","Control"
"WTN.3.O",29678,"Oral","WT","Control"
"WTS.1.B",29678,"Gut","WT","Treated"
"WTS.1.F",29678,"Fecal","WT","Treated"
"WTS.1.L",29678,"Lung","WT","Treated"
"WTS.1.O",29678,"Oral","WT","Treated"
"WTS.2.B",29678,"Gut","WT","Treated"
"WTS.2.F",29678,"Fecal","WT","Treated"
"WTS.2.L",29678,"Lung","WT","Treated"
"WTS.2.O",29678,"Oral","WT","Treated"
"WTS.3.B",29678,"Gut","WT","Treated"
"WTS.3.F",29678,"Fecal","WT","Treated"
"WTS.3.L",29678,"Lung","WT","Treated"
