Taxon	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O
Unassigned;__	1.0	17.0	0.0	2.0	5.0	2.0	0.0	0.0	1.0	2.0	20.0	1.0	164.0	453.0	160.0	180.0	37.0	946.0	45.0	3957.0	4096.0	764.0	465.0	939.0	1024.0	555.0	277.0	409.0	3.0	430.0	1614.0	99.0	425.0	2615.0	449.0	143.0	685.0	518.0	396.0	12.0	378.0	263.0	1460.0	2128.0	23.0	210.0	542.0
k__Archaea;__	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	61.0	72.0	57.0	1.0	22.0	110.0	13.0	1484.0	616.0	171.0	93.0	617.0	92.0	173.0	50.0	109.0	0.0	26.0	176.0	53.0	57.0	900.0	11.0	27.0	207.0	92.0	86.0	2.0	20.0	63.0	470.0	29.0	26.0	22.0	174.0
k__Archaea;p__Aenigmarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	14.0	22.0	3.0	0.0	10.0	4.0	3.0	0.0	9.0	0.0	0.0	11.0	0.0	1.0	134.0	0.0	0.0	11.0	0.0	4.0	0.0	8.0	0.0	36.0	9.0	0.0	0.0	8.0
k__Archaea;p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	5.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	9.0	0.0	0.0	0.0	41.0	18.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Nanoarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Thermoplasmatota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;__	19.0	2.0	6.0	2.0	0.0	38.0	0.0	14.0	16.0	1.0	21.0	9.0	462.0	567.0	368.0	133.0	482.0	710.0	88.0	4833.0	4817.0	14223.0	7037.0	3408.0	2211.0	2810.0	1487.0	1758.0	9.0	3790.0	525.0	154.0	2463.0	1556.0	84.0	1234.0	2031.0	1324.0	1568.0	28.0	3927.0	1566.0	748.0	3235.0	121.0	1056.0	3091.0
k__Bacteria;p__Acidobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	27.0	122.0	66.0	89.0	225.0	235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.0	0.0	0.0	153.0	42.0	836.0	406.0	103.0	0.0	0.0	987.0	767.0	97.0	0.0	362.0	183.0	1.0	0.0	0.0	4.0
k__Bacteria;p__Actinobacteriota	574.0	541.0	864.0	413.0	240.0	848.0	806.0	198.0	786.0	1048.0	213.0	1087.0	192.0	164.0	191.0	64.0	316.0	2385.0	815.0	1067.0	285.0	115.0	157.0	595.0	308.0	957.0	758.0	1757.0	13394.0	157.0	1430.0	882.0	6994.0	1178.0	1332.0	736.0	1611.0	9382.0	6901.0	781.0	287.0	2634.0	906.0	873.0	9340.0	2988.0	420.0
k__Bacteria;p__Armatimonadota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria;p__Bacteroidota	16919.0	10069.0	16062.0	16011.0	11381.0	13756.0	9857.0	12159.0	15561.0	14858.0	11676.0	10324.0	806.0	89.0	2546.0	1340.0	2720.0	4715.0	1899.0	3960.0	943.0	186.0	119.0	1471.0	933.0	2041.0	2403.0	2837.0	3728.0	316.0	910.0	5777.0	672.0	1335.0	18950.0	1473.0	12042.0	660.0	1199.0	8675.0	1.0	4934.0	1663.0	2635.0	3271.0	3114.0	13.0
k__Bacteria;p__Bdellovibrionota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	45.0	21.0	1.0	4.0	0.0	38.0	42.0	6.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Caldisericota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Campilobacterota	92.0	117.0	293.0	391.0	102.0	26.0	49.0	14.0	64.0	78.0	97.0	100.0	162.0	0.0	1670.0	1813.0	727.0	159.0	1925.0	44.0	7.0	20.0	0.0	16.0	5.0	5.0	40.0	99.0	0.0	34.0	87.0	3650.0	10.0	71.0	121.0	10.0	1579.0	0.0	8.0	219.0	0.0	12.0	155.0	192.0	1554.0	858.0	4.0
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	25.0	26.0	21.0	11.0	170.0	0.0	4.0	8.0	0.0	0.0	6.0	9.0	0.0	42.0	0.0	5.0	11.0	128.0	544.0	187.0	23.0	0.0	34.0	733.0	507.0	5.0	0.0	65.0	21.0	3.0	3.0	2.0	0.0
