Taxon	WTN.F	dbS.F	dbN.F	WTS.F	dbN.O	dbS.B	dbN.B	WTS.B	WTS.L	WTN.L	WTN.O	WTS.O	dbS.O	dbS.L	WTN.B	dbN.L
Unassigned;__;__	20.0	1.0	6.0	24.0	995.0	407.0	248.0	961.0	8700.0	5965.0	2343.0	1404.0	962.0	2440.0	1233.0	1206.0
k__Archaea;__;__	0.0	0.0	6.0	1.0	153.0	101.0	40.0	112.0	2413.0	1195.0	436.0	710.0	251.0	288.0	271.0	212.0
k__Archaea;p__Aenigmarchaeota;__	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	11.0	4.0	0.0	0.0	4.0	6.0	0.0	0.0
k__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG)	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	146.0	63.0	10.0	10.0	4.0	9.0	11.0	1.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria	0.0	0.0	0.0	0.0	0.0	0.0	5.0	33.0	9.0	0.0	0.0	6.0	0.0	18.0	0.0	75.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota;c__Methanocellia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota;c__Methanomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Archaea;p__Halobacterota;c__Methanosarcinia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
k__Archaea;p__Thermoplasmatota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
k__Bacteria;__;__	23.0	15.0	30.0	60.0	4956.0	1906.0	342.0	747.0	9624.0	7323.0	19244.0	10445.0	5812.0	5883.0	2269.0	5353.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae	0.0	6.0	0.0	0.0	23.0	204.0	224.0	240.0	180.0	237.0	0.0	0.0	4.0	391.0	52.0	796.0
k__Bacteria;p__Acidobacteriota;c__Aminicenantia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Bacteria;p__Acidobacteriota;c__Blastocatellia	0.0	0.0	0.0	0.0	3.0	0.0	12.0	30.0	57.0	67.0	0.0	0.0	0.0	89.0	23.0	219.0
k__Bacteria;p__Acidobacteriota;c__Holophagae	0.0	0.0	0.0	0.0	1.0	0.0	21.0	22.0	76.0	53.0	0.0	0.0	0.0	73.0	23.0	165.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_21	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_5	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	9.0	0.0	0.0	0.0	5.0	3.0	11.0
k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	15.0	3.0	0.0	0.0	0.0	41.0	16.0	99.0
k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	0.0	0.0	0.0	0.0	0.0	7.0	28.0	30.0	56.0	59.0	0.0	0.0	0.0	318.0	8.0	893.0
k__Bacteria;p__Acidobacteriota;c__c5LKS83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Bacteria;p__Actinobacteriota;__	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	4.0	4.0	0.0	0.0	46.0	0.0	120.0
k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	0.0	0.0	0.0	0.0	17.0	4.0	466.0	12.0	30.0	43.0	7.0	19.0	1.0	518.0	18.0	1149.0
k__Bacteria;p__Actinobacteriota;c__Actinobacteria	1245.0	2627.0	1146.0	1646.0	544.0	3068.0	9502.0	10436.0	2329.0	2428.0	1227.0	688.0	1850.0	6352.0	1769.0	13933.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia	283.0	123.0	78.0	463.0	19.0	303.0	134.0	5972.0	622.0	253.0	93.0	43.0	44.0	97.0	1943.0	323.0
k__Bacteria;p__Actinobacteriota;c__MB-A2-108	0.0	0.0	0.0	0.0	4.0	20.0	74.0	22.0	10.0	21.0	0.0	0.0	0.0	126.0	9.0	289.0
k__Bacteria;p__Actinobacteriota;c__Rubrobacteria	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	181.0	0.0	347.0
k__Bacteria;p__Actinobacteriota;c__Thermoleophilia	0.0	7.0	0.0	0.0	56.0	100.0	39.0	116.0	122.0	199.0	49.0	2.0	19.0	1168.0	86.0	2849.0
k__Bacteria;p__Actinobacteriota;c__WCHB1-81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Armatimonadota;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0
k__Bacteria;p__Armatimonadota;c__Fimbriimonadia	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	2.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia	42999.0	36239.0	39101.0	40290.0	896.0	8371.0	6467.0	17118.0	7922.0	5443.0	3160.0	1590.0	3889.0	2425.0	36764.0	6263.0
k__Bacteria;p__Bacteroidota;c__Ignavibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
k__Bacteria;p__Bacteroidota;c__Kapabacteria	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
k__Bacteria;p__Bacteroidota;c__Kryptonia	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidota;c__Rhodothermia	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	1.0	29.0	0.0	76.0
k__Bacteria;p__Bdellovibrionota;c__Oligoflexia	0.0	4.0	0.0	0.0	0.0	0.0	0.0	6.0	16.0	4.0	0.0	0.0	3.0	14.0	1.0	15.0
k__Bacteria;p__Caldisericota;c__Caldisericia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0
