Taxon	WTN.F	dbS.F	dbN.F	WTS.F	dbN.O	dbS.B	dbN.B	WTS.B	WTS.L	WTN.L	WTN.O	WTS.O	dbS.O	dbS.L	WTN.B	dbN.L
Unassigned;__;__;__;__	20.0	1.0	6.0	24.0	995.0	407.0	248.0	961.0	8700.0	5965.0	2343.0	1404.0	962.0	2440.0	1233.0	1206.0
k__Archaea;__;__;__;__	0.0	0.0	6.0	1.0	153.0	101.0	40.0	112.0	2413.0	1195.0	436.0	710.0	251.0	288.0	271.0	212.0
k__Archaea;p__Aenigmarchaeota;__;__;__	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	11.0	4.0	0.0	0.0	4.0	6.0	0.0	0.0
k__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG);o__Deep_Sea_Euryarchaeotic_Group(DSEG);f__Deep_Sea_Euryarchaeotic_Group(DSEG)	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	146.0	63.0	10.0	10.0	4.0	9.0	11.0	1.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c;f__Group_1.1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae	0.0	0.0	0.0	0.0	0.0	0.0	5.0	14.0	3.0	0.0	0.0	0.0	0.0	18.0	0.0	75.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
k__Bacteria;__;__;__;__	23.0	15.0	30.0	60.0	4956.0	1906.0	342.0	747.0	9624.0	7323.0	19244.0	10445.0	5812.0	5883.0	2269.0	5353.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	6.0	0.0	24.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__AKIW659;f__AKIW659	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;__	0.0	0.0	0.0	0.0	3.0	39.0	39.0	38.0	29.0	35.0	0.0	0.0	0.0	35.0	12.0	74.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__	0.0	0.0	0.0	0.0	15.0	52.0	89.0	92.0	77.0	80.0	0.0	0.0	4.0	83.0	16.0	143.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1)	0.0	0.0	0.0	0.0	0.0	15.0	46.0	9.0	7.0	22.0	0.0	0.0	0.0	11.0	11.0	21.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae	0.0	0.0	0.0	0.0	0.0	23.0	0.0	19.0	8.0	31.0	0.0	0.0	0.0	10.0	4.0	15.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae	0.0	6.0	0.0	0.0	0.0	10.0	5.0	19.0	24.0	25.0	0.0	0.0	0.0	223.0	4.0	450.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__PAUC26f;f__PAUC26f	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae	0.0	0.0	0.0	0.0	2.0	44.0	9.0	27.0	14.0	28.0	0.0	0.0	0.0	14.0	2.0	41.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Subgroup_2	0.0	0.0	0.0	0.0	3.0	17.0	21.0	36.0	11.0	14.0	0.0	0.0	0.0	9.0	0.0	28.0
k__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	11.0
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	3.0	0.0	0.0	0.0	0.0	18.0	0.0	47.0
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__DS-100;f__DS-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	10.0
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae	0.0	0.0	0.0	0.0	3.0	0.0	0.0	30.0	54.0	67.0	0.0	0.0	0.0	56.0	23.0	151.0
k__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
k__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7	0.0	0.0	0.0	0.0	1.0	0.0	21.0	22.0	76.0	53.0	0.0	0.0	0.0	73.0	23.0	162.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_21;o__Subgroup_21;f__Subgroup_21	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
