Taxon	WTN.F	dbS.F	dbN.F	WTS.F	dbN.O	dbS.B	dbN.B	WTS.B	WTS.L	WTN.L	WTN.O	WTS.O	dbS.O	dbS.L	WTN.B	dbN.L
Unassigned;__;__;__	20.0	1.0	6.0	24.0	995.0	407.0	248.0	961.0	8700.0	5965.0	2343.0	1404.0	962.0	2440.0	1233.0	1206.0
k__Archaea;__;__;__	0.0	0.0	6.0	1.0	153.0	101.0	40.0	112.0	2413.0	1195.0	436.0	710.0	251.0	288.0	271.0	212.0
k__Archaea;p__Aenigmarchaeota;__;__	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	11.0	4.0	0.0	0.0	4.0	6.0	0.0	0.0
k__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG);o__Deep_Sea_Euryarchaeotic_Group(DSEG)	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	146.0	63.0	10.0	10.0	4.0	9.0	11.0	1.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Group_1.1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales	0.0	0.0	0.0	0.0	0.0	0.0	5.0	14.0	3.0	0.0	0.0	0.0	0.0	18.0	0.0	75.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
k__Bacteria;__;__;__	23.0	15.0	30.0	60.0	4956.0	1906.0	342.0	747.0	9624.0	7323.0	19244.0	10445.0	5812.0	5883.0	2269.0	5353.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	6.0	0.0	24.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__AKIW659	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales	0.0	0.0	0.0	0.0	18.0	129.0	174.0	158.0	121.0	168.0	0.0	0.0	4.0	139.0	43.0	253.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales	0.0	6.0	0.0	0.0	0.0	10.0	5.0	19.0	24.0	25.0	0.0	0.0	0.0	223.0	4.0	450.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__PAUC26f	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales	0.0	0.0	0.0	0.0	2.0	44.0	9.0	27.0	14.0	28.0	0.0	0.0	0.0	14.0	2.0	41.0
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2	0.0	0.0	0.0	0.0	3.0	17.0	21.0	36.0	11.0	14.0	0.0	0.0	0.0	9.0	0.0	28.0
k__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	11.0
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	3.0	0.0	0.0	0.0	0.0	18.0	0.0	47.0
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__DS-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	10.0
k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales	0.0	0.0	0.0	0.0	3.0	0.0	0.0	30.0	54.0	67.0	0.0	0.0	0.0	56.0	23.0	151.0
k__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
k__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7	0.0	0.0	0.0	0.0	1.0	0.0	21.0	22.0	76.0	53.0	0.0	0.0	0.0	73.0	23.0	162.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_18;o__Subgroup_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_21;o__Subgroup_21	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_22;o__Subgroup_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k__Bacteria;p__Acidobacteriota;c__Subgroup_5;o__Subgroup_5	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	9.0	0.0	0.0	0.0	5.0	3.0	11.0
k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	15.0	3.0	0.0	0.0	0.0	41.0	16.0	99.0
k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	18.0
k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales	0.0	0.0	0.0	0.0	0.0	7.0	28.0	30.0	56.0	59.0	0.0	0.0	0.0	314.0	8.0	875.0
k__Bacteria;p__Acidobacteriota;c__c5LKS83;o__c5LKS83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Bacteria;p__Actinobacteriota;__;__	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	4.0	4.0	0.0	0.0	46.0	0.0	120.0
