Taxon	WTN.F	dbS.F	dbN.F	WTS.F	dbN.O	dbS.B	dbN.B	WTS.B	WTS.L	WTN.L	WTN.O	WTS.O	dbS.O	dbS.L	WTN.B	dbN.L
Unassigned;__	20.0	1.0	6.0	24.0	995.0	407.0	248.0	961.0	8700.0	5965.0	2343.0	1404.0	962.0	2440.0	1233.0	1206.0
k__Archaea;__	0.0	0.0	6.0	1.0	153.0	101.0	40.0	112.0	2413.0	1195.0	436.0	710.0	251.0	288.0	271.0	212.0
k__Archaea;p__Aenigmarchaeota	0.0	0.0	0.0	0.0	8.0	1.0	0.0	3.0	157.0	67.0	10.0	10.0	8.0	15.0	11.0	1.0
k__Archaea;p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	5.0	33.0	9.0	0.0	0.0	6.0	0.0	18.0	0.0	75.0
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Halobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0
k__Archaea;p__Nanoarchaeota	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
k__Archaea;p__Thermoplasmatota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
k__Bacteria;__	23.0	15.0	30.0	60.0	4956.0	1906.0	342.0	747.0	9624.0	7323.0	19244.0	10445.0	5812.0	5883.0	2269.0	5353.0
k__Bacteria;p__Acidobacteriota	0.0	6.0	0.0	0.0	27.0	211.0	301.0	322.0	407.0	428.0	0.0	0.0	4.0	920.0	145.0	2185.0
k__Bacteria;p__Actinobacteriota	1528.0	2757.0	1224.0	2109.0	643.0	3495.0	10219.0	16560.0	3118.0	2948.0	1380.0	752.0	1914.0	8488.0	3825.0	19010.0
k__Bacteria;p__Armatimonadota	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	4.0	0.0	0.0	0.0	5.0	0.0	4.0
k__Bacteria;p__Bacteroidota	42999.0	36243.0	39101.0	40290.0	896.0	8380.0	6510.0	17118.0	7930.0	5443.0	3160.0	1590.0	3889.0	2425.0	36769.0	6266.0
k__Bacteria;p__Bdellovibrionota	0.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	21.0	13.0	0.0	0.0	4.0	43.0	1.0	91.0
k__Bacteria;p__Caldisericota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0
k__Bacteria;p__Campilobacterota	600.0	442.0	180.0	201.0	162.0	3255.0	5292.0	378.0	307.0	261.0	30.0	16.0	54.0	129.0	5350.0	22.0
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	4.0	48.0	199.0	16.0	190.0	67.0	23.0	0.0	0.0	523.0	185.0	1342.0
k__Bacteria;p__Cyanobacteria	14.0	17.0	8.0	76.0	7.0	5.0	81.0	15.0	152.0	546.0	10.0	27.0	2.0	330.0	22.0	457.0
k__Bacteria;p__Deferribacterota	1177.0	233.0	171.0	1148.0	18.0	1078.0	1771.0	363.0	482.0	95.0	44.0	5.0	29.0	218.0	433.0	92.0
k__Bacteria;p__Deinococcota	0.0	9.0	0.0	0.0	0.0	0.0	12.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
k__Bacteria;p__Dependentiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
k__Bacteria;p__Desulfobacterota	720.0	265.0	316.0	494.0	44.0	551.0	177.0	1370.0	590.0	198.0	45.0	31.0	81.0	96.0	528.0	264.0
k__Bacteria;p__Elusimicrobiota	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.0	2.0	0.0	2.0	0.0	1.0	0.0	8.0
k__Bacteria;p__Entotheonellaeota	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	6.0	0.0	0.0	0.0	33.0	0.0	88.0
k__Bacteria;p__Fibrobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
k__Bacteria;p__Firmicutes	39631.0	45112.0	45472.0	36267.0	76447.0	67001.0	59009.0	47971.0	40849.0	24679.0	52816.0	37234.0	66137.0	36355.0	34947.0	25440.0
k__Bacteria;p__Fusobacteriota	0.0	19.0	0.0	0.0	3.0	35.0	209.0	5.0	8.0	166.0	0.0	0.0	7.0	11.0	18.0	21.0
k__Bacteria;p__GAL15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadota	0.0	0.0	0.0	0.0	16.0	59.0	163.0	98.0	128.0	136.0	0.0	0.0	0.0	467.0	32.0	1277.0
k__Bacteria;p__Latescibacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	13.0	0.0	0.0	0.0	0.0	3.0	10.0	6.0
k__Bacteria;p__MBNT15	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Methylomirabilota	0.0	0.0	0.0	0.0	0.0	1.0	7.0	12.0	10.0	25.0	0.0	0.0	0.0	46.0	7.0	118.0
k__Bacteria;p__Myxococcota	2.0	21.0	0.0	0.0	3.0	32.0	74.0	44.0	80.0	92.0	2.0	4.0	8.0	535.0	26.0	1384.0
k__Bacteria;p__NB1-j	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
k__Bacteria;p__Nitrospirota	0.0	10.0	0.0	0.0	7.0	60.0	35.0	33.0	44.0	57.0	0.0	0.0	0.0	128.0	21.0	377.0
k__Bacteria;p__Patescibacteria	1203.0	434.0	677.0	769.0	21.0	69.0	116.0	41.0	19.0	59.0	42.0	11.0	53.0	10.0	35.0	20.0
k__Bacteria;p__Planctomycetota	0.0	0.0	0.0	0.0	0.0	3.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria;p__Proteobacteria	1024.0	3274.0	1804.0	3120.0	4610.0	2219.0	4081.0	2306.0	13285.0	38864.0	9442.0	7002.0	9795.0	29320.0	2623.0	22881.0
k__Bacteria;p__RCP2-54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0
k__Bacteria;p__SAR324_clade(Marine_group_B)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0
k__Bacteria;p__Spirochaetota	0.0	0.0	15.0	0.0	0.0	11.0	44.0	0.0	15.0	8.0	0.0	5.0	0.0	2.0	15.0	0.0
k__Bacteria;p__Sumerlaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	10.0
k__Bacteria;p__Synergistota	4.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	117.0	3.0	2.0	0.0	1.0	0.0	84.0	0.0
k__Bacteria;p__Thermotogota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobiota	84.0	141.0	24.0	4474.0	11.0	101.0	46.0	475.0	314.0	371.0	5.0	89.0	7.0	282.0	127.0	790.0
k__Bacteria;p__WPS-2	5.0	25.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0
k__Bacteria;p__Zixibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
