index,Unassigned,k__Archaea,k__Bacteria,group1
WTN.2.F,1.0,0.0,29677.0,WTN.F
WTN.3.F,17.0,0.0,29661.0,WTN.F
dbS.3.F,0.0,0.0,29678.0,dbS.F
WTN.1.F,2.0,0.0,29676.0,WTN.F
dbN.3.F,5.0,0.0,29673.0,dbN.F
WTS.3.F,2.0,1.0,29675.0,WTS.F
dbS.1.F,0.0,0.0,29678.0,dbS.F
dbN.2.F,0.0,6.0,29672.0,dbN.F
dbN.1.F,1.0,0.0,29677.0,dbN.F
WTS.2.F,2.0,0.0,29676.0,WTS.F
WTS.1.F,20.0,0.0,29658.0,WTS.F
dbS.2.F,1.0,0.0,29677.0,dbS.F
dbN.1.O,164.0,61.0,29453.0,dbN.O
dbN.2.O,453.0,72.0,29153.0,dbN.O
dbS.1.B,160.0,63.0,29455.0,dbS.B
dbN.1.B,180.0,1.0,29497.0,dbN.B
dbS.3.B,37.0,22.0,29619.0,dbS.B
WTS.1.B,946.0,151.0,28581.0,WTS.B
dbN.3.B,45.0,18.0,29615.0,dbN.B
WTS.1.L,3957.0,1498.0,24223.0,WTS.L
WTN.1.L,4096.0,638.0,24944.0,WTN.L
WTN.2.O,764.0,174.0,28740.0,WTN.O
WTS.1.O,465.0,93.0,29120.0,WTS.O
WTS.2.O,939.0,646.0,28093.0,WTS.O
WTN.3.O,1024.0,96.0,28558.0,WTN.O
WTN.1.O,555.0,176.0,28947.0,WTN.O
dbS.3.O,277.0,50.0,29351.0,dbS.O
WTN.2.L,409.0,118.0,29151.0,WTN.L
WTS.2.B,3.0,0.0,29675.0,WTS.B
dbS.2.L,430.0,26.0,29222.0,dbS.L
dbS.1.L,1614.0,195.0,27869.0,dbS.L
WTN.3.B,99.0,71.0,29508.0,WTN.B
dbN.1.L,425.0,81.0,29172.0,dbN.L
WTS.3.L,2615.0,1052.0,26011.0,WTS.L
WTN.2.B,449.0,11.0,29218.0,WTN.B
dbS.1.O,143.0,27.0,29508.0,dbS.O
WTN.1.B,685.0,218.0,28775.0,WTN.B
dbN.2.L,518.0,133.0,29027.0,dbN.L
dbS.3.L,396.0,108.0,29174.0,dbS.L
WTS.3.B,12.0,2.0,29664.0,WTS.B
dbN.3.O,378.0,31.0,29269.0,dbN.O
dbN.3.L,263.0,74.0,29341.0,dbN.L
WTN.3.L,1460.0,517.0,27701.0,WTN.L
WTS.2.L,2128.0,38.0,27512.0,WTS.L
dbN.2.B,23.0,26.0,29629.0,dbN.B
dbS.2.B,210.0,22.0,29446.0,dbS.B
dbS.2.O,542.0,182.0,28954.0,dbS.O
