index,Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Crenarchaeota,k__Archaea;p__Euryarchaeota,k__Archaea;p__Halobacterota,k__Archaea;p__Nanoarchaeota,k__Archaea;p__Thermoplasmatota,k__Bacteria;__,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Armatimonadota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Caldisericota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Deinococcota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Entotheonellaeota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__GAL15,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Latescibacterota,k__Bacteria;p__MBNT15,k__Bacteria;p__Methylomirabilota,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__RCP2-54,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Synergistota,k__Bacteria;p__Thermotogota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__WPS-2,k__Bacteria;p__Zixibacteria,group1
WTN.2.F,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,574.0,0.0,16919.0,0.0,0.0,92.0,0.0,2.0,281.0,0.0,0.0,159.0,0.0,0.0,0.0,10606.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,686.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,WTN.F
WTN.3.F,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,541.0,0.0,10069.0,0.0,0.0,117.0,0.0,9.0,712.0,0.0,0.0,227.0,0.0,0.0,0.0,17722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,145.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,5.0,0.0,WTN.F
dbS.3.F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,864.0,0.0,16062.0,0.0,0.0,293.0,0.0,4.0,70.0,0.0,0.0,75.0,0.0,0.0,0.0,11587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,dbS.F
WTN.1.F,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,413.0,0.0,16011.0,0.0,0.0,391.0,0.0,3.0,184.0,0.0,0.0,334.0,0.0,0.0,0.0,11303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,580.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,WTN.F
dbN.3.F,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,11381.0,0.0,0.0,102.0,0.0,3.0,101.0,0.0,0.0,143.0,0.0,0.0,0.0,16672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,749.0,0.0,0.0,15.0,0.0,0.0,0.0,24.0,0.0,0.0,dbN.F
WTS.3.F,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,848.0,0.0,13756.0,0.0,0.0,26.0,0.0,56.0,65.0,0.0,0.0,41.0,1.0,0.0,0.0,9809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,4330.0,0.0,0.0,WTS.F
dbS.1.F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,9857.0,0.0,0.0,49.0,0.0,5.0,57.0,0.0,0.0,73.0,0.0,0.0,0.0,18219.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,100.0,0.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,dbS.F
dbN.2.F,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,198.0,0.0,12159.0,0.0,0.0,14.0,0.0,5.0,35.0,0.0,0.0,122.0,0.0,0.0,0.0,16129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dbN.F
dbN.1.F,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,786.0,0.0,15561.0,0.0,0.0,64.0,0.0,0.0,35.0,0.0,0.0,51.0,0.0,0.0,0.0,12671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dbN.F
WTS.2.F,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1048.0,0.0,14858.0,0.0,0.0,78.0,0.0,0.0,797.0,0.0,0.0,302.0,0.0,0.0,0.0,12088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,WTS.F
