index,Unassigned,k__Archaea,k__Bacteria,group1
WTN.F,20.0,0.0,89014.0,WTN.F
dbS.F,1.0,0.0,89033.0,dbS.F
dbN.F,6.0,6.0,89022.0,dbN.F
WTS.F,24.0,1.0,89009.0,WTS.F
dbN.O,995.0,164.0,87875.0,dbN.O
dbS.B,407.0,107.0,88520.0,dbS.B
dbN.B,248.0,45.0,88741.0,dbN.B
WTS.B,961.0,153.0,87920.0,WTS.B
WTS.L,8700.0,2588.0,77746.0,WTS.L
WTN.L,5965.0,1273.0,81796.0,WTN.L
WTN.O,2343.0,446.0,86245.0,WTN.O
WTS.O,1404.0,739.0,57213.0,WTS.O
dbS.O,962.0,259.0,87813.0,dbS.O
dbS.L,2440.0,329.0,86265.0,dbS.L
WTN.B,1233.0,300.0,87501.0,WTN.B
dbN.L,1206.0,288.0,87540.0,dbN.L
