index,Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Crenarchaeota,k__Archaea;p__Euryarchaeota,k__Archaea;p__Halobacterota,k__Archaea;p__Nanoarchaeota,k__Archaea;p__Thermoplasmatota,k__Bacteria;__,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Armatimonadota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Caldisericota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Deinococcota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Entotheonellaeota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__GAL15,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Latescibacterota,k__Bacteria;p__MBNT15,k__Bacteria;p__Methylomirabilota,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__RCP2-54,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Synergistota,k__Bacteria;p__Thermotogota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__WPS-2,k__Bacteria;p__Zixibacteria,group1
WTN.F,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1528.0,0.0,42999.0,0.0,0.0,600.0,0.0,14.0,1177.0,0.0,0.0,720.0,0.0,0.0,0.0,39631.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1203.0,0.0,1024.0,0.0,0.0,0.0,0.0,4.0,0.0,84.0,5.0,0.0,WTN.F
dbS.F,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,2757.0,0.0,36243.0,6.0,0.0,442.0,0.0,17.0,233.0,9.0,0.0,265.0,0.0,0.0,0.0,45112.0,19.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,10.0,434.0,0.0,3274.0,0.0,0.0,0.0,0.0,4.0,0.0,141.0,25.0,0.0,dbS.F
dbN.F,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1224.0,0.0,39101.0,0.0,0.0,180.0,0.0,8.0,171.0,0.0,0.0,316.0,0.0,0.0,0.0,45472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,1804.0,0.0,0.0,15.0,0.0,0.0,0.0,24.0,0.0,0.0,dbN.F
WTS.F,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,2109.0,0.0,40290.0,0.0,0.0,201.0,0.0,76.0,1148.0,0.0,0.0,494.0,1.0,0.0,0.0,36267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,0.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0,4474.0,0.0,0.0,WTS.F
dbN.O,995.0,153.0,8.0,0.0,0.0,0.0,3.0,0.0,4956.0,27.0,643.0,0.0,896.0,0.0,0.0,162.0,4.0,7.0,18.0,0.0,0.0,44.0,0.0,0.0,0.0,76447.0,3.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,7.0,21.0,0.0,4610.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,dbN.O
dbS.B,407.0,101.0,1.0,0.0,5.0,0.0,0.0,0.0,1906.0,211.0,3495.0,0.0,8380.0,0.0,0.0,3255.0,48.0,5.0,1078.0,0.0,0.0,551.0,0.0,0.0,0.0,67001.0,35.0,0.0,59.0,0.0,0.0,1.0,32.0,0.0,60.0,69.0,3.0,2219.0,0.0,0.0,11.0,0.0,0.0,0.0,101.0,0.0,0.0,dbS.B
dbN.B,248.0,40.0,0.0,5.0,0.0,0.0,0.0,0.0,342.0,301.0,10219.0,2.0,6510.0,0.0,0.0,5292.0,199.0,81.0,1771.0,12.0,0.0,177.0,0.0,23.0,0.0,59009.0,209.0,0.0,163.0,0.0,12.0,7.0,74.0,0.0,35.0,116.0,0.0,4081.0,0.0,0.0,44.0,0.0,8.0,0.0,46.0,8.0,0.0,dbN.B
WTS.B,961.0,112.0,3.0,33.0,0.0,5.0,0.0,0.0,747.0,322.0,16560.0,1.0,17118.0,6.0,0.0,378.0,16.0,15.0,363.0,4.0,0.0,1370.0,0.0,0.0,0.0,47971.0,5.0,0.0,98.0,2.0,0.0,12.0,44.0,0.0,33.0,41.0,33.0,2306.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,WTS.B
WTS.L,8700.0,2413.0,157.0,9.0,0.0,9.0,0.0,0.0,9624.0,407.0,3118.0,0.0,7930.0,21.0,27.0,307.0,190.0,152.0,482.0,0.0,0.0,590.0,9.0,0.0,0.0,40849.0,8.0,1.0,128.0,13.0,0.0,10.0,80.0,0.0,44.0,19.0,0.0,13285.0,0.0,1.0,15.0,0.0,117.0,2.0,314.0,0.0,3.0,WTS.L
WTN.L,5965.0,1195.0,67.0,0.0,11.0,0.0,0.0,0.0,7323.0,428.0,2948.0,4.0,5443.0,13.0,0.0,261.0,67.0,546.0,95.0,0.0,0.0,198.0,2.0,6.0,0.0,24679.0,166.0,1.0,136.0,0.0,0.0,25.0,92.0,0.0,57.0,59.0,0.0,38864.0,0.0,0.0,8.0,0.0,3.0,0.0,371.0,1.0,0.0,WTN.L
WTN.O,2343.0,436.0,10.0,0.0,0.0,0.0,0.0,0.0,19244.0,0.0,1380.0,0.0,3160.0,0.0,0.0,30.0,23.0,10.0,44.0,0.0,0.0,45.0,0.0,0.0,0.0,52816.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,42.0,0.0,9442.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,WTN.O
WTS.O,1404.0,710.0,10.0,6.0,0.0,0.0,0.0,13.0,10445.0,0.0,752.0,0.0,1590.0,0.0,0.0,16.0,0.0,27.0,5.0,0.0,0.0,31.0,2.0,0.0,0.0,37234.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,7002.0,0.0,0.0,5.0,0.0,0.0,0.0,89.0,0.0,0.0,WTS.O
dbS.O,962.0,251.0,8.0,0.0,0.0,0.0,0.0,0.0,5812.0,4.0,1914.0,0.0,3889.0,4.0,0.0,54.0,0.0,2.0,29.0,7.0,0.0,81.0,0.0,0.0,0.0,66137.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,53.0,0.0,9795.0,0.0,4.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,dbS.O
dbS.L,2440.0,288.0,15.0,18.0,0.0,0.0,8.0,0.0,5883.0,920.0,8488.0,5.0,2425.0,43.0,0.0,129.0,523.0,330.0,218.0,0.0,0.0,96.0,1.0,33.0,3.0,36355.0,11.0,0.0,467.0,3.0,0.0,46.0,535.0,0.0,128.0,10.0,2.0,29320.0,0.0,0.0,2.0,7.0,0.0,0.0,282.0,0.0,0.0,dbS.L
WTN.B,1233.0,271.0,11.0,0.0,0.0,18.0,0.0,0.0,2269.0,145.0,3825.0,0.0,36769.0,1.0,25.0,5350.0,185.0,22.0,433.0,0.0,0.0,528.0,0.0,0.0,0.0,34947.0,18.0,0.0,32.0,10.0,0.0,7.0,26.0,0.0,21.0,35.0,0.0,2623.0,0.0,4.0,15.0,0.0,84.0,0.0,127.0,0.0,0.0,WTN.B
dbN.L,1206.0,212.0,1.0,75.0,0.0,0.0,0.0,0.0,5353.0,2185.0,19010.0,4.0,6266.0,91.0,0.0,22.0,1342.0,457.0,92.0,0.0,6.0,264.0,8.0,88.0,3.0,25440.0,21.0,0.0,1277.0,6.0,0.0,118.0,1384.0,2.0,377.0,20.0,0.0,22881.0,23.0,0.0,0.0,10.0,0.0,0.0,790.0,0.0,0.0,dbN.L
