index,Unassigned;__;__,k__Archaea;__;__,k__Archaea;p__Aenigmarchaeota;__,k__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG),k__Archaea;p__Crenarchaeota;c__Nitrososphaeria,k__Archaea;p__Euryarchaeota;c__Methanobacteria,k__Archaea;p__Euryarchaeota;c__Thermococci,k__Archaea;p__Halobacterota;c__Methanocellia,k__Archaea;p__Halobacterota;c__Methanomicrobia,k__Archaea;p__Halobacterota;c__Methanosarcinia,k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia,k__Archaea;p__Thermoplasmatota;c__Thermoplasmata,k__Bacteria;__;__,k__Bacteria;p__Acidobacteriota;c__Acidobacteriae,k__Bacteria;p__Acidobacteriota;c__Aminicenantia,k__Bacteria;p__Acidobacteriota;c__Blastocatellia,k__Bacteria;p__Acidobacteriota;c__Holophagae,k__Bacteria;p__Acidobacteriota;c__Subgroup_18,k__Bacteria;p__Acidobacteriota;c__Subgroup_21,k__Bacteria;p__Acidobacteriota;c__Subgroup_22,k__Bacteria;p__Acidobacteriota;c__Subgroup_5,k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia,k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria,k__Bacteria;p__Acidobacteriota;c__c5LKS83,k__Bacteria;p__Actinobacteriota;__,k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,k__Bacteria;p__Actinobacteriota;c__Actinobacteria,k__Bacteria;p__Actinobacteriota;c__Coriobacteriia,k__Bacteria;p__Actinobacteriota;c__MB-A2-108,k__Bacteria;p__Actinobacteriota;c__Rubrobacteria,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia,k__Bacteria;p__Actinobacteriota;c__WCHB1-81,k__Bacteria;p__Armatimonadota;c__,k__Bacteria;p__Armatimonadota;c__Fimbriimonadia,k__Bacteria;p__Bacteroidota;c__Bacteroidia,k__Bacteria;p__Bacteroidota;c__Ignavibacteria,k__Bacteria;p__Bacteroidota;c__Kapabacteria,k__Bacteria;p__Bacteroidota;c__Kryptonia,k__Bacteria;p__Bacteroidota;c__Rhodothermia,k__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia,k__Bacteria;p__Bdellovibrionota;c__Oligoflexia,k__Bacteria;p__Caldisericota;c__Caldisericia,k__Bacteria;p__Campilobacterota;c__Campylobacteria,k__Bacteria;p__Chloroflexi;__,k__Bacteria;p__Chloroflexi;c__AD3,k__Bacteria;p__Chloroflexi;c__Anaerolineae,k__Bacteria;p__Chloroflexi;c__Chloroflexia,k__Bacteria;p__Chloroflexi;c__Dehalococcoidia,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Chloroflexi;c__JG30-KF-CM66,k__Bacteria;p__Chloroflexi;c__KD4-96,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Chloroflexi;c__OLB14,k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Chloroflexi;c__SHA-26,k__Bacteria;p__Chloroflexi;c__TK10,k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,k__Bacteria;p__Cyanobacteria;c__Sericytochromatia,k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,k__Bacteria;p__Deferribacterota;c__Deferribacteres,k__Bacteria;p__Deinococcota;c__Deinococci,k__Bacteria;p__Dependentiae;c__Babeliae,k__Bacteria;p__Desulfobacterota;c__,k__Bacteria;p__Desulfobacterota;c__Desulfobacteria,k__Bacteria;p__Desulfobacterota;c__Desulfobulbia,k__Bacteria;p__Desulfobacterota;c__Desulfomonilia,k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,k__Bacteria;p__Desulfobacterota;c__Desulfuromonadia,k__Bacteria;p__Desulfobacterota;c__Syntrophia,k__Bacteria;p__Desulfobacterota;c__Syntrophobacteria,k__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia,k__Bacteria;p__Elusimicrobiota;c__Elusimicrobia,k__Bacteria;p__Elusimicrobiota;c__Lineage_IIb,k__Bacteria;p__Entotheonellaeota;c__Entotheonellia,k__Bacteria;p__Fibrobacterota;c__Fibrobacteria,k__Bacteria;p__Firmicutes;c__BRH-c20a,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Desulfitobacteriia,k__Bacteria;p__Firmicutes;c__Desulfotomaculia,k__Bacteria;p__Firmicutes;c__Incertae_Sedis,k__Bacteria;p__Firmicutes;c__Limnochordia,k__Bacteria;p__Firmicutes;c__Negativicutes,k__Bacteria;p__Firmicutes;c__Symbiobacteriia,k__Bacteria;p__Firmicutes;c__Thermoanaerobacteria,k__Bacteria;p__Fusobacteriota;c__Fusobacteriia,k__Bacteria;p__GAL15;c__GAL15,k__Bacteria;p__Gemmatimonadota;c__AKAU4049,k__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group,k__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes,k__Bacteria;p__Gemmatimonadota;c__Longimicrobia,k__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group,k__Bacteria;p__Latescibacterota;c__Latescibacteria,k__Bacteria;p__Latescibacterota;c__Latescibacterota,k__Bacteria;p__MBNT15;c__MBNT15,k__Bacteria;p__Methylomirabilota;c__Methylomirabilia,k__Bacteria;p__Myxococcota;c__Myxococcia,k__Bacteria;p__Myxococcota;c__Polyangia,k__Bacteria;p__Myxococcota;c__bacteriap25,k__Bacteria;p__NB1-j;c__NB1-j,k__Bacteria;p__Nitrospirota;c__Nitrospiria,k__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia,k__Bacteria;p__Patescibacteria;__,k__Bacteria;p__Patescibacteria;c__Gracilibacteria,k__Bacteria;p__Patescibacteria;c__Parcubacteria,k__Bacteria;p__Patescibacteria;c__Saccharimonadia,k__Bacteria;p__Planctomycetota;c__Phycisphaerae,k__Bacteria;p__Planctomycetota;c__Planctomycetes,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__RCP2-54;c__RCP2-54,k__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota;c__Leptospirae,k__Bacteria;p__Spirochaetota;c__Spirochaetia,k__Bacteria;p__Sumerlaeota;c__Sumerlaeia,k__Bacteria;p__Synergistota;c__Synergistia,k__Bacteria;p__Thermotogota;c__Thermotogae,k__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,k__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae,k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,k__Bacteria;p__WPS-2;c__WPS-2,k__Bacteria;p__Zixibacteria;c__Zixibacteria,group1
WTN.F,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,42999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,1177.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9513.0,30118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,0.0,0.0,0.0,86.0,938.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,84.0,5.0,0.0,WTN.F
dbS.F,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2627.0,123.0,0.0,0.0,7.0,0.0,0.0,0.0,36239.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,233.0,9.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36029.0,9042.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,911.0,2363.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,141.0,25.0,0.0,dbS.F
dbN.F,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,39101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34072.0,11342.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,0.0,0.0,146.0,1658.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,dbN.F
WTS.F,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1646.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,40290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,66.0,1148.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6404.0,29863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,0.0,0.0,0.0,252.0,2868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4474.0,0.0,0.0,WTS.F
dbN.O,995.0,153.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4956.0,23.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,544.0,19.0,4.0,0.0,56.0,0.0,0.0,0.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75226.0,1215.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,470.0,4140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,dbN.O
dbS.B,407.0,101.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1906.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,3068.0,303.0,20.0,0.0,100.0,0.0,0.0,0.0,8371.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3255.0,0.0,8.0,11.0,6.0,0.0,7.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,1078.0,0.0,0.0,0.0,0.0,0.0,4.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38504.0,28395.0,0.0,0.0,1.0,0.0,101.0,0.0,0.0,35.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,8.0,0.0,20.0,40.0,7.0,0.0,0.0,62.0,3.0,0.0,0.0,481.0,1738.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,dbS.B
dbN.B,248.0,40.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,224.0,0.0,12.0,21.0,0.0,6.0,0.0,4.0,6.0,28.0,0.0,0.0,466.0,9502.0,134.0,74.0,4.0,39.0,0.0,0.0,2.0,6467.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,5292.0,0.0,44.0,12.0,22.0,77.0,6.0,2.0,15.0,8.0,3.0,0.0,3.0,7.0,71.0,0.0,10.0,1771.0,12.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,32201.0,26590.0,0.0,0.0,3.0,0.0,215.0,0.0,0.0,209.0,0.0,25.0,10.0,66.0,5.0,57.0,0.0,0.0,12.0,7.0,7.0,51.0,16.0,0.0,35.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,1105.0,2976.0,0.0,0.0,0.0,44.0,0.0,8.0,0.0,0.0,0.0,46.0,8.0,0.0,dbN.B
WTS.B,961.0,112.0,3.0,0.0,33.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,747.0,240.0,0.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,12.0,10436.0,5972.0,22.0,0.0,116.0,0.0,0.0,1.0,17118.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,378.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,6.0,8.0,0.0,7.0,363.0,4.0,0.0,0.0,0.0,0.0,0.0,1370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22579.0,25378.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0,0.0,0.0,94.0,4.0,0.0,0.0,2.0,0.0,12.0,10.0,24.0,10.0,0.0,33.0,0.0,0.0,0.0,0.0,41.0,33.0,0.0,0.0,611.0,1695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,WTS.B
WTS.L,8700.0,2413.0,11.0,146.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9624.0,180.0,8.0,57.0,76.0,6.0,3.0,0.0,0.0,15.0,56.0,6.0,0.0,30.0,2329.0,622.0,10.0,0.0,122.0,5.0,0.0,0.0,7922.0,8.0,0.0,0.0,0.0,5.0,16.0,27.0,307.0,0.0,6.0,136.0,0.0,7.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,16.0,118.0,0.0,34.0,482.0,0.0,0.0,4.0,14.0,2.0,0.0,341.0,0.0,168.0,4.0,57.0,6.0,3.0,0.0,0.0,0.0,24688.0,16072.0,4.0,0.0,0.0,0.0,85.0,0.0,0.0,8.0,1.0,0.0,1.0,122.0,5.0,0.0,4.0,9.0,0.0,10.0,11.0,62.0,7.0,0.0,44.0,0.0,7.0,2.0,0.0,10.0,0.0,0.0,0.0,1450.0,11835.0,0.0,1.0,15.0,0.0,0.0,117.0,2.0,0.0,4.0,310.0,0.0,3.0,WTS.L
WTN.L,5965.0,1195.0,4.0,63.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,7323.0,237.0,0.0,67.0,53.0,0.0,0.0,0.0,9.0,3.0,59.0,0.0,4.0,43.0,2428.0,253.0,21.0,0.0,199.0,0.0,0.0,4.0,5443.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,261.0,0.0,4.0,4.0,8.0,5.0,14.0,0.0,21.0,0.0,0.0,0.0,0.0,11.0,534.0,0.0,12.0,95.0,0.0,0.0,8.0,0.0,0.0,0.0,187.0,0.0,3.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,14940.0,9319.0,0.0,0.0,5.0,0.0,409.0,0.0,6.0,166.0,1.0,0.0,1.0,131.0,4.0,0.0,0.0,0.0,0.0,25.0,27.0,43.0,22.0,0.0,57.0,0.0,8.0,13.0,0.0,38.0,0.0,0.0,3.0,2247.0,36614.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,4.0,367.0,1.0,0.0,WTN.L
