#OTU ID	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O	Taxonomy
ASV0	742	0	0	152	0	964	0	871	1368	0	1210	200	2599	4572	0	0	0	0	0	110	37	5714	13883	14938	21577	18136	6794	133	86	5350	1261	183	300	99	73	6458	288	579	29	82	2786	376	7016	9019	151	283	7242	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_danieliae
ASV1	0	0	6	208	10	47	0	137	224	0	0	349	16866	14632	35	28	39	0	27	41	0	368	1161	738	228	323	7450	67	0	2242	1988	164	164	48	59	6975	0	631	0	83	15560	613	174	170	193	186	11545	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_danieliae
ASV2	18	0	2	2	0	31	0	12	15	0	21	9	173	407	229	108	437	338	27	2335	3350	13754	6431	2956	1570	2422	1316	977	9	3440	275	51	1952	242	29	1128	1726	689	1175	9	3855	844	179	2917	79	774	2821	k__Bacteria
ASV3	757	151	2220	3409	2441	506	4954	9027	4776	582	344	3260	89	21	557	305	555	255	212	6157	370	88	26	506	220	865	1042	516	329	4891	301	1801	110	165	617	1140	869	38	312	145	11	458	169	883	483	613	53	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
ASV4	38	23	30	42	37	83	47	30	36	24	846	97	197	326	5	0	13	133	13	598	3574	4351	2905	472	228	62	129	2080	0	65	8650	72	4130	6106	13	238	264	1496	3138	14	476	357	5845	199	34	26	270	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia
ASV5	264	70	1003	223	734	171	2761	276	1074	125	154	1113	45	0	1974	2677	2492	1031	2282	6	0	0	28	107	41	132	103	166	2040	75	205	185	61	55	67	197	5	55	106	338	5	146	44	121	647	2063	16	k__Bacteria; p__Firmicutes; c__Bacilli
ASV6	150	40	1260	115	1976	116	1657	344	1041	66	91	1121	36	0	2792	1846	3335	114	1410	8	0	9	3	42	20	79	63	98	681	52	117	151	26	15	57	179	28	20	22	33	6	30	16	91	558	2967	12	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis
ASV7	34	18	249	25	630	55	580	371	284	28	43	371	25	3	494	783	641	5755	2093	19	22	0	13	91	11	39	32	74	5172	13	94	196	45	135	65	101	32	75	232	1604	0	170	86	150	312	638	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
ASV8	0	0	0	0	0	0	0	0	0	0	0	0	384	908	480	0	6	24	41	125	12738	0	0	0	0	0	0	446	0	105	259	81	323	530	9	0	0	367	531	13	0	607	414	62	67	41	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
ASV9	63	0	637	42	311	36	907	135	17	25	34	782	20	0	2834	4495	3173	39	1446	4	0	3	0	15	6	52	35	57	752	37	251	95	0	15	21	97	41	6	35	41	0	0	0	53	720	1807	4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
ASV10	1184	744	169	1774	211	1547	171	40	5	850	371	257	27	3	31	29	28	266	19	414	25	34	2	78	14	69	127	54	1211	11	18	856	5	28	4026	18	1494	8	0	342	0	29	14	353	29	102	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
