Sample	Site	Condition	Treatment	GroupInAll	FileName
dbN_1_B	Gut	DB	Control	Gut_DB_Control	dbN.1.B.fastq.gz
dbN_1_F	Fecal	DB	Control	Fecal_DB_Control	dbN.1.F.fastq.gz
dbN_1_L	Lung	DB	Control	Lung_DB_Control	dbN.1.L.fastq.gz
dbN_1_O	Oral	DB	Control	Oral_DB_Control	dbN.1.O.fastq.gz
dbN_2_B	Gut	DB	Control	Gut_DB_Control	dbN.2.B.fastq.gz
dbN_2_F	Fecal	DB	Control	Fecal_DB_Control	dbN.2.F.fastq.gz
dbN_2_L	Lung	DB	Control	Lung_DB_Control	dbN.2.L.fastq.gz
dbN_2_O	Oral	DB	Control	Oral_DB_Control	dbN.2.O.fastq.gz
dbN_3_B	Gut	DB	Control	Gut_DB_Control	dbN.3.B.fastq.gz
dbN_3_F	Fecal	DB	Control	Fecal_DB_Control	dbN.3.F.fastq.gz
dbN_3_L	Lung	DB	Control	Lung_DB_Control	dbN.3.L.fastq.gz
dbN_3_O	Oral	DB	Control	Oral_DB_Control	dbN.3.O.fastq.gz
dbS_1_B	Gut	DB	Treated	Gut_DB_Treated	dbS.1.B.fastq.gz
dbS_1_F	Fecal	DB	Treated	Fecal_DB_Treated	dbS.1.F.fastq.gz
dbS_1_L	Lung	DB	Treated	Lung_DB_Treated	dbS.1.L.fastq.gz
dbS_1_O	Oral	DB	Treated	Oral_DB_Treated	dbS.1.O.fastq.gz
dbS_2_B	Gut	DB	Treated	Gut_DB_Treated	dbS.2.B.fastq.gz
dbS_2_F	Fecal	DB	Treated	Fecal_DB_Treated	dbS.2.F.fastq.gz
dbS_2_L	Lung	DB	Treated	Lung_DB_Treated	dbS.2.L.fastq.gz
dbS_2_O	Oral	DB	Treated	Oral_DB_Treated	dbS.2.O.fastq.gz
dbS_3_B	Gut	DB	Treated	Gut_DB_Treated	dbS.3.B.fastq.gz
dbS_3_F	Fecal	DB	Treated	Fecal_DB_Treated	dbS.3.F.fastq.gz
dbS_3_L	Lung	DB	Treated	Lung_DB_Treated	dbS.3.L.fastq.gz
dbS_3_O	Oral	DB	Treated	Oral_DB_Treated	dbS.3.O.fastq.gz
WTN_1_B	Gut	WT	Control	Gut_WT_Control	WTN.1.B.fastq.gz
WTN_1_F	Fecal	WT	Control	Fecal_WT_Control	WTN.1.F.fastq.gz
WTN_1_L	Lung	WT	Control	Lung_WT_Control	WTN.1.L.fastq.gz
WTN_1_O	Oral	WT	Control	Oral_WT_Control	WTN.1.O.fastq.gz
WTN_2_B	Gut	WT	Control	Gut_WT_Control	WTN.2.B.fastq.gz
WTN_2_F	Fecal	WT	Control	Fecal_WT_Control	WTN.2.F.fastq.gz
WTN_2_L	Lung	WT	Control	Lung_WT_Control	WTN.2.L.fastq.gz
WTN_2_O	Oral	WT	Control	Oral_WT_Control	WTN.2.O.fastq.gz
WTN_3_B	Gut	WT	Control	Gut_WT_Control	WTN.3.B.fastq.gz
WTN_3_F	Fecal	WT	Control	Fecal_WT_Control	WTN.3.F.fastq.gz
WTN_3_L	Lung	WT	Control	Lung_WT_Control	WTN.3.L.fastq.gz
WTN_3_O	Oral	WT	Control	Oral_WT_Control	WTN.3.O.fastq.gz
WTS_1_B	Gut	WT	Treated	Gut_WT_Treated	WTS.1.B.fastq.gz
WTS_1_F	Fecal	WT	Treated	Fecal_WT_Treated	WTS.1.F.fastq.gz
WTS_1_L	Lung	WT	Treated	Lung_WT_Treated	WTS.1.L.fastq.gz
WTS_1_O	Oral	WT	Treated	Oral_WT_Treated	WTS.1.O.fastq.gz
WTS_2_B	Gut	WT	Treated	Gut_WT_Treated	WTS.2.B.fastq.gz
WTS_2_F	Fecal	WT	Treated	Fecal_WT_Treated	WTS.2.F.fastq.gz
WTS_2_L	Lung	WT	Treated	Lung_WT_Treated	WTS.2.L.fastq.gz
WTS_2_O	Oral	WT	Treated	Oral_WT_Treated	WTS.2.O.fastq.gz
WTS_3_B	Gut	WT	Treated	Gut_WT_Treated	WTS.3.B.fastq.gz
WTS_3_F	Fecal	WT	Treated	Fecal_WT_Treated	WTS.3.F.fastq.gz
WTS_3_L	Lung	WT	Treated	Lung_WT_Treated	WTS.3.L.fastq.gz	
