Sample	Site	Condition	Treatment	GroupInAll	FileName
dbN_1_O	Oral	DB	Control	Oral_DB_Control	dbN.1.O.fastq.gz
dbN_2_O	Oral	DB	Control	Oral_DB_Control	dbN.2.O.fastq.gz
dbN_3_O	Oral	DB	Control	Oral_DB_Control	dbN.3.O.fastq.gz
dbS_1_O	Oral	DB	Treated	Oral_DB_Treated	dbS.1.O.fastq.gz
dbS_2_O	Oral	DB	Treated	Oral_DB_Treated	dbS.2.O.fastq.gz
dbS_3_O	Oral	DB	Treated	Oral_DB_Treated	dbS.3.O.fastq.gz
WTN_1_O	Oral	WT	Control	Oral_WT_Control	WTN.1.O.fastq.gz
WTN_2_O	Oral	WT	Control	Oral_WT_Control	WTN.2.O.fastq.gz
WTN_3_O	Oral	WT	Control	Oral_WT_Control	WTN.3.O.fastq.gz
WTS_1_O	Oral	WT	Treated	Oral_WT_Treated	WTS.1.O.fastq.gz
WTS_2_O	Oral	WT	Treated	Oral_WT_Treated	WTS.2.O.fastq.gz
