SampleID_converted,MedianCLV,Site,Condition,Treatment,ShannonJSDScore,CloudScore,TreatGroup
dbN.1.O,0.846317137,Oral,DB,Control,0.06412791,-1.386014891,DB_Control
dbN.2.O,0.774176157,Oral,DB,Control,0.012438336,-1.185776938,DB_Control
dbN.3.O,0.771649033,Oral,DB,Control,-0.093715252,-1.442652801,DB_Control
dbS.1.O,0.643304805,Oral,DB,Treated,0.388013355,-1.469636247,DB_Treated
dbS.2.O,0.64293416,Oral,DB,Treated,0.07127505,-1.06359253,DB_Treated
dbS.3.O,0.639969001,Oral,DB,Treated,0.340194938,-1.476926312,DB_Treated
WTN.1.O,0.456145967,Oral,WT,Control,0.001620617,-1.478497056,WT_Control
WTN.2.O,0.57644383,Oral,WT,Control,0.096490564,1.432572423,WT_Control
WTN.3.O,0.466911517,Oral,WT,Control,0.085221214,-1.432572423,WT_Control
WTS.1.O,0.401880181,Oral,WT,Treated,-0.016396602,-0.542562933,WT_Treated
WTS.2.O,0.33297392,Oral,WT,Treated,-0.075903429,-0.560671014,WT_Treated
