"","level","Overall","Normal","OLP","p","test","Missing"
"n","","  57","  28","  29","","","   "
"Type (%)","E","  12 ( 21.1) ","   0 (  0.0) ","  12 ( 41.4) ","<0.001","","0.0"
"","NE","  17 ( 29.8) ","   0 (  0.0) ","  17 ( 58.6) ","","","   "
"","肉芽","   7 ( 12.3) ","   7 ( 25.0) ","   0 (  0.0) ","","","   "
"","牙囊","   2 (  3.5) ","   2 (  7.1) ","   0 (  0.0) ","","","   "
"","牙龈","  19 ( 33.3) ","  19 ( 67.9) ","   0 (  0.0) ","","","   "
"Age (mean (SD))","","42.7 (16.6)","33.2 (13.2)","51.8 (14.4)","<0.001","","0.0"
"Sex (%)","F","  36 ( 63.2) ","  18 ( 64.3) ","  18 ( 62.1) "," 1.000","","0.0"
"","M","  21 ( 36.8) ","  10 ( 35.7) ","  11 ( 37.9) ","","","   "
"Smoke (%)","N","  45 ( 78.9) ","  24 ( 85.7) ","  21 ( 72.4) "," 0.365","","0.0"
"","Y","  12 ( 21.1) ","   4 ( 14.3) ","   8 ( 27.6) ","","","   "
"Alcohol (%)","N","  47 ( 82.5) ","  25 ( 89.3) ","  22 ( 75.9) "," 0.325","","0.0"
"","Y","  10 ( 17.5) ","   3 ( 10.7) ","   7 ( 24.1) ","","","   "
"Betel chewing (%)","N","  56 ( 98.2) ","  28 (100.0) ","  28 ( 96.6) "," 1.000","","0.0"
"","Y","   1 (  1.8) ","   0 (  0.0) ","   1 (  3.4) ","","","   "
"Periodontal disease (%)","N","  37 ( 64.9) ","  22 ( 78.6) ","  15 ( 51.7) "," 0.065","","0.0"
"","Y","  20 ( 35.1) ","   6 ( 21.4) ","  14 ( 48.3) ","","","   "
"History of infection (%)","N","  57 (100.0) ","  28 (100.0) ","  29 (100.0) ","    NA","","0.0"
