"","level","Overall","E","NE","p","test","Missing"
"n","","  29","  12","  17","","","   "
"Age (mean (SD))","","51.8 (14.4)","52.8 (12.7)","51.1 (15.8)"," 0.758","","0.0"
"Sex (%)","F","  18 ( 62.1) ","   9 ( 75.0) ","   9 ( 52.9) "," 0.414","","0.0"
"","M","  11 ( 37.9) ","   3 ( 25.0) ","   8 ( 47.1) ","","","   "
"Type (%)","E","  12 ( 41.4) ","  12 (100.0) ","   0 (  0.0) ","<0.001","","0.0"
"","NE","  17 ( 58.6) ","   0 (  0.0) ","  17 (100.0) ","","","   "
"Scores (mean (SD))",""," 6.3 (4.0)"," 7.5 (4.1)"," 5.4 (3.7)"," 0.169","","0.0"
"Sampling site (%)","前庭沟","   1 (  3.4) ","   1 (  8.3) ","   0 (  0.0) "," 0.732","","0.0"
"","舌背","   3 ( 10.3) ","   1 (  8.3) ","   2 ( 11.8) ","","","   "
"","舌腹","   4 ( 13.8) ","   1 (  8.3) ","   3 ( 17.6) ","","","   "
"","右颊","  10 ( 34.5) ","   4 ( 33.3) ","   6 ( 35.3) ","","","   "
"","左颊","  11 ( 37.9) ","   5 ( 41.7) ","   6 ( 35.3) ","","","   "
"Course(M) (mean (SD))","","30.7 (48.6)","32.8 (58.1)","29.2 (42.5)"," 0.848","","0.0"
"Probing hemorrhage (%)","N","  21 ( 72.4) ","   9 ( 75.0) ","  12 ( 70.6) "," 1.000","","0.0"
"","Y","   8 ( 27.6) ","   3 ( 25.0) ","   5 ( 29.4) ","","","   "
"Gingival index (mean (SD))",""," 1.2 (0.7)"," 1.2 (0.4)"," 1.2 (0.8)"," 0.969","","0.0"
"Smoke (%)","N","  21 ( 72.4) ","   8 ( 66.7) ","  13 ( 76.5) "," 0.873","","0.0"
"","Y","   8 ( 27.6) ","   4 ( 33.3) ","   4 ( 23.5) ","","","   "
"Alcohol (%)","N","  22 ( 75.9) ","   9 ( 75.0) ","  13 ( 76.5) "," 1.000","","0.0"
"","Y","   7 ( 24.1) ","   3 ( 25.0) ","   4 ( 23.5) ","","","   "
"Betel chewing (%)","N","  28 ( 96.6) ","  12 (100.0) ","  16 ( 94.1) "," 1.000","","0.0"
"","Y","   1 (  3.4) ","   0 (  0.0) ","   1 (  5.9) ","","","   "
"Periodontal disease (%)","N","  15 ( 51.7) ","   4 ( 33.3) ","  11 ( 64.7) "," 0.198","","0.0"
"","Y","  14 ( 48.3) ","   8 ( 66.7) ","   6 ( 35.3) ","","","   "
"History of infection (%)","N","  29 (100.0) ","  12 (100.0) ","  17 (100.0) ","    NA","","0.0"
