"","group","sample","Celltype","Composition"
"1","OLP","CKF_RNA_FPKM","B.cells.naive",0.000793510576611901
"2","OLP","CKF_RNA_FPKM","B.cells.memory",0.0443851704731777
"3","OLP","CKF_RNA_FPKM","Plasma.cells",0
"4","OLP","CKF_RNA_FPKM","T.cells.CD8",0.0784784165998478
"5","OLP","CKF_RNA_FPKM","T.cells.CD4.naive",0
"6","OLP","CKF_RNA_FPKM","T.cells.CD4.memory.resting",0
"7","OLP","CKF_RNA_FPKM","T.cells.CD4.memory.activated",0
"8","OLP","CKF_RNA_FPKM","T.cells.follicular.helper",0.134041912237496
"9","OLP","CKF_RNA_FPKM","T.cells.regulatory..Tregs.",0.0866874400246773
"10","OLP","CKF_RNA_FPKM","T.cells.gamma.delta",0
"11","OLP","CKF_RNA_FPKM","NK.cells.resting",0.00229526588851185
"12","OLP","CKF_RNA_FPKM","NK.cells.activated",0.078595662703764
"13","OLP","CKF_RNA_FPKM","Monocytes",0.0168819202094158
"14","OLP","CKF_RNA_FPKM","Macrophages.M0",0
"15","OLP","CKF_RNA_FPKM","Macrophages.M1",0.201041905920197
"16","OLP","CKF_RNA_FPKM","Macrophages.M2",0.156092949174428
"17","OLP","CKF_RNA_FPKM","Dendritic.cells.resting",0.118790466688169
"18","OLP","CKF_RNA_FPKM","Dendritic.cells.activated",0
"19","OLP","CKF_RNA_FPKM","Mast.cells.resting",0.0688706583346775
"20","OLP","CKF_RNA_FPKM","Mast.cells.activated",0
"21","OLP","CKF_RNA_FPKM","Eosinophils",0
"22","OLP","CKF_RNA_FPKM","Neutrophils",0.013044721169027
"23","OLP","CL_RNA_FPKM","B.cells.naive",0.0792371774411959
"24","OLP","CL_RNA_FPKM","B.cells.memory",0.286016936380944
"25","OLP","CL_RNA_FPKM","Plasma.cells",0.0235624666950627
"26","OLP","CL_RNA_FPKM","T.cells.CD8",0.210103822924788
"27","OLP","CL_RNA_FPKM","T.cells.CD4.naive",0
"28","OLP","CL_RNA_FPKM","T.cells.CD4.memory.resting",0.0473300284278592
"29","OLP","CL_RNA_FPKM","T.cells.CD4.memory.activated",0
"30","OLP","CL_RNA_FPKM","T.cells.follicular.helper",0.0308882446224377
"31","OLP","CL_RNA_FPKM","T.cells.regulatory..Tregs.",0.0196156281427878
"32","OLP","CL_RNA_FPKM","T.cells.gamma.delta",0
"33","OLP","CL_RNA_FPKM","NK.cells.resting",0.000526470504563181
"34","OLP","CL_RNA_FPKM","NK.cells.activated",0
"35","OLP","CL_RNA_FPKM","Monocytes",0
"36","OLP","CL_RNA_FPKM","Macrophages.M0",0.00991984238525774
"37","OLP","CL_RNA_FPKM","Macrophages.M1",0.0443119124426659
"38","OLP","CL_RNA_FPKM","Macrophages.M2",0.222731688940805
"39","OLP","CL_RNA_FPKM","Dendritic.cells.resting",0
"40","OLP","CL_RNA_FPKM","Dendritic.cells.activated",0
"41","OLP","CL_RNA_FPKM","Mast.cells.resting",0.0257557810916333
"42","OLP","CL_RNA_FPKM","Mast.cells.activated",0
"43","OLP","CL_RNA_FPKM","Eosinophils",0
"44","OLP","CL_RNA_FPKM","Neutrophils",0
"45","HC","GJ_RNA_FPKM","B.cells.naive",0
"46","HC","GJ_RNA_FPKM","B.cells.memory",0.089767615594935
"47","HC","GJ_RNA_FPKM","Plasma.cells",0.0366933259470531
"48","HC","GJ_RNA_FPKM","T.cells.CD8",0.115943999193594
"49","HC","GJ_RNA_FPKM","T.cells.CD4.naive",0
"50","HC","GJ_RNA_FPKM","T.cells.CD4.memory.resting",0.0595916366381222
"51","HC","GJ_RNA_FPKM","T.cells.CD4.memory.activated",0
"52","HC","GJ_RNA_FPKM","T.cells.follicular.helper",0.0851013568792123
"53","HC","GJ_RNA_FPKM","T.cells.regulatory..Tregs.",0
"54","HC","GJ_RNA_FPKM","T.cells.gamma.delta",0
"55","HC","GJ_RNA_FPKM","NK.cells.resting",0.0799676633425779
"56","HC","GJ_RNA_FPKM","NK.cells.activated",0
"57","HC","GJ_RNA_FPKM","Monocytes",0
"58","HC","GJ_RNA_FPKM","Macrophages.M0",0.12656658528846
"59","HC","GJ_RNA_FPKM","Macrophages.M1",0.00280087873367929
"60","HC","GJ_RNA_FPKM","Macrophages.M2",0.149279276685435
"61","HC","GJ_RNA_FPKM","Dendritic.cells.resting",0
"62","HC","GJ_RNA_FPKM","Dendritic.cells.activated",0.0307996907157372
"63","HC","GJ_RNA_FPKM","Mast.cells.resting",0.0908911003085426
"64","HC","GJ_RNA_FPKM","Mast.cells.activated",0.0217064851604487
"65","HC","GJ_RNA_FPKM","Eosinophils",0
"66","HC","GJ_RNA_FPKM","Neutrophils",0.110890385512203
"67","HC","GQ_RNA_FPKM","B.cells.naive",0.0180414299759635
"68","HC","GQ_RNA_FPKM","B.cells.memory",0.075741393886639
"69","HC","GQ_RNA_FPKM","Plasma.cells",0.481384601378046
"70","HC","GQ_RNA_FPKM","T.cells.CD8",0.0795796989320374
"71","HC","GQ_RNA_FPKM","T.cells.CD4.naive",0
"72","HC","GQ_RNA_FPKM","T.cells.CD4.memory.resting",0.0530483110294039
"73","HC","GQ_RNA_FPKM","T.cells.CD4.memory.activated",0.0377488768213856
"74","HC","GQ_RNA_FPKM","T.cells.follicular.helper",0
"75","HC","GQ_RNA_FPKM","T.cells.regulatory..Tregs.",0.00850261353750102
"76","HC","GQ_RNA_FPKM","T.cells.gamma.delta",0
"77","HC","GQ_RNA_FPKM","NK.cells.resting",0.0142251731779052
"78","HC","GQ_RNA_FPKM","NK.cells.activated",0
"79","HC","GQ_RNA_FPKM","Monocytes",0
"80","HC","GQ_RNA_FPKM","Macrophages.M0",0.0457190912977014
"81","HC","GQ_RNA_FPKM","Macrophages.M1",0
"82","HC","GQ_RNA_FPKM","Macrophages.M2",0.0454245771980707
"83","HC","GQ_RNA_FPKM","Dendritic.cells.resting",0
"84","HC","GQ_RNA_FPKM","Dendritic.cells.activated",0.0228053207424735
"85","HC","GQ_RNA_FPKM","Mast.cells.resting",0
"86","HC","GQ_RNA_FPKM","Mast.cells.activated",0.0596021992615995
"87","HC","GQ_RNA_FPKM","Eosinophils",0
"88","HC","GQ_RNA_FPKM","Neutrophils",0.0581767127612733
"89","OLP","HB_RNA_FPKM","B.cells.naive",0.0191943932354519
"90","OLP","HB_RNA_FPKM","B.cells.memory",0
"91","OLP","HB_RNA_FPKM","Plasma.cells",0
"92","OLP","HB_RNA_FPKM","T.cells.CD8",0.127569692508507
"93","OLP","HB_RNA_FPKM","T.cells.CD4.naive",0
"94","OLP","HB_RNA_FPKM","T.cells.CD4.memory.resting",0.0204353578950407
"95","OLP","HB_RNA_FPKM","T.cells.CD4.memory.activated",0
"96","OLP","HB_RNA_FPKM","T.cells.follicular.helper",0.0732869850345923
"97","OLP","HB_RNA_FPKM","T.cells.regulatory..Tregs.",0.250364711231736
"98","OLP","HB_RNA_FPKM","T.cells.gamma.delta",0
"99","OLP","HB_RNA_FPKM","NK.cells.resting",0
"100","OLP","HB_RNA_FPKM","NK.cells.activated",0.0278654598642818
"101","OLP","HB_RNA_FPKM","Monocytes",0.00493774376135904
"102","OLP","HB_RNA_FPKM","Macrophages.M0",0.00465613201023448
"103","OLP","HB_RNA_FPKM","Macrophages.M1",0.116796796011632
"104","OLP","HB_RNA_FPKM","Macrophages.M2",0.13235956257483
"105","OLP","HB_RNA_FPKM","Dendritic.cells.resting",0.149254450902075
"106","OLP","HB_RNA_FPKM","Dendritic.cells.activated",0.0133764415878391
"107","OLP","HB_RNA_FPKM","Mast.cells.resting",0.0599022733824208
