"Celltype","p_value","p_adj","sig"
"B.cells.naive",0.106400189770662,0.207875281665818,"ns"
"B.cells.memory",0.209835008895078,0.338964245138203,"ns"
"Plasma.cells",0.0216189943286822,0.0746080757591131,"ns"
"T.cells.CD8",5.86879957856874e-05,0.00103469423270343,"**"
"T.cells.CD4.naive",0.903779604531516,0.903779604531516,"ns"
"T.cells.CD4.memory.resting",0.28468501924317,0.385751072280338,"ns"
"T.cells.CD4.memory.activated",0.108887052301143,0.207875281665818,"ns"
"T.cells.follicular.helper",0.882347854304098,0.903779604531516,"ns"
"T.cells.regulatory..Tregs.",0.000358880051978651,0.00251216036385056,"**"
"T.cells.gamma.delta",0.317001674774837,0.385751072280338,"ns"
"NK.cells.resting",0.196562591581016,0.338964245138203,"ns"
"NK.cells.activated",0.024869358586371,0.0746080757591131,"ns"
"Monocytes",0.390137845024295,0.4312049866058,"ns"
"Macrophages.M0",0.0733428392240498,0.177856683049406,"ns"
"Macrophages.M1",9.8542307876517e-05,0.00103469423270343,"**"
"Macrophages.M2",0.325195203562366,0.385751072280338,"ns"
"Dendritic.cells.resting",0.0133732879147785,0.0561678092420695,"ns"
"Dendritic.cells.activated",0.330643776240289,0.385751072280338,"ns"
"Mast.cells.resting",0.322818896997648,0.385751072280338,"ns"
"Mast.cells.activated",0.0762242927354597,0.177856683049406,"ns"
"Eosinophils",NA,NA,NA
"Neutrophils",0.00410572857688675,0.0215550750286555,"*"
