"module","species","r","p_value","significance"
"MEblue","Prevotella_sp_oral_taxon_299",-0.11,0.41,""
"MEblue","Streptococcus_sp_116_D4",0.076,0.58,""
"MEblue","Lancefieldella_parvula",-0.052,0.71,""
"MEblue","Prevotella_jejuni",-0.037,0.79,""
"MEblue","Schaalia_odontolytica",-0.0091,0.95,""
"MEblue","Campylobacter_concisus",-0.052,0.7,""
"MEblue","Erwinia_sp_Ejp617",-0.096,0.48,""
"MEblue","Collinsella_aerofaciens",-0.048,0.72,""
"MEblue","Prevotella_denticola",0.077,0.57,""
"MEblue","Kingella_oralis",0.31,0.019,"*"
"MEblue","Schaalia_meyeri",-0.053,0.7,""
"MEblue","Pantoea_sp_CCBC3_3_1",-0.15,0.28,""
"MEblue","Streptococcus_mitis",0.037,0.78,""
"MEblue","Schaalia_cardiffensis",-0.084,0.54,""
"MEblue","Nanosynbacter_sp_HMT_352",0.036,0.79,""
"MEblue","Candidatus_Methylopumilus_turicensis",-0.073,0.59,""
"MEblue","Streptococcus_sp_1643",0.086,0.53,""
"MEblue","Porphyromonas_endodontalis",0.045,0.74,""
"MEblue","Streptococcus_oralis",0.097,0.48,""
"MEblue","Prevotella_scopos",0.0053,0.97,""
"MEblue","Desulfobulbus_oralis",-0.02,0.88,""
"MEblue","Tannerella_forsythia",-0.043,0.75,""
"MEblue","Blattabacterium_punctulatus",-0.13,0.33,""
"MEblue","Streptococcus_pseudopneumoniae",0.1,0.46,""
"MEblue","Microbacterium_paludicola",0.038,0.78,""
"MEblue","Prevotella_histicola",-0.082,0.55,""
"MEblue","Shewanella_loihica",-0.054,0.7,""
"MEblue","Olsenella_uli",-0.011,0.93,""
"MEblue","Mogibacterium_diversum",-0.097,0.48,""
"MEblue","Porphyromonas_gingivalis",0.0094,0.95,""
"MEblue","Prevotella_multiformis",-0.031,0.82,""
"MEblue","Lachnoanaerobaculum_umeaense",-0.11,0.42,""
"MEblue","Veillonella_atypica",-0.015,0.91,""
"MEblue","Planktothrix_rubescens",-0.13,0.33,""
"MEblue","Rothia_mucilaginosa",0.061,0.66,""
"MEblue","Prevotella_veroralis",-0.12,0.38,""
"MEblue","Candidatus_Nanosynbacter_sp_HMT352",0.0023,0.99,""
"MEblue","Fusobacterium_periodonticum",-0.097,0.48,""
"MEblue","Fusobacterium_pseudoperiodonticum",-0.084,0.54,""
"MEblue","Streptococcus_sp_FDAARGOS_192",0.012,0.93,""
"MEblue","Neisseria_mucosa",0.014,0.92,""
"MEblue","Leptotrichia_sp_oral_taxon_221",-0.073,0.6,""
"MEblue","Filifactor_alocis",-0.024,0.86,""
"MEblue","Prevotella_intermedia",-0.033,0.81,""
"MEblue","Streptococcus_pneumoniae",0.082,0.55,""
"MEblue","Parvimonas_micra",0.035,0.8,""
"MEbrown","Prevotella_sp_oral_taxon_299",0.021,0.88,""
"MEbrown","Streptococcus_sp_116_D4",-0.15,0.27,""
"MEbrown","Lancefieldella_parvula",-0.062,0.65,""
"MEbrown","Prevotella_jejuni",-0.078,0.57,""
"MEbrown","Schaalia_odontolytica",0.0022,0.99,""
"MEbrown","Campylobacter_concisus",0.031,0.82,""
"MEbrown","Erwinia_sp_Ejp617",-0.065,0.63,""
"MEbrown","Collinsella_aerofaciens",0.016,0.91,""
"MEbrown","Prevotella_denticola",-0.11,0.41,""
"MEbrown","Kingella_oralis",-0.14,0.31,""
"MEbrown","Schaalia_meyeri",-0.023,0.86,""
"MEbrown","Pantoea_sp_CCBC3_3_1",-0.12,0.4,""
"MEbrown","Streptococcus_mitis",-0.14,0.29,""
"MEbrown","Schaalia_cardiffensis",-0.075,0.58,""
"MEbrown","Nanosynbacter_sp_HMT_352",-0.056,0.68,""
"MEbrown","Candidatus_Methylopumilus_turicensis",0.25,0.06,""
"MEbrown","Streptococcus_sp_1643",-0.19,0.16,""
"MEbrown","Porphyromonas_endodontalis",-0.072,0.6,""
"MEbrown","Streptococcus_oralis",-0.2,0.14,""
"MEbrown","Prevotella_scopos",-0.11,0.44,""
"MEbrown","Desulfobulbus_oralis",-0.031,0.82,""
"MEbrown","Tannerella_forsythia",-0.075,0.58,""
"MEbrown","Blattabacterium_punctulatus",-0.087,0.52,""
"MEbrown","Streptococcus_pseudopneumoniae",-0.15,0.26,""
"MEbrown","Microbacterium_paludicola",-0.031,0.82,""
"MEbrown","Prevotella_histicola",-0.08,0.56,""
"MEbrown","Shewanella_loihica",0.046,0.74,""
"MEbrown","Olsenella_uli",-0.073,0.59,""
"MEbrown","Mogibacterium_diversum",-0.09,0.51,""
"MEbrown","Porphyromonas_gingivalis",-0.045,0.74,""
"MEbrown","Prevotella_multiformis",-0.034,0.8,""
"MEbrown","Lachnoanaerobaculum_umeaense",-0.059,0.67,""
"MEbrown","Veillonella_atypica",-0.089,0.51,""
"MEbrown","Planktothrix_rubescens",-0.1,0.45,""
"MEbrown","Rothia_mucilaginosa",0.00073,1,""
"MEbrown","Prevotella_veroralis",-0.11,0.41,""
"MEbrown","Candidatus_Nanosynbacter_sp_HMT352",0.0056,0.97,""
"MEbrown","Fusobacterium_periodonticum",-0.014,0.92,""
"MEbrown","Fusobacterium_pseudoperiodonticum",0.089,0.51,""
"MEbrown","Streptococcus_sp_FDAARGOS_192",0.0072,0.96,""
"MEbrown","Neisseria_mucosa",0.12,0.38,""
"MEbrown","Leptotrichia_sp_oral_taxon_221",-0.064,0.64,""
"MEbrown","Filifactor_alocis",-0.078,0.57,""
"MEbrown","Prevotella_intermedia",-0.081,0.55,""
"MEbrown","Streptococcus_pneumoniae",-0.16,0.25,""
"MEbrown","Parvimonas_micra",-0.085,0.53,""
"MEpink","Prevotella_sp_oral_taxon_299",-0.18,0.18,""
