"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map03010","map03010","Ribosome",143,109,7,2,5,-4.75920258943836,1.65745117661453,1.12750617251377,-5.6910143132494,2e-04,0.00666
"map04060","map04060","Cytokine-cytokine receptor interaction",274,17,3,0,3,-5.40184737154476,0.620861592365543,1.14854821978238,-5.24375804182734,2e-04,0.00666
"map05171","map05171","Coronavirus disease - COVID-19",219,66,2,0,2,-4.82384025376634,1.29010974032337,1.17035843061648,-5.22399790880237,2e-04,0.00666
"map04062","map04062","Chemokine signaling pathway",162,18,3,0,3,-4.944614647583,0.66242614381739,1.16472805114476,-4.81403430259062,2e-04,0.00666
"map04668","map04668","TNF signaling pathway",97,8,2,0,2,-4.38890934888562,0.438233285053344,1.14057338580677,-4.23220697064094,2e-04,0.00666
"map01501","map01501","beta-Lactam resistance",112,24,6,0,6,-4.04173906413961,0.771445613186617,1.14410324392102,-4.20694959384145,2e-04,0.00666
"map05131","map05131","Shigellosis",205,24,2,0,2,-3.88881049548446,0.804478255315484,1.14670966783126,-4.09283089038243,2e-04,0.00666
"map04657","map04657","IL-17 signaling pathway",80,10,2,0,2,-4.25589869677447,0.50012150155527,1.16212275675018,-4.09252823826436,4e-04,0.00888
"map05164","map05164","Influenza A",128,14,2,0,2,-4.10566812738013,0.595723400298896,1.15630084270684,-4.06588956267929,2e-04,0.00666
"map05323","map05323","Rheumatoid arthritis",67,12,2,0,2,-4.16096861752893,0.564145551455168,1.17705519445644,-4.01435225063184,2e-04,0.00666
"map05135","map05135","Yersinia infection",122,10,1,0,1,-3.89683093785577,0.502084151925545,1.16692153768488,-3.76967512186687,4e-04,0.00888
"map05130","map05130","Pathogenic Escherichia coli infection",152,14,1,0,1,-3.75972903605656,0.593047456530564,1.16006234276696,-3.75219187117561,4e-04,0.00888
"map05205","map05205","Proteoglycans in cancer",167,10,2,0,2,-3.75273969154114,0.503747352914187,1.15202303520721,-3.69479334559462,4e-04,0.00888
"map04620","map04620","Toll-like receptor signaling pathway",80,10,2,0,2,-3.62592954638456,0.505703060933171,1.1431574044202,-3.61422896911845,4e-04,0.00888
"map05169","map05169","Epstein-Barr virus infection",172,24,15,14,1,4.81631085705084,0.780035994807682,1.13857893858485,3.54501100051954,2e-04,0.00666
"map05120","map05120","Epithelial cell signaling in Helicobacter pylori infection",91,10,2,0,2,-3.60258044280316,0.492022668652281,1.17330426692267,-3.4898050121259,6e-04,0.0105157894736842
"map05142","map05142","Chagas disease",85,10,1,0,1,-3.50969914366927,0.509027146481846,1.16630908689934,-3.44567862438164,6e-04,0.0105157894736842
"map01120","map01120","Microbial metabolism in diverse environments",1299,354,33,22,11,6.69015689586129,2.94087061728001,1.11621087569666,3.35894082400985,8e-04,0.0121090909090909
"map05022","map05022","Pathways of neurodegeneration - multiple diseases",368,62,1,1,0,-2.51154882693463,1.25386192975584,1.13266979920884,-3.32436757766524,6e-04,0.0105157894736842
"map04530","map04530","Tight junction",106,5,1,0,1,-3.3143908456071,0.346817008276275,1.13183845090239,-3.23474419071413,6e-04,0.0105157894736842
