"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust","level1"
"map03010","map03010","Ribosome",143,54,35,16,19,-0.725946770428905,-12.3818217534935,1.49837135880438,7.7790294872997,2e-04,0.0076,"Genetic Information Processing"
"map02024","map02024","Quorum sensing",283,32,25,0,25,-15.4803324421436,-9.55291453507304,1.52389359891861,-3.88965339264948,2e-04,0.0076,"Cellular Processes"
"map00650","map00650","Butanoate metabolism",114,36,22,0,22,-15.5288453535733,-10.1091615145863,1.51711098819915,-3.57237135657448,4e-04,0.01216,"Metabolism"
"map02040","map02040","Flagellar assembly",55,31,25,0,25,-14.7785950741097,-9.39553670259788,1.52628134345639,-3.52691094246194,2e-04,0.0076,"Cellular Processes"
"map04621","map04621","NOD-like receptor signaling pathway",145,3,3,0,3,-7.78118591644687,-2.88023111361748,1.54734936483721,-3.16732272245771,2e-04,0.0076,"Organismal Systems"
"map05208","map05208","Chemical carcinogenesis - reactive oxygen species",175,5,1,1,0,0.711829364640194,-3.76863760703843,1.52835978724856,2.93155251077669,0.0044,0.0608,"Human Diseases"
"map02030","map02030","Bacterial chemotaxis",26,18,13,0,13,-11.6340640293098,-7.15028040502875,1.54074302740345,-2.91014370633716,8e-04,0.0173714285714286,"Cellular Processes"
"map05134","map05134","Legionellosis",69,4,4,0,4,-7.6576743691199,-3.37973752878433,1.5164629264313,-2.82099665331276,6e-04,0.0152,"Human Diseases"
"map03060","map03060","Protein export",49,14,13,0,13,-10.4477846839162,-6.32021467770735,1.5340149938134,-2.69069730273504,0.001,0.019,"Genetic Information Processing"
"map00910","map00910","Nitrogen metabolism",69,18,8,3,5,-3.17884261445206,-7.17598873847304,1.52039291530939,2.62902180335902,0.0088,0.102892307692308,"Metabolism"
"map03070","map03070","Bacterial secretion system",74,20,16,0,16,-11.391367885334,-7.57007660234753,1.51189529699446,-2.52748407286068,0.0036,0.05472,"Environmental Information Processing"
"map05132","map05132","Salmonella infection",217,5,4,0,4,-7.634363188224,-3.80737831116103,1.51578366373706,-2.52475664477596,0.0028,0.0472888888888889,"Human Diseases"
"map01310","map01310","Nitrogen cycle",39,8,2,1,1,-0.869929846026571,-4.76014575643993,1.54199273537522,2.52284970036952,0.0114,0.123771428571429,NA
"map05016","map05016","Huntington disease",229,6,2,1,1,-0.238504000153131,-4.12429196024836,1.56086982568618,2.48950162028212,0.014,0.1406,"Human Diseases"
"map00750","map00750","Vitamin B6 metabolism",24,5,2,1,1,-0.126341049820469,-3.79230071011552,1.53172972605679,2.39334629205931,0.0148,0.1406,"Metabolism"
"map00074","map00074","Mycolic acid biosynthesis",35,4,2,1,1,0.217805316586406,-3.40066818850002,1.53823061355366,2.35236087047243,0.0204,0.172266666666667,"Metabolism"
"map00680","map00680","Methane metabolism",195,23,12,4,8,-4.83143296564047,-8.1155121144649,1.50468952558538,2.18256264364358,0.0192,0.171670588235294,"Metabolism"
