Sample,Group,Tissue,CD3_pct,CD4_pct_CD3,CD8_pct_CD3,IL17_pct_CD4,IL17_MFI,IFNg_pct_CD4,IFNg_MFI
E-C1,Control,Epithelium,13.49,92.11,0.0,10.7,8600000,63.0,1990000
E-C2,Control,Epithelium,11.72,125.39,0.0,9.97,10300000,61.7,1630000
E-C3,Control,Epithelium,11.98,122.05,0.0,11.2,8300000,66.4,1680000
E-C4,Control,Epithelium,11.09,124.2,0.0,11.3,9690000,68.2,1810000
E-C5,Control,Epithelium,10.47,149.74,0.0,10.7,8740000,70.9,2330000
E-F1,F,Epithelium,8.22,28.14,0.0,34.0,11000000,4.26,26169
E-F2,F,Epithelium,6.39,28.0,0.0,32.1,8220000,7.14,263700
E-F3,F,Epithelium,6.61,24.58,0.0,24.1,9040000,6.9,12786
E-F4,F,Epithelium,6.84,30.17,0.0,28.6,12300000,2.86,146343
E-F5,F,Epithelium,7.79,36.17,0.0,23.5,11200000,0.0,0
E-P1,P,Epithelium,21.93,18.15,0.0,7.45,9530000,5.32,40632
E-P2,P,Epithelium,20.37,16.59,0.0,14.3,12600000,2.6,74247
E-P3,P,Epithelium,23.9,13.41,0.0,13.9,13000000,2.78,33629
E-P4,P,Epithelium,23.07,16.63,0.0,7.5,4790000,1.25,11437
E-P5,P,Epithelium,16.72,13.5,0.0,5.56,11300000,1.85,22931
E-R1,R,Epithelium,55.25,21.55,0.0,8.43,10600000,1.69,238779
E-R2,R,Epithelium,57.48,21.73,0.0,6.48,10200000,2.49,85810
E-R3,R,Epithelium,60.81,22.02,0.0,6.38,10200000,2.03,22530
E-R4,R,Epithelium,59.37,23.55,0.0,9.23,10600000,2.64,208414
E-R5,R,Epithelium,53.44,22.3,0.0,7.59,11900000,0.81,175064
E-R6,R,Epithelium,52.44,21.14,0.0,8.15,10500000,2.22,84233
E-S1,S,Epithelium,53.21,26.46,0.0,1.51,11500000,0.65,30030
E-S2,S,Epithelium,47.45,27.85,0.0,0.89,8850000,0.89,34511
E-S3,S,Epithelium,45.3,33.0,0.0,1.72,7390000,0.86,49598
E-S4,S,Epithelium,54.72,27.59,0.0,1.09,7640000,0.36,20956
E-S5,S,Epithelium,49.24,29.07,0.0,2.71,9060000,0.63,13391
LY-C1,Control,Lymph Node,24.6,86.8,90.1,6.77,1060,98.7,71639
LY-C2,Control,Lymph Node,24.0,85.1,88.8,5.71,1040,98.4,71498
LY-C3,Control,Lymph Node,25.7,84.8,88.3,6.28,1198,98.0,71334
LY-C4,Control,Lymph Node,24.3,85.2,89.7,6.01,1173,98.7,73009
LY-C5,Control,Lymph Node,24.0,84.8,88.3,6.06,1089,98.7,71286
LY-F1,F,Lymph Node,26.4,64.9,78.5,6.37,984,98.2,48984
LY-F2,F,Lymph Node,24.9,66.2,80.1,4.77,1000,97.2,46590
LY-F3,F,Lymph Node,23.9,65.8,80.9,5.1,1056,97.6,45325
LY-F4,F,Lymph Node,23.7,67.4,80.7,4.21,1023,97.9,45715
LY-F5,F,Lymph Node,24.1,65.3,78.8,5.23,1049,96.8,48228
LY-P1,P,Lymph Node,28.0,40.9,56.3,4.81,1180,93.2,54432
LY-P2,P,Lymph Node,28.8,40.8,54.0,5.36,1145,92.8,51880
LY-P3,P,Lymph Node,28.3,40.8,56.0,5.59,1242,92.8,49912
LY-P4,P,Lymph Node,28.9,41.3,56.3,6.07,1177,93.4,52247
LY-P5,P,Lymph Node,28.6,40.9,55.8,6.35,1309,94.5,54561
LY-R1,R,Lymph Node,22.8,42.0,54.7,5.4,1125,89.4,39374
LY-R2,R,Lymph Node,23.4,42.1,55.2,6.84,1172,89.9,40303
LY-R3,R,Lymph Node,23.1,42.3,54.4,6.16,1199,89.1,39846
LY-R4,R,Lymph Node,23.1,40.5,53.8,7.51,1058,90.2,40554
LY-R5,R,Lymph Node,22.9,40.3,53.3,6.78,1028,89.1,39375
LY-S1,S,Lymph Node,22.0,55.7,66.8,7.6,1106,88.8,38864
LY-S2,S,Lymph Node,20.7,56.1,67.4,8.74,1087,89.9,37506
LY-S3,S,Lymph Node,22.4,56.7,69.8,7.59,1086,88.1,39611
LY-S4,S,Lymph Node,21.5,57.8,69.4,9.87,1031,88.7,39790
LY-S5,S,Lymph Node,21.7,57.0,70.5,8.53,1055,90.6,39136
LY-S6,S,Lymph Node,19.5,54.3,66.8,9.78,1087,89.8,38818
SP-C1,Control,Spleen,61.9,45.2,7.1,,0,,0
SP-C2,Control,Spleen,61.0,45.5,6.34,22.1,3792,1.74,17571
SP-C3,Control,Spleen,59.6,46.4,5.8,22.6,3497,2.09,17351
SP-C4,Control,Spleen,61.4,44.3,7.07,20.7,3713,1.96,12229
SP-C5,Control,Spleen,60.5,45.6,6.59,21.0,3497,2.0,14144
SP-F1,F,Spleen,95.1,83.9,32.8,18.2,3430,1.06,32934
SP-F2,F,Spleen,94.7,84.0,34.3,16.6,3360,0.77,24557
SP-F3,F,Spleen,94.7,84.4,33.4,17.4,3393,0.81,24497
SP-F4,F,Spleen,94.6,85.1,34.1,17.3,3371,0.9,27899
SP-F5,F,Spleen,94.6,84.9,35.1,17.1,3285,0.86,31427
SP-P1,P,Spleen,78.5,71.4,9.8,15.0,3438,1.73,17645
SP-P2,P,Spleen,77.0,70.6,9.44,14.8,3377,1.7,23180
SP-P3,P,Spleen,78.0,71.3,9.34,15.9,3483,1.2,13091
SP-P4,P,Spleen,78.8,71.4,10.5,15.4,3423,2.09,21961
SP-P5,P,Spleen,78.2,71.3,10.7,14.7,3515,1.59,18576
SP-R1,R,Spleen,66.1,71.1,67.1,9.07,2986,0.34,19659
SP-R2,R,Spleen,67.5,63.9,64.0,8.97,2760,0.46,19261
SP-R3,R,Spleen,64.4,61.4,67.0,9.06,3845,0.44,14236
SP-R4,R,Spleen,64.4,70.1,71.8,7.5,2875,0.43,9593
SP-R5,R,Spleen,63.2,70.5,71.5,8.4,3256,0.22,11182
SP-S1,S,Spleen,90.5,72.5,19.1,14.5,3258,1.44,27827
SP-S2,S,Spleen,90.4,72.9,19.5,13.9,3188,1.32,42281
