time_hr,OD,enzyme,concentration_ng_ml,concentration_label,replicate,well
0.0,0.1692,V9943,50000.0,50 μg/ml,1,A01
0.5,0.1745,V9943,50000.0,50 μg/ml,1,A01
1.0,0.1939,V9943,50000.0,50 μg/ml,1,A01
1.5,0.2191,V9943,50000.0,50 μg/ml,1,A01
2.0,0.2467,V9943,50000.0,50 μg/ml,1,A01
2.5,0.2776,V9943,50000.0,50 μg/ml,1,A01
3.0,0.3083,V9943,50000.0,50 μg/ml,1,A01
3.5,0.3459,V9943,50000.0,50 μg/ml,1,A01
4.0,0.379,V9943,50000.0,50 μg/ml,1,A01
4.5,0.3998,V9943,50000.0,50 μg/ml,1,A01
5.0,0.4107,V9943,50000.0,50 μg/ml,1,A01
5.5,0.4176,V9943,50000.0,50 μg/ml,1,A01
6.0,0.422,V9943,50000.0,50 μg/ml,1,A01
6.5,0.4262,V9943,50000.0,50 μg/ml,1,A01
7.0,0.4302,V9943,50000.0,50 μg/ml,1,A01
7.5,0.4342,V9943,50000.0,50 μg/ml,1,A01
8.0,0.4411,V9943,50000.0,50 μg/ml,1,A01
8.5,0.446,V9943,50000.0,50 μg/ml,1,A01
9.0,0.4543,V9943,50000.0,50 μg/ml,1,A01
9.5,0.4583,V9943,50000.0,50 μg/ml,1,A01
10.0,0.4677,V9943,50000.0,50 μg/ml,1,A01
10.5,0.4764,V9943,50000.0,50 μg/ml,1,A01
11.0,0.4968,V9943,50000.0,50 μg/ml,1,A01
11.5,0.4845,V9943,50000.0,50 μg/ml,1,A01
12.0,0.4586,V9943,50000.0,50 μg/ml,1,A01
12.5,0.4281,V9943,50000.0,50 μg/ml,1,A01
13.0,0.389,V9943,50000.0,50 μg/ml,1,A01
13.5,0.4266,V9943,50000.0,50 μg/ml,1,A01
14.0,0.5309,V9943,50000.0,50 μg/ml,1,A01
14.5,0.6175,V9943,50000.0,50 μg/ml,1,A01
0.0,0.1687,V9943,5000.0,5 μg/ml,1,A02
0.5,0.175,V9943,5000.0,5 μg/ml,1,A02
1.0,0.1921,V9943,5000.0,5 μg/ml,1,A02
1.5,0.2116,V9943,5000.0,5 μg/ml,1,A02
2.0,0.2418,V9943,5000.0,5 μg/ml,1,A02
2.5,0.2662,V9943,5000.0,5 μg/ml,1,A02
3.0,0.2964,V9943,5000.0,5 μg/ml,1,A02
3.5,0.3284,V9943,5000.0,5 μg/ml,1,A02
4.0,0.3535,V9943,5000.0,5 μg/ml,1,A02
4.5,0.3676,V9943,5000.0,5 μg/ml,1,A02
5.0,0.3736,V9943,5000.0,5 μg/ml,1,A02
5.5,0.3793,V9943,5000.0,5 μg/ml,1,A02
6.0,0.3825,V9943,5000.0,5 μg/ml,1,A02
6.5,0.3852,V9943,5000.0,5 μg/ml,1,A02
7.0,0.3875,V9943,5000.0,5 μg/ml,1,A02
7.5,0.3909,V9943,5000.0,5 μg/ml,1,A02
8.0,0.393,V9943,5000.0,5 μg/ml,1,A02
8.5,0.3971,V9943,5000.0,5 μg/ml,1,A02
9.0,0.4008,V9943,5000.0,5 μg/ml,1,A02
9.5,0.4063,V9943,5000.0,5 μg/ml,1,A02
10.0,0.4116,V9943,5000.0,5 μg/ml,1,A02
10.5,0.4184,V9943,5000.0,5 μg/ml,1,A02
11.0,0.426,V9943,5000.0,5 μg/ml,1,A02
11.5,0.4347,V9943,5000.0,5 μg/ml,1,A02
12.0,0.4452,V9943,5000.0,5 μg/ml,1,A02
12.5,0.4575,V9943,5000.0,5 μg/ml,1,A02
13.0,0.4686,V9943,5000.0,5 μg/ml,1,A02
13.5,0.4776,V9943,5000.0,5 μg/ml,1,A02
14.0,0.4944,V9943,5000.0,5 μg/ml,1,A02
14.5,0.5262,V9943,5000.0,5 μg/ml,1,A02
0.0,0.1624,V9943,500.0,500 ng/ml,1,A03
0.5,0.17,V9943,500.0,500 ng/ml,1,A03
1.0,0.1813,V9943,500.0,500 ng/ml,1,A03
1.5,0.2021,V9943,500.0,500 ng/ml,1,A03
2.0,0.2313,V9943,500.0,500 ng/ml,1,A03
2.5,0.253,V9943,500.0,500 ng/ml,1,A03
3.0,0.2811,V9943,500.0,500 ng/ml,1,A03
3.5,0.3103,V9943,500.0,500 ng/ml,1,A03
4.0,0.335,V9943,500.0,500 ng/ml,1,A03
4.5,0.3493,V9943,500.0,500 ng/ml,1,A03
5.0,0.3553,V9943,500.0,500 ng/ml,1,A03
5.5,0.3608,V9943,500.0,500 ng/ml,1,A03
6.0,0.3652,V9943,500.0,500 ng/ml,1,A03
6.5,0.3687,V9943,500.0,500 ng/ml,1,A03
7.0,0.3725,V9943,500.0,500 ng/ml,1,A03
7.5,0.3767,V9943,500.0,500 ng/ml,1,A03
8.0,0.3809,V9943,500.0,500 ng/ml,1,A03
8.5,0.3851,V9943,500.0,500 ng/ml,1,A03
9.0,0.3899,V9943,500.0,500 ng/ml,1,A03
9.5,0.3957,V9943,500.0,500 ng/ml,1,A03
10.0,0.4013,V9943,500.0,500 ng/ml,1,A03
10.5,0.4078,V9943,500.0,500 ng/ml,1,A03
11.0,0.4172,V9943,500.0,500 ng/ml,1,A03
11.5,0.4254,V9943,500.0,500 ng/ml,1,A03
12.0,0.4355,V9943,500.0,500 ng/ml,1,A03
12.5,0.4489,V9943,500.0,500 ng/ml,1,A03
13.0,0.4618,V9943,500.0,500 ng/ml,1,A03
13.5,0.4781,V9943,500.0,500 ng/ml,1,A03
14.0,0.4905,V9943,500.0,500 ng/ml,1,A03
14.5,0.5038,V9943,500.0,500 ng/ml,1,A03
0.0,0.1692,V9943,50.0,50 ng/ml,1,A04
0.5,0.1771,V9943,50.0,50 ng/ml,1,A04
1.0,0.1933,V9943,50.0,50 ng/ml,1,A04
1.5,0.2184,V9943,50.0,50 ng/ml,1,A04
2.0,0.2484,V9943,50.0,50 ng/ml,1,A04
2.5,0.2707,V9943,50.0,50 ng/ml,1,A04
3.0,0.3015,V9943,50.0,50 ng/ml,1,A04
3.5,0.3303,V9943,50.0,50 ng/ml,1,A04
4.0,0.3553,V9943,50.0,50 ng/ml,1,A04
4.5,0.3682,V9943,50.0,50 ng/ml,1,A04
5.0,0.3747,V9943,50.0,50 ng/ml,1,A04
5.5,0.3791,V9943,50.0,50 ng/ml,1,A04
6.0,0.3818,V9943,50.0,50 ng/ml,1,A04
6.5,0.3855,V9943,50.0,50 ng/ml,1,A04
7.0,0.3898,V9943,50.0,50 ng/ml,1,A04
7.5,0.3928,V9943,50.0,50 ng/ml,1,A04
8.0,0.3968,V9943,50.0,50 ng/ml,1,A04
8.5,0.4005,V9943,50.0,50 ng/ml,1,A04
9.0,0.4046,V9943,50.0,50 ng/ml,1,A04
9.5,0.4075,V9943,50.0,50 ng/ml,1,A04
10.0,0.4128,V9943,50.0,50 ng/ml,1,A04
10.5,0.4181,V9943,50.0,50 ng/ml,1,A04
11.0,0.4234,V9943,50.0,50 ng/ml,1,A04
11.5,0.4314,V9943,50.0,50 ng/ml,1,A04
12.0,0.4403,V9943,50.0,50 ng/ml,1,A04
12.5,0.45,V9943,50.0,50 ng/ml,1,A04
13.0,0.4596,V9943,50.0,50 ng/ml,1,A04
13.5,0.4745,V9943,50.0,50 ng/ml,1,A04
14.0,0.4836,V9943,50.0,50 ng/ml,1,A04
14.5,0.4946,V9943,50.0,50 ng/ml,1,A04
0.0,0.1689,V9943,5.0,5 ng/ml,1,A05
0.5,0.1767,V9943,5.0,5 ng/ml,1,A05
1.0,0.191,V9943,5.0,5 ng/ml,1,A05
1.5,0.2178,V9943,5.0,5 ng/ml,1,A05
2.0,0.2412,V9943,5.0,5 ng/ml,1,A05
2.5,0.2668,V9943,5.0,5 ng/ml,1,A05
3.0,0.2937,V9943,5.0,5 ng/ml,1,A05
3.5,0.3262,V9943,5.0,5 ng/ml,1,A05
4.0,0.3512,V9943,5.0,5 ng/ml,1,A05
4.5,0.3636,V9943,5.0,5 ng/ml,1,A05
5.0,0.3698,V9943,5.0,5 ng/ml,1,A05
5.5,0.3751,V9943,5.0,5 ng/ml,1,A05
6.0,0.3788,V9943,5.0,5 ng/ml,1,A05
6.5,0.3813,V9943,5.0,5 ng/ml,1,A05
7.0,0.3849,V9943,5.0,5 ng/ml,1,A05
7.5,0.3886,V9943,5.0,5 ng/ml,1,A05
8.0,0.3909,V9943,5.0,5 ng/ml,1,A05
8.5,0.3941,V9943,5.0,5 ng/ml,1,A05
9.0,0.3978,V9943,5.0,5 ng/ml,1,A05
9.5,0.4015,V9943,5.0,5 ng/ml,1,A05
10.0,0.4057,V9943,5.0,5 ng/ml,1,A05
10.5,0.4108,V9943,5.0,5 ng/ml,1,A05
11.0,0.416,V9943,5.0,5 ng/ml,1,A05
11.5,0.4227,V9943,5.0,5 ng/ml,1,A05
12.0,0.4304,V9943,5.0,5 ng/ml,1,A05
12.5,0.4394,V9943,5.0,5 ng/ml,1,A05
